donor_id,name,path,root,format,content_summary,license,needed_for_F3R2,duplicates_mainrepo,recommendation,notes
CAD-D01,HPRA vendor reBot-DevArm clone,"F:\Robotic arm\High_performance_robotics_arm\vendor\reBot-DevArm",F:\Robotic arm,SLDPRT/SLDASM/STEP/STL,"Seeed reBot Arm B601-DM full vendor hardware repo clone (working tree 177 files + .git; 375 MB); key file hardware/reBot_B601_DM/reBot_B601_DM_v1.1_20260425.step (35114019 B, sha256 87a0537d...)",CERN-OHL-W-2.0,false,true,retire,"Working tree verified IDENTICAL to ROOT A 80_third_party/vendor/reBot-DevArm (comm of file lists: only .git/* differs; key STEP hash matches HAGA register). Coverage anchor already in main repo. Upstream re-cloneable (github.com/Seeed-Projects/reBot-DevArm). Retire only with parent root (see ROBOTIC_ARM_RETIREMENT_PLAN.md)."
CAD-D02,HPRA B601 URDF variants + meshes,"F:\Robotic arm\High_performance_robotics_arm\urdf",F:\Robotic arm,other(URDF/STL),"reBot-DevArm_fixend.urdf (sha256 065bc4f8...) + reBot_B601_DM_with_gripper.urdf (667a8905...) + 2 STL mesh sets (51 MB); authored in local commit 2d769d7",derived from CERN-OHL-W-2.0 vendor geometry,false,false,copy_to_B,"UNIQUE WITNESSES: both URDF hashes DIFFER from accepted arm_b601_v1.urdf (1bc2b748...). Meshes verified identical to ROOT A spacecraft_layout/arm_b601_v1/meshes_b601_gripper (3 sample hashes match). Copy only the 2 small URDF text files to ROOT B witness/index (CAD_DONOR_REFERENCE); meshes are duplicates - do not copy."
CAD-D03,HPRA external spacecraft_layout_refs,"F:\Robotic arm\High_performance_robotics_arm\external\spacecraft_layout_refs",F:\Robotic arm,SLDASM/SLDPRT/STEP/KiCad,"6 upstream public CubeSat/robot project groups: birds 56 files/24,790,095 B; librecube_notes 1/184 B; oresat 1,090/1,554,474,721 B; pycubed 406/89,122,374 B; spacerobotenv 157/71,619,995 B; spot 404/262,548,658 B",mixed open (CERN-OHL / CC-BY-SA / MIT per-repo LICENSES),false,true,retire,"Full byte/count coverage exists at ROOT A 80_third_party/external/spacecraft_layout_refs. Eight embedded repos are clean at matching HEADs on both sides: BIRDSX 36bcee, OreSat backplane 0e1550 / solar af8f6f / structure 4c0229, PyCubed hardware d1adfd / software 72ab3a, SpaceRobotEnv 155989c2, SPOT 66a492. ROOT B metadata register is installed; physical copy is unnecessary. Retire only with parent-root witness/authorization; this row is not deletion authorization."
CAD-D04,HPRA vendor reBotArmController_ROS2,"F:\Robotic arm\High_performance_robotics_arm\vendor\reBotArmController_ROS2",F:\Robotic arm,other(ROS2 C++/Python),"Upstream Seeed ROS2 controller for reBot Arm (67 MB); read-only vendor reference per HPRA README",UNVERIFIED (upstream public; LICENSE not read),false,false,stay,"Not physically present in ROOT A or ROOT B. A metadata pointer is installed in ROOT B OPEN_SOURCE_PROJECT_REGISTER.csv (commit 319100d3ebb529d43c5a874fa92104fa1062493f; license UNKNOWN HOLD). Upstream re-obtainable at github.com/Seeed-Projects/reBotArmController_ROS2; archived HIL wording should use that URL after retirement."
CAD-D05,HPRA repo itself (git history + scaffold),"F:\Robotic arm\High_performance_robotics_arm",F:\Robotic arm,other(git/md/yaml),"Local-only git repo, 2 commits (6dff06f scaffold, 2d769d7 portable B601-DM URDF), no remote, branch main; sim/control dirs empty (.gitkeep); docs/stage1_spacecraft_layout 2 files; memory/local-machine-env.md","none (project-internal, no LICENSE file)",false,false,retire,"Predecessor Windows-side project main dir; content migrated into ROOT A (stage1 docs 2/2 files found inside ROOT A 20_engineering/stage1_spacecraft_layout 62 files). Commits NOT in ROOT A git (cat-file verified). UNIQUE: git history + memory/local-machine-env.md. Bundle .git before retirement (see retirement plan Stage 1)."
CAD-D06,zero-robotic-arm working copy,"F:\Robotic arm\zero-robotic-arm",F:\Robotic arm,SLDASM/SLDPRT/STEP/SLX/XML,"ZERO desktop 6-DOF arm full open-source design: ZERO_ARM.SLDASM + reducer/frame/shell SLDPRTs (1. Model), embedded code (2. Software), Simulink kinematics + D-H (3. Simulink), MuJoCo TD3 RL env (5. Deep_LR), BOM.xlsx; 943 files excl .git, 333 MB",GPL-2.0,false,false,stay,"Clone of gitee.com/dearxie/zero-robotic-arm; branch research at upstream commit c16b4be. Worktree is materially dirty: 26 porcelain entries = 1 staged add (.gitignore), 24 modified CAD/BOM files, 1 untracked CAD file (frame0_ZERO_ARM.SLDPRT); capture a complete diff/bundle before retirement. Deep_LR itself is fully tracked/clean (14 files, 38,422,631 B; MuJoCo XML sha256 739B1489...5447). Independent teaching/reference design; ROOT B metadata pointer installed; no project/runtime authority."
CAD-D07,zero-robotic-arm.zip,"F:\Robotic arm\zero-robotic-arm.zip",F:\Robotic arm,other(zip of SLDASM/SLDPRT/...),"Packed snapshot of the same gitee repo incl .git (1074 entries, 256786387 B, dated 2026-05-14)",GPL-2.0,false,false,retire,"Redundant second copy of CAD-D06 (zip listing verified: same tree). duplcates_mainrepo=false but duplicates CAD-D06. Retire with parent root after witness capture."
CAD-D08,"HAGA_HIFI_FREECAD (C1-B donor, in main repo)","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\reference_donors\HAGA_HIFI_FREECAD",ROOT A (main repo),FCSTD,"21 files / 168 MB: B601 HiFi visual per-link FCStd (base/link1-6/gripper x3) + F3_P3_TOP_ASSEMBLY.FCStd (43 MB) + SPACE_EMBODIED_ROBOT_TOP_INTEGRATION_F3P3.FCStd",derived from vendor HiFi STEP (CERN-OHL-W-2.0 lineage),false,false,stay,"Already in ROOT A, git-tracked; ASSET_AUTHORITY_MATRIX row C1_B_HIFI_DONOR = LINEAGE_DONOR / NOT_CURRENT_TOP. Source workspace F:\Space-Embodied-Robot-HAG_A_20260804 deleted; donor intake STEP sha256 87a0537d (matches vendor). DONOR != CURRENT CAD: visual/reference only. Needed for future visual/HV render work, not for F3R2 mechanical repair."
CAD-D09,"freecad_authoritative (C1-A authoritative subset/reference layer — NOT current native top)","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\freecad_authoritative",ROOT A (main repo),FCSTD/STEP,"36 files / 9.5 MB: B51R1 master skeleton (44 params, zero solid), 10 datum-only carriers, B601_KINEMATIC_ASSEMBLY (F1_PASS), B601_BASE_ADAPTER + DRAWING + FEM (F2_PASS pilot), 5 witness STEPs, SSOT param CSV/YAML, joint_states.yaml",project-internal,false,false,stay,"C1-A IMPORTED_TRUTH/hash-verified/TRACKED_IN_GIT for its FreeCAD subset and parametric/reference role; it is not the current L1 native top assembly. Current machine-selected mechanical candidate is the F3R2 operational package (CAD-D15), pending human ratification. FreeCAD 1.1.3 remains pinned and this subset stays read-only during native-CAD closure."
CAD-D10,CAE lib gripper STEP pack,"F:\Mechanical structure modeling and simulation\机械臂夹爪model.zip",F:\Mechanical structure modeling and simulation,STEP,"2 STEP files: jixieshou.stp (manipulator hand, 1.0 MB) + jixiezhua.stp (gripper, 2.2 MB)",unknown (no license/readme in zip),false,false,copy_to_B,"Only small gripper-specific CAD geometry found in CAE library. OPTIONAL copy to ROOT B CAD_DONOR_REFERENCE (3.3 MB); license-unknown - flag for human review before any design use. index_only is an acceptable fallback."
CAD-D11,CAE lib arm-joint transient FEA geometry,"F:\Mechanical structure modeling and simulation\机械手关节瞬态动力学评估.x_t",F:\Mechanical structure modeling and simulation,other(Parasolid x_t),8.5 MB Parasolid geometry for robot-joint transient dynamics evaluation,unknown,false,false,copy_to_B,"Arm-joint dynamics FEA input geometry; small and directly topical. OPTIONAL copy to ROOT B CAD_DONOR_REFERENCE; license-unknown. index_only acceptable fallback."
CAD-D12,CAE lib Zhiyuan humanoid whole-machine pack,"F:\Mechanical structure modeling and simulation\智元机器人整机.zip",F:\Mechanical structure modeling and simulation,"other(zip, CAD)",101 MB Zhiyuan (Agibot) humanoid whole-machine model,unknown,false,false,stay,"Topical whole-robot CAD but 101 MB + license-unknown; keep in L4 library, metadata index only."
CAD-D13,ROOT A vendor reBot-DevArm (coverage anchor - NOT a donor),"F:\China Graduate Future Flight Vehicle Innovation Competition\80_third_party\vendor\reBot-DevArm",ROOT A (main repo),SLDPRT/SLDASM/STEP/STL,177 files; the live vendor copy used by geometry SSOT arm_b601_v1.yaml (hardware_step repo-relative since CM3 5849b72),CERN-OHL-W-2.0,false,false,stay,"Coverage anchor proving CAD-D01 is redundant. WARNING per PROJECT_START_HERE §5: gitignored disk dependency, needs backup. Do not move (runtime path referenced by 20_engineering/config/geometry/arm_b601_v1.yaml)."
CAD-D14,F3R1 SolidWorks native integration — predecessor package for F3R2,"F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806",ROOT A (untracked) + L5 verified source mirror,SLDASM/SLDPRT/SLDDRW/STEP,"363 files (12 SLDASM + 69 SLDPRT + 9 STEP + 2 SLDDRW per G9B receipt): F3R1_SPACE_EMBODIED_ROBOT_INTEGRATION.SLDASM + V2_MATED + V3_CONFIGURED + B601_ARM_B51_COPY + SPACECRAFT_V2_2_NATIVE_COPY",project-internal,false,false,stay,"PL1-G salvage restored 363/363 files SHA-identically from F:\_SEI_PROJECT_CONSOLIDATION_20260807\12_WAVE4\WORKTREE_RECONCILIATION\20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806; source retained. Physical-location contradiction is resolved, but ROOT A copy is untracked/not CM-accepted and has no cold backup. V3_CONFIGURED bytes became the F3R2 operational top; F3R1 is now predecessor evidence, not the current candidate."
CAD-D15,F3R2 operational mechanical package — current machine-selected candidate,"F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807",ROOT A (untracked) + L5 verified source mirror,SLDASM/SLDPRT/SLDDRW/STEP/FCSTD/JSON/YAML/CSV,"482 files; native top 03_native_cad/F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.SLDASM (29,594,924 B; sha256 19D85E9C703BEC107396AE84DAB7B12DE5722434FC7D5474B3A5A144A1B590D0), byte-identical to F3R1 V3_CONFIGURED; adds frozen poses/definitions/clearance/thread evidence",project-internal,false,false,stay,"CURRENT_MACHINE_SELECTED_MECHANICAL_CANDIDATE, not a human-ratified baseline. F3R2_FINAL_GATE is 11/14 with four engineering HOLDs and PENDING_HUMAN_REVIEW. PL1-G salvage verified 482/482 destination hashes against the retained L5 source mirror; ROOT A remains untracked/not CM-accepted with no cold backup."
