part_no,part_name,mpi_item,specification,tolerance,method,acceptance
01,Adapter_Plate,dim_outer,165x165x12,nominal,CMM,PASS_REQUIRED
01,Adapter_Plate,flatness_A,0.05,0.05 mm,granite_table_feeler,PASS_REQUIRED
01,Adapter_Plate,hole_position,4x M5 PCD match 03,0.1 mm,CMM,PASS_REQUIRED
01,Adapter_Plate,thread,M5x0.8,GO_NOGO,thread_gauge,PASS_REQUIRED
02,Central_Boss,dim_outer,OD100 x H12,nominal,CMM,PASS_REQUIRED
02,Central_Boss,perpendicularity_axis,0.05 mm,0.05,dial_indicator,PASS_REQUIRED
02,Central_Boss,thread,M5x0.8,GO_NOGO,thread_gauge,PASS_REQUIRED
03,Spacecraft_Flange,flatness_A,0.05 mm,0.05,granite_table_feeler,PASS_REQUIRED
03,Spacecraft_Flange,hole_position,4x M5 PCD match 01,0.1 mm,CMM,PASS_REQUIRED
03,Spacecraft_Flange,thread,M5x0.8,GO_NOGO,thread_gauge,PASS_REQUIRED
04,Load_Spreading_Frame,flatness_base,0.05 mm,0.05,granite_table_feeler,PASS_REQUIRED
04,Load_Spreading_Frame,dim_outer,190x190x15,nominal,CMM,PASS_REQUIRED
05,Load_Bridge_Left,flatness_base,0.05 mm,0.05,granite_table_feeler,PASS_REQUIRED
05,Load_Bridge_Left,thread,M5x0.8,GO_NOGO,thread_gauge,PASS_REQUIRED
06,Load_Bridge_Right,flatness_base,0.05 mm,0.05,granite_table_feeler,PASS_REQUIRED
06,Load_Bridge_Right,thread,M5x0.8,GO_NOGO,thread_gauge,PASS_REQUIRED
05,Load_Bridge_Left,mirror_symmetry,vs 06,0.1 mm,CMM,PASS_REQUIRED
06,Load_Bridge_Right,mirror_symmetry,vs 05,0.1 mm,CMM,PASS_REQUIRED
07,Harness_Passage,flatness_face,0.1 mm,0.1,granite_table_feeler,PASS_REQUIRED
07,Harness_Passage,dim_outer,90x45x8,nominal,CMM,PASS_REQUIRED
08,Maintenance_Access_Cover,flatness_face,0.1 mm,0.1,granite_table_feeler,PASS_REQUIRED
08,Maintenance_Access_Cover,dim_outer,110x70x8,nominal,CMM,PASS_REQUIRED
