ref,MPN,footprint,x_mm,y_mm,rotation_deg
C201,MKP2C041001N00JSSD,WP10_TIMING:C201_MKP2_1uF_P5_Slot2,45.0,43.0,0.0
C202,MKP2D031001F00JSSD,WP10_INPUT:MKP2_D031001F00_P5_Slot2,28.0,24.0,0.0
C211,MKS2D041501M00JSSD,WP10_INPUT:MKS2_D041501M00_P5_Slot2,74.0,39.0,0.0
C212,MKS2D044701O00JSSD,WP10_INPUT:MKS2_D044701O00_P5_Slot2,66.0,58.0,0.0
C213,MKP2D031001F00JSSD,WP10_INPUT:MKP2_D031001F00_P5_Slot2,82.0,59.0,0.0
D201,SMBJ30A-13-F,WP10_INPUT:SMBJ30A_A1K2,19.0,25.0,0.0
D202,STPS3H100U,WP10_INPUT:STPS3H100U_A1K2,84.0,25.0,0.0
F201,1025HC30-RTR,WP10_PASSIVES:Fuse_Eaton_1025HC_20to30A_3p25x3p43_P9p35,18.0,15.0,0.0
Q201,IXTH75N10L2,WP10_INPUT:IXTH_TO247_G1D2S3_P5p45_Slots,54.0,17.0,0.0
Q204,2N7002K-7,Package_TO_SOT_SMD:SOT-23,91.0,43.0,0.0
R201,WSLP27262L000FEA,WP10_INPUT:WSLP2726_KelvinSplit_TwoTerminals,34.0,15.0,0.0
R202,WSLP2726L2000FEA,WP10_INPUT:WSLP2726_KelvinSplit_TwoTerminals,45.0,15.0,0.0
R203,TNPW060347K5BEEA,Resistor_SMD:R_0603_1608Metric,39.0,27.0,90.0
R204,TNPW06035K90BEEA,Resistor_SMD:R_0603_1608Metric,39.0,32.0,90.0
R205,TNPW0603120KBEEA,Resistor_SMD:R_0603_1608Metric,42.0,27.0,90.0
R206,TNPW060310K0BEEA,Resistor_SMD:R_0603_1608Metric,42.0,32.0,90.0
R207,TNPW060330K1BEEA,Resistor_SMD:R_0603_1608Metric,53.0,34.0,90.0
R211,TNPW060338K3BEEA,Resistor_SMD:R_0603_1608Metric,60.0,41.0,90.0
R212,TNPW060310K0BEEA,Resistor_SMD:R_0603_1608Metric,60.0,46.0,90.0
R213,TNPW06034K70FEEA,Resistor_SMD:R_0603_1608Metric,60.0,51.0,90.0
R214,TNPW06033K48BEEA,Resistor_SMD:R_0603_1608Metric,54.0,29.0,90.0
R215,TNPW0805374KBEEA,Resistor_SMD:R_0805_2012Metric,74.0,50.0,90.0
R216,TNPW060310K0BEEA,Resistor_SMD:R_0603_1608Metric,74.0,55.0,90.0
R217,TNPW060333K0FEEA,Resistor_SMD:R_0603_1608Metric,85.0,44.0,90.0
R218,TNPW12102M20FEEA,Resistor_SMD:R_1210_3225Metric,89.0,51.0,90.0
R219,TNPW0603100KFEEA,Resistor_SMD:R_0603_1608Metric,86.0,39.0,90.0
R220,TNPW060310K0FEEA,Resistor_SMD:R_0603_1608Metric,78.0,51.0,90.0
R221,TNPW0603100RFEEA,Resistor_SMD:R_0603_1608Metric,78.0,46.0,90.0
U201,LM5069MM-1,WP10_INPUT:LM5069_DGS10_P0p5_NoEP,48.0,29.0,0.0
U205,LT3013EDE#PBF,WP10_INPUT:LT3013_DE12_EP13_3x4_Pin1LeftTop,66.0,42.0,0.0
U206,TPS3808G01DBVR,Package_TO_SOT_SMD:SOT-23-6,82.0,51.0,0.0
