schema,generated_local
FASTENER_ANALYTIC_CHECKS_V1,2026-08-22T01:29:31+08:00
joint_id,case_id,case_variant,check_id,demand,capacity,demand_over_capacity,unit,basis,status,notes
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,SLIP_FRICTION,0.0101394,363.318,2.79076e-05,N,"Q_max vs mu_min*(Fp_min-(1-PHI)*N_max); mu candidate band [0.15,0.30] ASSUMPTION",DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,SEPARATION,0.227085,1668.06,0.000136137,N,N_max vs Fp_min*(1-PHI); separation predicted when ratio>=1,DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,BOLT_ADDITIONAL_TENSION_PROOF,5482.6,5750.9,0.953346,N,"Fp_max+PHI*N_max vs S_proof*As (candidate material proof, A286 655MPa MIN distributor ref)",DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,BOLT_TENSION_ULTIMATE,5482.6,8472.7,0.64709,N,Fp_max+PHI*N_max vs S_u*As (candidate A286 965MPa MIN distributor ref),DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,BOLT_SHEAR,0.000806865,377.935,2.13493e-06,MPa,Q_max/A_shank vs 0.577*S_proof; SHANK_IN_SHEAR_PLANE_ASSUMPTION; shear allowable ASSUMPTION_NO_SOURCE,DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,BEARING_PLATE_6061T6,0.000422473,310,1.36282e-06,MPa,p=Q/(d*t_plate) vs 6061-T6 Ftu TYPICAL 310MPa reference level; INDICATIVE_NOT_AN_ALLOWABLE,INDICATIVE_REFERENCE_DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,NET_SECTION_PLATE_6061T6,0.000637164,310,2.05537e-06,MPa,sigma_net=N_max/((tributary-hole)*t_plate) conservative tributary model vs Ftu typical; INDICATIVE,INDICATIVE_REFERENCE_DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,HEAD_PULL_THROUGH,250.742,276,0.908486,MPa,head bearing pressure vs 6061-T6 Fty TYPICAL 276MPa reference; INDICATIVE,INDICATIVE_REFERENCE_DESIGN_ANALYSIS_NOT_QUALIFICATION,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,THREAD_SHEAR_EXTERNAL_BOLT,,,,MPa,engagement length as-built unknown,HOLD_AS_BUILT_ENGAGEMENT_UNKNOWN,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
B601_TO_STAGE_A_4XM4_HM4_75_64MM,LC-010_ARM_NOMINAL_SLEW,EXACT_WRENCH_CONTROLLING_SAMPLE,THREAD_SHEAR_INTERNAL_MEMBER,,,,MPa,B601 vendor tapped holes; material and engagement unknown,HOLD_NO_B601_MATERIAL_OR_ENGAGEMENT_AUTHORITY,DERIVED inertial wrench from URDF RNE; microgravity fixed-base ASSUMPTION
