schema,TORQUE_PRELOAD_SCHEDULE_V1
generated_local,2026-08-22T01:29:31+08:00
joint_id,fastener_spec,material_candidate,proof_load_N,preload_target_N,preload_min_service_N,preload_max_assembly_N,K_candidate,K_band,torque_target_Nm,torque_band_Nm,tool_tolerance_declared,relaxation_declared,basis,status
B601_TO_STAGE_A_4XM4_HM4_75_64MM,M4x0.7,A286_AMS5737_CANDIDATE,5750.9,3738.1,2422.3,5482.5,0.2,"[0.15,0.25]",2.990,"[2.691,3.290]",+-10% ASSUMPTION,10% embedment ASSUMPTION,preload=0.65*proof*As (band 0.50-0.75 declared); T=K*F*d K-factor; ECSS-E-HB-32-23A method flow; candidate library V2 A286 655MPa MIN proof,CANDIDATE_DESIGN_ANALYSIS_NOT_QUALIFICATION_FLIGHT_ALLOWABLES_HOLD
STAGE_A_TO_B_8XM5_R62P5MM,M5x0.8,A286_AMS5737_CANDIDATE,9287.9,6037.1,3912.1,8854.5,0.2,"[0.15,0.25]",6.037,"[5.433,6.641]",+-10% ASSUMPTION,10% embedment ASSUMPTION,preload=0.65*proof*As (band 0.50-0.75 declared); T=K*F*d K-factor; ECSS-E-HB-32-23A method flow; candidate library V2 A286 655MPa MIN proof,CANDIDATE_DESIGN_ANALYSIS_NOT_QUALIFICATION_FLIGHT_ALLOWABLES_HOLD
STAGE_B_TO_SPACECRAFT_4XM6_140MM,M6x1.0,A286_AMS5737_CANDIDATE,13165.5,8557.6,5545.3,12551.1,0.2,"[0.15,0.25]",10.269,"[9.242,11.296]",+-10% ASSUMPTION,10% embedment ASSUMPTION,preload=0.65*proof*As (band 0.50-0.75 declared); T=K*F*d K-factor; ECSS-E-HB-32-23A method flow; candidate library V2 A286 655MPa MIN proof,CANDIDATE_DESIGN_ANALYSIS_NOT_QUALIFICATION_FLIGHT_ALLOWABLES_HOLD

source_register_id,path,sha256,,,,,,,,,,,,
M7_ODR,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_REGISTER_V1.yaml,f5b1572c0cfcec35c40f262a3d7386afa91dec09da94fe31fd03f5c04956f8b6,,,,,,,,,,,,
M7_EXEC_PLAN,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_EXECUTION_PLAN_V1.md,ad406aca2ab12fdc794e8bbab8b32ad33ab1ece6fee3bf332049de3951d8c68b,,,,,,,,,,,,
CDR_AUTHORIZED_LOADS,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/AUTHORIZED_MECHANICAL_LOADS_V1.yaml,82e331239d6eb86ee4b617145022e62133f5d837403119cdad2add83bcb78797,,,,,,,,,,,,
CDR_LOAD_CASES,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/LOAD_CASE_MATRIX.csv,cc37f1dfab7bb5be219c7df78f2276ce605475f8990e50101502fcc4f521eee5,,,,,,,,,,,,
CDR_LOAD_COMBOS,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/LOAD_COMBINATION_MATRIX.csv,a2f60430fb7b6223e67c71234fa66637613dc31857c72d1cf45df1f82289cb6c,,,,,,,,,,,,
CDR_CAPTURE_ENVELOPE,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/DERIVED_CAPTURE_LOAD_ENVELOPE_V1.csv,e852de89bca633c126b0547257649c69b7a62e658e19dbe726eca4c38cb900a6,,,,,,,,,,,,
CDR_BC_AUTHORITY,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/02_wp1_loads/BOUNDARY_CONDITION_AUTHORITY.json,4d936f4278c728243a088703e84bd421149a95780658755d05ed7cea13121de4,,,,,,,,,,,,
M5_JOINT_MODEL,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/04_joint_load_model/M5_ANALYTIC_JOINT_LOAD_MODEL_V1.yaml,f4e9eb51b696b7fe02878b9c369bdcb99d84fe96181494ca33798400631a199d,,,,,,,,,,,,
M5_INFLUENCE,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/04_joint_load_model/M5_FASTENER_GROUP_INFLUENCE_MATRIX_V1.csv,8ded698118daf85480b44d95518984f8ef8df02993ba493a6a0402aa85a53574,,,,,,,,,,,,
M6_UNIT_LOAD,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp5_structural_entry/FASTENER_GROUP_ANALYTIC_UNIT_LOAD_V1.csv,ceb2b7b4111ee8fe1210d4b7c08d0324a8cfea272174f32ff21c8b1a089e7805,,,,,,,,,,,,
M6_UNIT_NOTE,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp5_structural_entry/FASTENER_GROUP_ANALYTIC_NOTE_V1.yaml,a1fb4c7842191eecdafd1cb0ed5ef306950fe0cee533534cf065f5201738e4c5,,,,,,,,,,,,
M6_MATERIAL_LIB,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp4_materials/PROTOTYPE_MATERIAL_LIBRARY_V2.yaml,53dd6e9139675d49d1295e20c05832ba3618325e4f0ba6e47ea8ff9361716f50,,,,,,,,,,,,
M6_BOM_V2,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp6_drawings_bom/DIGITAL_PROTOTYPE_BOM_V2_CANDIDATE.csv,2fa3d479fb25295df39c023d2204b2a75d351d81b162780908ccc700d097d544,,,,,,,,,,,,
REV_C_INTERFACE,20_engineering/F3R2_MECHANICAL_DETAILED_DESIGN_V1/02_interfaces/B601_BASE_ADAPTER_REV_C_INTERFACE.yaml,d63b867b3183434c054a8840735a2cdd9c5106d430cc76e44b0c840a11a522e9,,,,,,,,,,,,
M3R_PHYSICAL_STACK,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml,172f3603e458f670323925e644bc68623ee9c85fca7af1200fae2576eb43c68b,,,,,,,,,,,,
