link,source_v2_part,mr1_part,incoming_joint,incoming_type,incoming_child_support,outgoing_joints,outgoing_parent_support,root_support,status
base_link,B51R1_CARRIER_base_link.SLDPRT,B51R1_CARRIER_MR1_base_link.SLDPRT,NONE,NONE,NONE,joint1,AXIS_joint1_PARENT_SIDE|PLANE_SEAT_joint1_PARENT_SIDE|PLANE_ZERO_joint1_PARENT_SIDE,ROOT_PLN_X|ROOT_PLN_Y|ROOT_PLN_Z,RECOVERY_REFROZEN_NOT_CREATED
link1,B51R1_CARRIER_link1.SLDPRT,B51R1_CARRIER_MR1_link1.SLDPRT,joint1,revolute,AXIS_joint1|PLANE_SEAT_joint1_CHILD_SIDE|PLANE_ZERO_joint1,joint2,AXIS_joint2_PARENT_SIDE|PLANE_SEAT_joint2_PARENT_SIDE|PLANE_ZERO_joint2_PARENT_SIDE,NONE,RECOVERY_REFROZEN_NOT_CREATED
link2,B51R1_CARRIER_link2.SLDPRT,B51R1_CARRIER_MR1_link2.SLDPRT,joint2,revolute,AXIS_joint2|PLANE_SEAT_joint2_CHILD_SIDE|PLANE_ZERO_joint2,joint3,AXIS_joint3_PARENT_SIDE|PLANE_SEAT_joint3_PARENT_SIDE|PLANE_ZERO_joint3_PARENT_SIDE,NONE,RECOVERY_REFROZEN_NOT_CREATED
link3,B51R1_CARRIER_link3.SLDPRT,B51R1_CARRIER_MR1_link3.SLDPRT,joint3,revolute,AXIS_joint3|PLANE_SEAT_joint3_CHILD_SIDE|PLANE_ZERO_joint3,joint4,AXIS_joint4_PARENT_SIDE|PLANE_SEAT_joint4_PARENT_SIDE|PLANE_ZERO_joint4_PARENT_SIDE,NONE,RECOVERY_REFROZEN_NOT_CREATED
link4,B51R1_CARRIER_link4.SLDPRT,B51R1_CARRIER_MR1_link4.SLDPRT,joint4,revolute,AXIS_joint4|PLANE_SEAT_joint4_CHILD_SIDE|PLANE_ZERO_joint4,joint5,AXIS_joint5_PARENT_SIDE|PLANE_SEAT_joint5_PARENT_SIDE|PLANE_ZERO_joint5_PARENT_SIDE,NONE,RECOVERY_REFROZEN_NOT_CREATED
link5,B51R1_CARRIER_link5.SLDPRT,B51R1_CARRIER_MR1_link5.SLDPRT,joint5,revolute,AXIS_joint5|PLANE_SEAT_joint5_CHILD_SIDE|PLANE_ZERO_joint5,joint6,AXIS_joint6_PARENT_SIDE|PLANE_SEAT_joint6_PARENT_SIDE|PLANE_ZERO_joint6_PARENT_SIDE,NONE,RECOVERY_REFROZEN_NOT_CREATED
link6,B51R1_CARRIER_link6.SLDPRT,B51R1_CARRIER_MR1_link6.SLDPRT,joint6,revolute,AXIS_joint6|PLANE_SEAT_joint6_CHILD_SIDE|PLANE_ZERO_joint6,gripper_joint,GFIX_PLN_X_PARENT_SIDE|GFIX_PLN_Y_PARENT_SIDE|GFIX_PLN_Z_PARENT_SIDE,NONE,RECOVERY_REFROZEN_NOT_CREATED
gripper_link,B51R1_CARRIER_gripper_link.SLDPRT,B51R1_CARRIER_MR1_gripper_link.SLDPRT,gripper_joint,fixed,GFIX_PLN_X|GFIX_PLN_Y|GFIX_PLN_Z,gripper_joint1|gripper_joint2,AXIS_gripper_joint1_PARENT_SIDE|PLANE_SEAT_gripper_joint1_PARENT_SIDE|PLANE_ZERO_gripper_joint1_PARENT_SIDE|AXIS_gripper_joint2_PARENT_SIDE|PLANE_SEAT_gripper_joint2_PARENT_SIDE|PLANE_ZERO_gripper_joint2_PARENT_SIDE,NONE,RECOVERY_REFROZEN_NOT_CREATED
gripper_left,B51R1_CARRIER_gripper_left.SLDPRT,B51R1_CARRIER_MR1_gripper_left.SLDPRT,gripper_joint1,prismatic,AXIS_gripper_joint1|PLANE_SEAT_gripper_joint1_CHILD_SIDE|PLANE_ZERO_gripper_joint1,NONE,NONE,NONE,RECOVERY_REFROZEN_NOT_CREATED
gripper_right,B51R1_CARRIER_gripper_right.SLDPRT,B51R1_CARRIER_MR1_gripper_right.SLDPRT,gripper_joint2,prismatic,AXIS_gripper_joint2|PLANE_SEAT_gripper_joint2_CHILD_SIDE|PLANE_ZERO_gripper_joint2,NONE,NONE,NONE,RECOVERY_REFROZEN_NOT_CREATED
