margin_deg,mode,decolocate,L_mm,W_mm,H_mm,worst_protrusion_mm,inside_box,corridor_thickness_mm,root_distal_overlap_mm,min_margin_to_hard_limit_deg,seed_spread,q1,q2,q3,q4,q5,q6
0.0,FIT_FULL,False,381.983,242.284,242.284,7.992,False,106.202,80.697,0.272,0.0000,1.893,-0.572,-0.272,78.439,-51.199,-1.112
0.0,FIT_FULL,True,361.093,243.117,243.117,8.409,False,107.036,77.452,0.007,0.0000,1.793,-0.542,-0.255,89.947,-52.453,-1.047
0.0,THIN_FULL,False,361.094,247.976,226.342,10.838,False,113.943,77.238,0.000,0.0000,1.508,0.000,-0.000,89.954,-43.085,0.492
0.0,THIN_FULL,True,361.094,247.976,226.342,10.838,False,113.943,77.238,0.000,0.0000,1.508,0.000,-0.000,89.954,-43.085,0.492
2.0,FIT_FULL,False,383.348,243.648,243.648,8.674,False,99.060,81.200,2.242,0.0000,2.030,-2.277,-2.242,77.772,-51.406,-1.152
2.0,FIT_FULL,True,383.270,243.570,243.570,8.635,False,97.735,81.488,2.225,0.0000,1.741,-2.225,-2.268,77.773,-51.438,-1.359
2.0,THIN_FULL,False,364.178,250.439,226.300,12.069,False,107.745,77.076,2.000,0.0000,1.776,-2.088,-2.000,87.954,-43.228,-1.126
2.0,THIN_FULL,True,364.178,250.439,226.300,12.069,False,107.745,77.076,2.000,0.0000,1.776,-2.088,-2.000,87.954,-43.228,-1.126
3.0,FIT_FULL,False,383.692,243.994,243.994,8.847,False,95.064,81.593,3.002,0.0000,1.783,-3.002,-3.134,77.389,-51.525,-1.346
3.0,FIT_FULL,True,383.816,244.116,244.116,8.908,False,95.157,81.517,3.081,0.0000,1.848,-3.081,-3.267,77.352,-51.521,-0.958
3.0,THIN_FULL,False,366.000,252.484,226.300,13.092,False,103.526,77.407,3.000,0.0000,1.407,-3.000,-3.000,86.954,-43.175,-1.013
3.0,THIN_FULL,True,366.000,252.484,226.300,13.092,False,103.526,77.407,3.000,0.0000,1.407,-3.000,-3.000,86.954,-43.175,-1.013
5.0,FIT_FULL,False,385.410,245.711,244.330,9.706,False,91.831,82.843,5.000,0.0000,1.872,-5.000,-5.000,76.327,-47.754,-1.104
5.0,FIT_FULL,True,379.748,245.732,245.732,9.716,False,90.819,79.804,5.000,0.0000,1.711,-5.039,-5.000,79.630,-52.047,-1.029
5.0,THIN_FULL,False,368.472,258.390,226.300,16.045,False,100.278,77.730,5.000,0.0000,1.456,-6.904,-5.000,84.954,-29.593,-1.335
5.0,THIN_FULL,True,368.472,258.390,226.300,16.045,False,100.278,77.730,5.000,0.0000,1.456,-6.904,-5.000,84.954,-29.593,-1.335
