bibkey,year,category,mission_line,priority,doi_status,local_pdf,reading_card
rybus2024manipulators,2024,survey,both,P0,VERIFIED,50_literature/pdf/01_survey/rybus2024manipulators.pdf,
papadopoulos2021survey,2021,survey,both,P0,VERIFIED,50_literature/pdf/01_survey/papadopoulos2021survey.pdf,50_literature/references/notes/papadopoulos2021survey.md
alizadeh2024comprehensive,2024,survey,both,P1,VERIFIED,50_literature/pdf/01_survey/alizadeh2024comprehensive.pdf,50_literature/references/notes/alizadeh2024comprehensive.md
sst2024autonomous,2025,survey,both,P1,VERIFIED,50_literature/pdf/01_survey/sst2024autonomous.pdf,50_literature/references/notes/sst2024autonomous.md
zhang2022adcr,2022,survey,debris_removal,P2,VERIFIED,50_literature/pdf/01_survey/zhang2022adcr.pdf,50_literature/references/notes/zhang2022adcr.md
ellery2019tutorial,2019,survey,debris_removal,P2,VERIFIED,50_literature/pdf/01_survey/ellery2019tutorial.pdf,50_literature/references/notes/ellery2019tutorial.md
wilde2018tutorial,2018,gjm_rns,platform_common,P0,VERIFIED,50_literature/pdf/02_gjm_rns/wilde2018tutorial.pdf,50_literature/references/notes/wilde2018tutorial.md
yoshida2001zrm,2001,gjm_rns,platform_common,P0,VERIFIED_AFTER_ADJUDICATION,50_literature/pdf/02_gjm_rns/yoshida2001zrm.pdf,50_literature/references/notes/yoshida2001zrm.md
xu2017reactiontorque,2017,gjm_rns,platform_common,P0,VERIFIED_AFTER_ADJUDICATION,50_literature/pdf/02_gjm_rns/xu2017reactiontorque.pdf,
nenchev1999impact,1999,gjm_rns,debris_removal,P1,VERIFIED,50_literature/pdf/02_gjm_rns/nenchev1999impact.pdf,50_literature/references/notes/nenchev1999impact.md
yoshida2004impedance,2004,contact_capture,debris_removal,P0,VERIFIED,50_literature/pdf/03_contact_capture/yoshida2004impedance.pdf,50_literature/references/notes/yoshida2004impedance.md
uyama2012compliantwrist,2012,contact_capture,debris_removal,P1,VERIFIED,50_literature/pdf/03_contact_capture/uyama2012compliantwrist.pdf,50_literature/references/notes/uyama2012compliantwrist.md
uyama2016hybrid,2016,contact_capture,debris_removal,P1,VERIFIED,50_literature/pdf/03_contact_capture/uyama2016hybrid.pdf,
fujii2024gripping,2024,contact_capture,both,P1,VERIFIED,50_literature/pdf/03_contact_capture/fujii2024gripping.pdf,
gerstmayr2013ancfreview,2013,flexible_ancf,platform_common,P0,VERIFIED,,
gerstmayr2008elasticline,2008,flexible_ancf,platform_common,P0,VERIFIED,50_literature/pdf/04_flexible_ancf/gerstmayr2008elasticline.pdf,
gerstmayr2023exudyn,2023,flexible_ancf,platform_common,P1,VERIFIED,50_literature/pdf/04_flexible_ancf/gerstmayr2023exudyn.pdf,
tayebi2025vibrationeditorial,2025,flexible_ancf,platform_common,P0,VERIFIED,50_literature/pdf/04_flexible_ancf/tayebi2025vibrationeditorial.pdf,50_literature/references/notes/tayebi2025vibrationeditorial.md
ma2025latticemeta,2025,flexible_ancf,platform_common,P1,VERIFIED,50_literature/pdf/04_flexible_ancf/ma2025latticemeta.pdf,50_literature/references/notes/ma2025latticemeta.md
spacemind2026,2026,embodied_vla,platform_common,P0,,50_literature/pdf/05_embodied_vla/spacemind2026.pdf,50_literature/references/notes/spacemind2026.md
kawaharazuka2025vlareview,2025,embodied_vla,platform_common,P0,VERIFIED,50_literature/pdf/05_embodied_vla/kawaharazuka2025vlareview.pdf,50_literature/references/notes/kawaharazuka2025vlareview.md
ma2024vlasurvey,2024,embodied_vla,platform_common,P1,,50_literature/pdf/05_embodied_vla/ma2024vlasurvey.pdf,50_literature/references/notes/ma2024vlasurvey.md
kim2024openvla,2024,embodied_vla,platform_common,P1,,50_literature/pdf/05_embodied_vla/kim2024openvla.pdf,50_literature/references/notes/kim2024openvla.md
rodriguez2024lmspacecraft,2024,embodied_vla,platform_common,P2,,50_literature/pdf/05_embodied_vla/rodriguez2024lmspacecraft.pdf,50_literature/references/notes/rodriguez2024lmspacecraft.md
park2021speedplus,2021,embodied_vla,platform_common,P0,,50_literature/pdf/05_embodied_vla/park2021speedplus.pdf,50_literature/references/notes/park2021speedplus.md
orsula2025srb,2025,embodied_vla,platform_common,P0,,50_literature/pdf/05_embodied_vla/orsula2025srb.pdf,50_literature/references/notes/orsula2025srb.md
visualservoing2024survey,2024,embodied_vla,platform_common,P1,,50_literature/pdf/05_embodied_vla/visualservoing2024survey.pdf,50_literature/references/notes/visualservoing2024survey.md
li2022assemblysurvey,2022,on_orbit_assembly,on_orbit_assembly,P0,VERIFIED,50_literature/pdf/06_on_orbit_assembly/li2022assemblysurvey.pdf,50_literature/references/notes/li2022assemblysurvey.md
hu2025ultralarge,2025,on_orbit_assembly,on_orbit_assembly,P0,CROSSREF_NOT_FOUND,50_literature/pdf/06_on_orbit_assembly/hu2025ultralarge.pdf,50_literature/references/notes/hu2025ultralarge.md
kenneally2020basilisk,2020,platform,platform_common,P1,VERIFIED,50_literature/pdf/07_platform/kenneally2020basilisk.pdf,50_literature/references/notes/kenneally2020basilisk.md
alali2024hiltestbed,2024,platform,debris_removal,P1,VERIFIED,50_literature/pdf/07_platform/alali2024hiltestbed.pdf,50_literature/references/notes/alali2024hiltestbed.md
ding2025spacerobotops,2025,chinese,both,P0,CROSSREF_NOT_FOUND,50_literature/pdf/08_chinese/ding2025spacerobotops.pdf,50_literature/references/notes/ding2025spacerobotops.md
liu2021spacemanipulator,2021,chinese,both,P0,CROSSREF_NOT_FOUND,50_literature/pdf/08_chinese/liu2021spacemanipulator.pdf,50_literature/references/notes/liu2021spacemanipulator.md
sscae2024strategy,2024,chinese,both,P1,VERIFIED,50_literature/pdf/08_chinese/sscae2024strategy.pdf,50_literature/references/notes/sscae2024strategy.md
vijayan2022detumbling,2022,contact_capture,debris_removal,P0,VERIFIED,50_literature/pdf/03_contact_capture/vijayan2022detumbling.pdf,
palma2022compliantjoint,2022,contact_capture,both,P0,VERIFIED,50_literature/pdf/03_contact_capture/palma2022compliantjoint.pdf,
liu2022flexiblecapture,2022,contact_capture,debris_removal,P0,VERIFIED,50_literature/pdf/03_contact_capture/liu2022flexiblecapture.pdf,50_literature/references/notes/liu2022flexiblecapture.md
lee2016modulartelescope,2016,on_orbit_assembly,on_orbit_assembly,P0,VERIFIED,50_literature/pdf/06_on_orbit_assembly/lee2016modulartelescope.pdf,50_literature/references/notes/lee2016modulartelescope.md
virgilillop2019simultaneous,2019,contact_capture,debris_removal,P0,VERIFIED,50_literature/pdf/03_contact_capture/virgilillop2019simultaneous.pdf,50_literature/references/notes/virgilillop2019simultaneous.md
mavrakis2021rocketstage,2021,contact_capture,debris_removal,P1,VERIFIED,50_literature/pdf/03_contact_capture/mavrakis2021rocketstage.pdf,
park2024poseestimation,2024,embodied_vla,platform_common,P1,VERIFIED,50_literature/pdf/05_embodied_vla/park2024poseestimation.pdf,
lampariello2018tracking,2018,contact_capture,debris_removal,P0,VERIFIED,50_literature/pdf/03_contact_capture/lampariello2018tracking.pdf,50_literature/references/notes/lampariello2018tracking.md
yoshida1999vibrationsuppression,1999,gjm_rns,platform_common,P0,VERIFIED,50_literature/pdf/02_gjm_rns/yoshida1999vibrationsuppression.pdf,50_literature/references/notes/yoshida1999vibrationsuppression.md
virgilillop2019convexguidance,2019,contact_capture,debris_removal,P0,VERIFIED,50_literature/pdf/03_contact_capture/virgilillop2019convexguidance.pdf,50_literature/references/notes/virgilillop2019convexguidance.md
nenchev1999flexiblerns,1999,gjm_rns,platform_common,P0,VERIFIED,50_literature/pdf/02_gjm_rns/nenchev1999flexiblerns.pdf,50_literature/references/notes/nenchev1999flexiblerns.md
