item_id,quantity,assembly_item,component_or_slot,geometry_source,geometry_status,material,supplier_or_vendor,mass,tolerance,finish,fasteners,procurement_status,release_hold,candidate_asset_path,v2_row_disposition
DP-001,1,12U bus core,INST_BUS_12U_CORE,model_specs_v0.json analytic primitives,block proxy with legacy flange,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,internal structure and load bridge unknown,NONE,CARRIED_FROM_V1
DP-002,1,left solar array,INST_SOLAR_ARRAY_LEFT_DEPLOYED,model_specs_v0.json box primitive,deployed proxy only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,stowed geometry and hinge kinematics unknown,NONE,CARRIED_FROM_V1
DP-003,1,right solar array,INST_SOLAR_ARRAY_RIGHT_DEPLOYED,model_specs_v0.json box primitive,deployed proxy only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,stowed geometry and hinge kinematics unknown,NONE,CARRIED_FROM_V1
DP-004,1,B601 arm system,INST_B601_ARM_CORE_Q0,B601_KINEMATIC_ASSEMBLY_Q0_WITNESS.step,frame and axis witness only,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_A_PROCUREMENT_BOM,physical arm B-rep and fitup unknown,NONE,CARRIED_FROM_V1
DP-005,1,M3R Stage A ring,INST_M3R_INTERFACE_ASSEMBLY,M3R_INTERFACE_ASSEMBLY_V2_WORKING.step,working combined B-rep stage component,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,fitup material tolerance and fastener authority unknown,NONE,CARRIED_FROM_V1
DP-006,1,M3R Stage B load diffusion plate,INST_M3R_INTERFACE_ASSEMBLY,M3R_INTERFACE_ASSEMBLY_V2_WORKING.step,working combined B-rep stage component,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,load bridge fitup material tolerance and fastener authority unknown,NONE,CARRIED_FROM_V1
DP-007,1,spacecraft to M3R load bridge,SLOT_SPACECRAFT_LOAD_BRIDGE__UNRESOLVED,no authorized geometry,CANDIDATE_GEOMETRY_PENDING_WP1,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,structural load path discontinuity,20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp1_load_bridge/ (candidate geometry and datums pending WP1),UPGRADED_TO_CANDIDATE_GEOMETRY_STATUS
DP-008,1,gripper R1 palm,INST_GRIPPER_R1_PALM,B601_GRIPPER_PALM_RAIL_SLOT_R1.step,palm-only working B-rep,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,NOT_RELEASED,finger contact structural and manufacturing clearance unknown,NONE,CARRIED_FROM_V1
DP-009,1 set,gripper R1 separated fingers,SLOT_GRIPPER_R1_FINGERS__UNRESOLVED,no valid separated B-reps,absent,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,contact geometry and pregrasp state unknown,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_GRIPPER_R1_LEFT_FINGER_GRIPPER_LINK_LOCAL_M.ply; 20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_GRIPPER_R1_RIGHT_FINGER_GRIPPER_LINK_LOCAL_M.ply (diagnostic link-local surface meshes; not separated B-reps),CARRIED_FROM_V1_WITH_CANDIDATE_PATH
DP-010,1,sensor package,SLOT_SENSOR_PACKAGE__UNRESOLVED,model_specs_v0.json rejected camera placeholder,source available but not installed,UNSPECIFIED_HOLD,UNASSIGNED,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,UNSPECIFIED_HOLD,HARD_HOLD,source pose penetrates M3R and replacement pose is not authorized,NONE__NO_M5_OR_M6_CANDIDATE_ASSET,CARRIED_FROM_V1
