source_id,path,bytes,sha256,role,match
owner_attachment,C:/Users/stude/.codex/attachments/0cd497c9-fcae-4714-997d-859171b88dc2/pasted-text.txt,18519,EB9138AF1C04E07F7470587871F26A364DCB754994A6C1131F077D0467E91AC3,EXTERNAL_OWNER_DIRECTIVE,True
odr60_decision_request,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-60_DECISION_REQUEST.json,25828,09686A33E1FD7984DB041A9E7D4609EF30785C93392B4CCA431701B68B52FA62,OWNER_RESPONSE_CONTRACT,True
option_a_scope,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR-60_OPTION_A_M01_TRAJECTORY_SCOPE_TEMPLATE.yaml,10529,B10972A8FFB01CFA1A99DDEAA9A5A018038E87BE6E649749FDD31B490DF6C308,AUTHORIZED_BRANCH_SCOPE_AFTER_SELECTION,True
legacy_preflight_inputs,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/ODR60_OPTION_A_PREFLIGHT_INPUTS_V1.json,12661,EF5E92A41AAEBF9EC6C3643B85B0ADC9B8E6567A0BEA5A692953FF148FF31EAE,IMMUTABLE_LEGACY_INPUT,True
legacy_preflight_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_PREFLIGHT_V1/ODR60_OPTION_A_PREFLIGHT_GATE_V1.json,8344,664E7E8FF98839858D4234730F6BB78496006DF3D33F54FF1425D804D7D8436A,IMMUTABLE_LEGACY_DUPLICATE_KEY_EVIDENCE,True
binding_intake_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_BINDING_INTAKE_V1/BINDING_INTAKE_GATE_V1.json,20629,509127D151BE7C60B74C54A12E629C0CC673126DEC5DF158177AED9E72009634,BINDING_INTAKE,True
provisional_mount_candidate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_BINDING_INTAKE_V1/PROVISIONAL_MOUNT_REBIND_CANDIDATE_V1.json,3539,664EA6181ECCCA81C05FAFF4D949E90ECF452CB9B8B1CAB89282CD26261DA59A,MOUNT_LINEAGE_ONLY,True
scene_intake,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_BINDING_INTAKE_V1/SYSTEM_SCENE_STATE_INTAKE_V1.json,5465,725EA607DAE3C268945B457CAE68D90134FB4B13F94882BE70912B4A70D36352,SCENE_GAP_AUTHORITY,True
clearance_intake,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_BINDING_INTAKE_V1/CLEARANCE_POLICY_INTAKE_V1.json,4845,51BF794D0DFFE8B877048EF367B7CCE54EAF3FF37BD1E5F79CB595DCC5AFFAB1,CLEARANCE_GAP_AUTHORITY,True
collision_authority_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/ODR60_OPTION_A_COLLISION_AUTHORITY_GATE_V1.json,7336,81D9201F2A7F62C450C45A067E586BAD722688F300F4D3AC816427BF30C0D763,COLLISION_AUTHORITY,True
system_collision_registry,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_SYSTEM_COLLISION_REGISTRY_V1.json,247325,AC975D11CC4715277E34FCFF7ABF049BC57334FD8F03AAB223BBED0877B1694F,OBJECT_REGISTRY,True
pair_coverage,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_PAIR_COVERAGE_V1.csv,1416771,C1F64FB26D4E563EEF6BF798EE163645FE16766CC3C510552769DB7FDF97306C,PAIR_UNIVERSE,True
base_proxy_receipt,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_RECEIPT_V2.json,7325,5871D0AF4F9E31BF19240E4C8E885CB4715DA8936FF74BBB34F2367655BBACDA,BASE_OPERATIONAL_PROXY,True
system_binding_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/SYSTEM_BINDING_READINESS_GATE_V1.json,24533,D93D9710EB1177417565B303138956CC70A41B0373A7148863CDEC6CF9877223,SYSTEM_BINDING_READINESS,True
motion_contract,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/OBJECT_MOTION_BOUND_CONTRACT_V1.json,15414,CA1A741576A90301D77FD684DFA07882FB1AB88A00E927C1381D8709C715A5CD,MOTION_CERTIFICATE_CONTRACT,True
pair_oracle_contract,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_SYSTEM_BINDING_CONTRACT_V1/SYSTEM_PAIR_ORACLE_CONTRACT_V1.json,13175,D8B9CEE66BBD1793732F08F8E52C070B91CC5A6FCAAE56820E09E3C13BC81417,PAIR_ORACLE_CONTRACT,True
unified_frame_tree,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/source_only_v2/UNIFIED_R2_SYSTEM_FRAME_TREE_V2.yaml,11828,5F8B19DC5BF14EFBB3C6A781C6816D52FE80804DAB328821623E165239999756,FULL_PRECISION_FRAME_LEDGER,True
unified_source_inputs,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/source_only_v2/UNIFIED_R2_URDF_SOURCE_INPUTS_V2.yaml,17945,8DC401FF86F6642DDD47585AD7ECE74F58831E7D3848F3B002BBF2B5952C56F3,INDEPENDENT_FULL_PRECISION_FRAME_LEDGER,True
m3r_physical_stack,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml,1246,172F3603E458F670323925E644BC68623EE9C85FCA7AF1200FAE2576EB43C68B,PHYSICAL_INSTALLATION_AUTHORITY,True
m5_linklocal_geometry,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/B601_CAD_MESH_FRAME_DECISION_V1.json,32652,2A99484C6CE55B402CB06380F5DCB71D5A8B4BA622A371EEF72F4EC69EF124FF,LINK_LOCAL_ASSET_FRAME_AUTHORITY,True
wp11_cad_urdf_calibration,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp11_cad_urdf_registration/B601_CAD_URDF_GEOMETRY_CALIBRATION_V1.yaml,36293,7463C1309C3530A42BB32CB4A661FFA56575691DFB7A4BE801AAE9094BEB51E1,DESIGN_CALIBRATION,True
accepted_b601_urdf,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,11321,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,KINEMATIC_HARDWARE_TRUTH,True
