"claim_id","layer","scientific_question","hypothesis","model_or_asset","numerical_experiment","gate_or_decision","status","result","allowed_claim","forbidden_claim","evidence_path","limitation_or_rerun_trigger"
"C00","Geometry_SSOT","统一几何、坐标系和质量惯量是否足以支撑后续计算","配置化SSOT可减少跨模块口径漂移","12U+B601、目标、接口、帆板和frame tree","配置消费与一致性检查；无制造计量闭环","无独立科学Gate","SCREENING_ONLY","配置链已建立但含低置信和占位参数","已有统一可追溯的v0输入基线","最终CAD、制造图或真实质量惯量已认证","20_engineering/config/geometry/; 20_engineering/config/coupled_scene/; 20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv","实测尺寸、接口或质量惯量更新触发下游重跑"
"C01","sim_01","无外力矩刚体自由飞行是否保持守恒","正确积分应保持角动量和能量近似不变","12U刚体自由转动","attitude_rate时序","无模块级Gate JSON；sim11全刚化退化链复核","SCREENING_ONLY","存在冻结刚体守恒基准","内部刚体守恒基准可复用","飞行验证或完整航天器动力学认证","30_simulation/sim_01_free_flight/results/attitude_rate.csv; 30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json","无环境扰动；独立科学Gate缺失"
"C02","sim_02","自由翻滚目标是否产生间歇可见窗口","冻结初始角速度下可见性随姿态周期变化","自由翻滚刚体目标与简化可见性","tumble_pose时序","无模块级Gate JSON","SCREENING_ONLY","形成冻结场景翻滚/窗口示例","冻结简化场景存在间歇窗口","真实感知、识别或状态估计已验证","30_simulation/sim_02_target_tumble/results/tumble_pose.csv","无相机、噪声、遮挡与真实数据"
"C03","sim_03","机械臂运动对自由基座姿态有何一阶影响","平面降阶动量交换会引起基座偏转","早期平面臂-基座模型","base_reaction时序","无模块级Gate JSON；后续sim05扩展","SCREENING_ONLY","提供早期耦合趋势","概念级反冲趋势","完整6R三维、真实B601或飞行性能","30_simulation/sim_03_arm_reaction/results/base_reaction.csv; 30_simulation/sim_05_free_floating_arm/README_sim_05.md","已被6R主线扩展，不作现行headline"
"C04","sim_04","启发式抓捕走廊能否筛选候选","动量和相对速度阈值可做早期筛选","v0启发式走廊","capture corridor扫掠","无当前machine Gate；已被sim06/10更新","SCREENING_ONLY","保留历史筛选价值","早期启发式曾缩小候选范围","v0 SAFE标签证明当前抓捕安全","30_simulation/sim_04_capture_corridor/results/","阈值和动力学简化；不得覆盖精确冲量结果"
"C05","sim_05","三维6R动量交换是否显著扰动基座","机械臂动作会造成可观基座姿态变化","B601 6R自由漂浮模型","601点动作传播","sim11 G3b PASS","SCREENING_ONLY","冻结动作峰值约19.20deg且被sim11复核","冻结动力学动作下存在显著动量交换","真实控制器、关节动力学或硬件安全","30_simulation/sim_05_free_floating_arm/results/sim_05_base_attitude.csv; 30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json","q2=+60deg为动力学锚而非飞行轨迹"
"C06","sim_06","捕获瞬时刚性化冲量能否提供边界锚点","精确动量合并可区分轻/重目标锚点","完全塑性瞬时刚性化","40组捕获冲量","sim10 X1 PASS","SCREENING_ONLY","150kg@3deg/s约3.0633deg/s；22kg锚约1.3872deg/s","冻结刚性化模型的冲量锚点","capture等同detumble；柔性或安全抓捕","30_simulation/sim_06_capture_impulse/results/capture_impulse_matrix_v0.csv; 30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json","瞬时、完全塑性；无接触时程和柔性"
"C07","sim_07","柔性附件是否放大接触扰动","柔性响应对接触约束与激励形式敏感","ANCF部件模型","点捕获与刚性锁定响应","e15候选级认证REPEAT；sim11 G3a组件对齐PASS","SCREENING_ONLY","有部件级响应趋势，完整认证未闭合","冻结部件模型显示柔性敏感性","完整柔性航天器或ANCF跨解算器合格","30_simulation/sim_07_ancf_flexible/results/; 30_simulation/e15_ancf_certification/results/gate_summary.json; 30_simulation/sim_11_coupled_dynamics/results/sim_11_gate_check.json","真实帆板参数与候选级认证待闭合"
"C08","sim_08","执行机构预算能否支撑任务窗口筛选","轮组/推力器/资源约束可分层判定","占位执行机构预算","960组预算扫掠","sim10 X3 PASS","PASS_WITH_PROVISIONAL_PARAMS","形成sim10资源输入并通过锚点对拍","占位参数下的执行机构预算筛选","已选型硬件、真实饱和能力或飞行性能","30_simulation/sim_08_detumble_actuator_budget/results/actuator_budget_sweep.csv; 30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json","执行机构档和任务时限为占位/假设"
"C09","sim_09_E1","几何、IK、冲量和柔性筛选能否形成候选集","多层筛选可形成Pareto候选","E1抓点评价器","72例；69 IK可行；24 admissible；Pareto16","无最终scientific PASS；后续e15 REPEAT","SCREENING_ONLY","候选与Pareto样本已生成","形成候选筛选样本","候选安全、已认证或可直接进硬件","30_simulation/sim_09_grasp_evaluator/results/e1_gate_check.json; 30_simulation/sim_09_grasp_evaluator/results/e1_results_72cases.csv","柔性与候选级认证未闭合"
