"path","category","current_replacement","evidence","recommendation","confidence"
"01_project/competition/archive/00_repo_truth_audit_20260711.md","ALREADY_ARCHIVED","10_research/partner_requirement_closure/state_truth_report.md + 阶段裁决","c7f09ab R100；archive README 已登记","ALREADY_COMPLETE；NO_ACTION","HIGH"
"01_project/competition/archive/01_award_strategy_and_critical_path.md","ALREADY_ARCHIVED","研究战略裁决 + 各 master_plan","c7f09ab R100；archive README 已登记","ALREADY_COMPLETE；NO_ACTION","HIGH"
"01_project/competition/archive/embodied_grasping_research_scope.md","ALREADY_ARCHIVED","研究战略裁决 + partner_requirement_closure 需求映射","c7f09ab R100","ALREADY_COMPLETE；NO_ACTION","HIGH"
"01_project/competition/archive/grasp_candidate_evaluator_design.md","ALREADY_ARCHIVED","sim_09 冻结交付与现行报告","c7f09ab R100","ALREADY_COMPLETE；NO_ACTION","HIGH"
"01_project/competition/archive/paper01_structure_design.md","ALREADY_ARCHIVED","10_research/paper1_architecture.md","c7f09ab R100","ALREADY_COMPLETE；NO_ACTION","HIGH"
"01_project/competition/archive/paper01_literature_landscape.md","ALREADY_ARCHIVED","文献缺口审计_20260718.md + sim12_literature_closure.md","c7f09ab R100","ALREADY_COMPLETE；NO_ACTION","HIGH"
"01_project/competition/archive/ClaudeCode任务提示词_耦合场景搭建_20260717.md","ALREADY_ARCHIVED",".codex 工单体系","c7f09ab R100","ALREADY_COMPLETE；NO_ACTION","HIGH"
"01_project/competition/archive/README.md","ARCHIVE_INDEX","自身为现行归档索引","c7f09ab 新增并列出7项替代关系","仅在批准新增归档时追加","HIGH"
"01_project/competition/项目现状总览_20260715.md","SUPERSEDED_STATUS_SNAPSHOT","01_project/competition/项目现状总览_20260720.md","20260720 标题明确取代20260715；旧版停留于早期状态","建议后续批准后 git mv 入现有 archive；本轮不移动","HIGH"
"01_project/competition/sim10_mission_feasibility_design.md","COMPLETED_PLAN_STILL_SAYS_UNIMPLEMENTED","sim_10 现行报告 + sim_10_gate_check.json","设计书仍称未实施；机器 verdict 已 PASS","归档候选；先处理现行引用","HIGH"
".codex/AGENTS.md","UPDATED_THIS_TURN","10_research/README.md + research_state_v4.md","已移除 sim_12 唯一在研冲突；Wave A 明确 PLANNED_NOT_AUTHORIZED","ALREADY_COMPLETE；NO_ARCHIVE","HIGH"
".codex/agents/physics-agent-architect.md","UPDATED_THIS_TURN","sim_12_gate_check.json + 当前工具状态","已加 Phase1 PASS 与 DRAFT_NOT_IMPLEMENTED 覆盖","ALREADY_COMPLETE；NO_ARCHIVE","HIGH"
".codex/skills/README.md","UPDATED_THIS_TURN","10_research/research_state_v4.md","skill 0 现行指针已改为 v4，v3 标历史","ALREADY_COMPLETE；NO_ARCHIVE","HIGH"
"10_research/paper1_architecture.md","UPDATED_THIS_TURN_WITH_HISTORICAL_BODY","sim_12_gate_check.json + 当前 Paper1 状态","已加 sim_12 ALREADY_COMPLETE 状态覆盖；历史正文保留","ALREADY_COMPLETE；NO_ARCHIVE","HIGH"
"10_research/research_state_v3.md","INTENTIONAL_HISTORICAL_SNAPSHOT","10_research/research_state_v4.md","v4 与 README 明确 v3 为 Wave0 前快照","NO_ACTION；可选加历史横幅","HIGH"
"10_research/control/attitude_stabilization_research_plan.md","UPDATED_PREREGISTRATION_HISTORY","CTRL-02 gate + Wave1 裁决","已加 PASS_WITH_PROVISIONAL_SCOPE/PENDING_REVIEW/L0未评估状态覆盖；预注册正文保留","ALREADY_COMPLETE；NO_ARCHIVE","HIGH"
"10_research/control/trajectory_control_research_plan.md","UPDATED_PREREGISTRATION_HISTORY","CTRL-01 gate + CP6","已加 REPEAT 真实负结果收口状态覆盖；预注册正文保留","ALREADY_COMPLETE；NO_ARCHIVE","HIGH"
"01_project/competition/研究战略裁决_第二收敛点_20260717.md","VALID_DECISION_WITH_STALE_STATUS","项目现状总览_20260720.md + 当前 Gate","战略逻辑仍有价值，状态/日历已过期","MANUAL_REVIEW；加冻结日期与当前状态指针","HIGH"
"01_project/competition/项目现状总览_20260720.md","UPDATED_THIS_TURN","各模块 Gate 与原始结果","已补 sim_01-08 分层证据、SAFE/CTRL review/provisional、J/H 与 DT2 限定","ALREADY_COMPLETE；NO_ARCHIVE","HIGH"
"10_research/README.md","UPDATED_THIS_TURN","各模块 Gate JSON + framework_convergence","已补 SAFE/CTRL 限定、Wave A 授权状态与证据矩阵链接","ALREADY_COMPLETE；NO_ARCHIVE","MEDIUM"
"20_engineering/stage1_spacecraft_layout/07_next_actions/repo_status_snapshot_v0.md","OBSOLETE_REPOSITORY_SNAPSHOT","当前 git 状态 + 现行审计","仍称早期仓库/CAD状态","MANUAL_REVIEW；历史横幅或 stage1 专用 archive","HIGH"
"20_engineering/stage1_spacecraft_layout/07_next_actions/stage1c_cad_modeling_entry_plan.md","COMPLETED_ENTRY_PLAN","model_specs_v0.json + 现有 STEP/STL/URDF","仍以未来式描述 CAD","MANUAL_REVIEW；核对完成定义后标 EXECUTED 或归档","MEDIUM"
"20_engineering/stage1_spacecraft_layout/03_mechanical_layout_notes/servicer_12U_layout_baseline_v0.md","STALE_STATUS_IN_DESIGN_BASELINE","12U CAD + 20_engineering/config/geometry SSOT","仍称 CAD 未完成，但设计输入仍可能有效","MANUAL_REVIEW；加状态横幅","MEDIUM"
"20_engineering/stage1_spacecraft_layout/03_mechanical_layout_notes/servicer_6U_quick_layout_baseline_v0.md","OFF_MAINLINE_EXPLICITLY_SCOPED","12U+B601 主线","正文明确6U仅快速验证","NO_ACTION；不归档科学/CAD资产","HIGH"
"20_engineering/config/geometry/arm_mount_v1.yaml","POSSIBLE_6U_PATH_CONFLICT","12U+B601 SSOT","native_part 仍指 servicer_6U_v0 路径","MANUAL_REVIEW；判断是存放路径还是现行来源；禁止自动修改","MEDIUM"
"<tracked-text-corpus>","EXACT_DUPLICATE_SCAN","N/A","380个已跟踪md/txt/csv/yaml/yml/json的SHA-256重复组为0","NO_ACTION；无可据哈希直接归档的完全重复文件","HIGH"
