term_id,chain_id,quantity,physical_role,nominal_value,unit,standard_uncertainty,distribution,degrees_of_freedom,sensitivity_sign,source_class,source,status,closure_evidence
GRP-TOL-001,RAIL_PALM_FUNCTIONAL_CLEARANCE,Palm slot controlled width,Positive contributor to functional clearance,null,mm,null,null,null,positive,UNKNOWN,null,HOLD,Dimensioned datum-controlled drawing and inspection method.
GRP-TOL-002,RAIL_PALM_FUNCTIONAL_CLEARANCE,Moving rail maximum material width,Negative contributor to functional clearance,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Dimensioned datum-controlled drawing and inspection method.
GRP-TOL-003,RAIL_PALM_FUNCTIONAL_CLEARANCE,Left-side coating build,Negative contributor if coating is applied to the mating stack,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Selected coating process specification measured build and uncertainty.
GRP-TOL-004,RAIL_PALM_FUNCTIONAL_CLEARANCE,Right-side coating build,Negative contributor if coating is applied to the mating stack,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Selected coating process specification measured build and uncertainty.
GRP-TOL-005,RAIL_PALM_FUNCTIONAL_CLEARANCE,Slot straightness projection,Negative worst-case contributor across engaged length,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Datum scheme straightness control engaged length and inspection capability.
GRP-TOL-006,RAIL_PALM_FUNCTIONAL_CLEARANCE,Rail straightness projection,Negative worst-case contributor across engaged length,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Datum scheme straightness control engaged length and inspection capability.
GRP-TOL-007,RAIL_PALM_FUNCTIONAL_CLEARANCE,Guide-pair parallelism projection,Negative contributor from angular misalignment,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Guide spacing parallelism control and angular-to-linear sensitivity model.
GRP-TOL-008,RAIL_PALM_FUNCTIONAL_CLEARANCE,Assembly datum shift,Negative worst-case contributor from part location,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Assembly datum chain locating-feature tolerances and measurement plan.
GRP-TOL-009,RAIL_PALM_FUNCTIONAL_CLEARANCE,Differential thermal displacement,May be positive or negative across the qualified temperature range,null,mm,null,null,null,unknown,UNKNOWN,null,HOLD,Selected materials temperature range reference temperature and correlated CTE uncertainty.
GRP-TOL-010,RAIL_PALM_FUNCTIONAL_CLEARANCE,Elastic deflection under authorized guide load,Negative contributor under operating load,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Authorized load case support conditions stiffness model and validation evidence.
GRP-TOL-011,RAIL_PALM_FUNCTIONAL_CLEARANCE,Wear growth or debris allowance,Negative life-cycle contributor,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Qualified cycle count wear distribution debris control and inspection limit.
GRP-TOL-012,RAIL_PALM_FUNCTIONAL_CLEARANCE,Required guard band,Decision-rule allowance between measured clearance and specification limit,null,mm,null,null,null,negative,UNKNOWN,null,HOLD,Documented conformity decision rule and false-accept risk policy.
GRP-TOL-013,RAIL_PALM_FUNCTIONAL_CLEARANCE,Digital manufacturing allowance already added to R1 cut,Records the prior digital operation only,0.0,mm,null,null,null,none,DERIVED,GRIPPER_R1_GEOMETRY_VALIDATION.json,PROVISIONAL_CLEARANCE_HOLD,Do not treat as an approved zero-clearance design or substitute for terms GRP-TOL-001 through GRP-TOL-012.
GRP-TOL-014,RAIL_PALM_FUNCTIONAL_CLEARANCE,Minimum functional clearance result,Measurand after all contributors and guard band,null,mm,null,null,null,output,UNKNOWN,null,HOLD,Compute only after every input estimate uncertainty distribution correlation and sensitivity is controlled.

