combination_id,phase,primary_case_ids,combination_rule,coefficients,status,required_authority,allowed_use,claim_limit
COMB-L01,LAUNCH,LC-001;LC-002;LC-003;LC-004,launcher_project_rule,UNKNOWN,HOLD,launcher/deployer ICD plus approved verification plan,CASE_ARCHITECTURE_ONLY,NO_COMBINED_LAUNCH_RESPONSE_OR_MOS
COMB-L02,LAUNCH,LC-001;LC-019,quasi_static_plus_temperature_extreme,UNKNOWN,HOLD,launcher loads plus qualification temperature set,CASE_ARCHITECTURE_ONLY,NO_THERMOMECHANICAL_LAUNCH_CONCLUSION
COMB-S01,SEPARATION,LC-005;LC-006,separation_shock_plus_tipoff,UNKNOWN,HOLD,separation system ICD and event timeline,CASE_ARCHITECTURE_ONLY,NO_SEPARATION_QUALIFICATION
COMB-D01,DEPLOYMENT,LC-007;LC-008,HDRM_release_then_solar_deployment,SEQUENTIAL_NOT_YET_QUANTIFIED,HOLD,selected HDRM and solar deployment authority,MECHANISM_SEQUENCE_DEFINITION,NO_RELEASE_OR_DEPLOYMENT_MARGIN
COMB-D02,DEPLOYMENT,LC-008;LC-009,solar_deployment_with_single_side_failure,UNKNOWN,HOLD,hinge/HDRM model and failure timing,FAILURE_BRANCH_DEFINITION,NO_OFF_NOMINAL_LOAD_CONCLUSION
COMB-A01,ON_ORBIT_ARM,LC-010;LC-019,nominal_arm_slew_plus_thermal_extreme,UNKNOWN,HOLD,approved mission trajectory plus thermal environment,LOAD_DERIVATION_PLAN,NO_ARM_OR_M3R_STRENGTH_CONCLUSION
COMB-A02,ON_ORBIT_ARM,LC-011;LC-009,emergency_stop_with_panel_failure,UNKNOWN,HOLD,stop law plus asymmetric system mass properties,FAULT_CASE_DEFINITION,NO_EMERGENCY_STOP_MARGIN
COMB-A03,SAFE_MODE,LC-012;LC-020,joint_fault_to_safe_mode,SEQUENTIAL_NOT_YET_QUANTIFIED,HOLD,mechanical safe-state and joint fault response authority,FAULT_SEQUENCE_DEFINITION,NO_SAFE_MODE_QUALIFICATION
COMB-C01,CAPTURE,LC-013;LC-015;LC-016,22kg_capture_plus_eccentricity_plus_gripper_closure,UNKNOWN,HOLD,contact model and design dispersion approval,RESEARCH_PARAMETRIC_ENVELOPE,NO_GRIPPER_M3R_OR_BUS_STRENGTH_CONCLUSION
COMB-C02,CAPTURE,LC-014;LC-015;LC-016,150kg_capture_plus_eccentricity_plus_gripper_closure,UNKNOWN,HOLD,contact model and design dispersion approval,RESEARCH_PARAMETRIC_ENVELOPE,NO_GRIPPER_M3R_OR_BUS_STRENGTH_CONCLUSION
COMB-P01,POST_CAPTURE,LC-013;LC-017,22kg_capture_then_stabilization,SEQUENTIAL_DERIVED,HOLD,correlated controller/flexible model and interface reactions,COUPLED_DYNAMICS_LOAD_DERIVATION,NO_POST_CAPTURE_QUALIFICATION
COMB-P02,POST_CAPTURE,LC-014;LC-018,150kg_capture_then_stabilization,SEQUENTIAL_DERIVED,HOLD,correlated controller/flexible model and interface reactions,COUPLED_DYNAMICS_LOAD_DERIVATION,NO_POST_CAPTURE_QUALIFICATION
COMB-U01,MODEL_VALIDATION,LC-021,independent_plus_minus_unit_components,1.0,AUTHORIZED_FOR_CHARACTERIZATION,model version and boundary declaration,STIFFNESS_COMPLIANCE_AND_CONVERGENCE_ONLY,NO_PHYSICAL_LOAD_OR_MOS_SCALING_WITHOUT_LINEarity_AND_LOAD_AUTHORITY

