requirement_id,verification_methods,artifact,acceptance_metric,closure_authority,current_status,credit_boundary
M3-GOV-001,I|R,00_authority/M3_PHASE_AUTHORITY_AND_BOUNDARY.yaml,prohibited_release_claim_count=0,SYSTEMS_ENGINEERING_OWNER,PASS_BOUNDARY_CONTROLLED,WORKING_BASELINE_ONLY
M3-AUT-001,I|D,00_authority/FROZEN_INPUT_MANIFEST_V1.json,missing=0|zero_byte=0|hash_drift=0,CONFIGURATION_MANAGER,PASS_42_INPUTS_HASH_BOUND_ZERO_DRIFT,INPUT_INTEGRITY_ONLY
M3-PAR-001,I|R,06_parameterized_parts/m3r/M3R_STAGE_A_PARAMETER_TABLE.yaml,unmapped_model_parameter_count=0,M3R_OWNER,PASS_WORKING_PARAMETER_TABLE,NEUTRAL_WORKING_MODEL
M3-PAR-002,I|R,06_parameterized_parts/m3r/M3R_STAGE_B_PARAMETER_TABLE.yaml,unmapped_model_parameter_count=0,M3R_OWNER,PASS_WORKING_PARAMETER_TABLE,NEUTRAL_WORKING_MODEL
M3-INT-001,A|I|R,02_interfaces/B601_BASE_ADAPTER_REV_C_INTERFACE.yaml,axis_count=4|pcd_mm=90.509641772|manufacturing_tolerance=null,SYSTEM_INTERFACE_OWNER,PASS_WORKING_COMPETITION_INTERFACE_TOLERANCE_HOLD,COMPETITION_AS_BUILT_INTERFACE
M3-PAR-003,I|D|R,06_parameterized_parts/m3r/M3R_INTERFACE_ASSEMBLY_V2_BUILD_RECEIPT.json,valid_solid_count=2|reopen_failures=0,M3R_OWNER,PASS_WORKING_PARAMETERIZED_MODEL_RELEASE_HOLD,FREECAD_STEP_WORKING_MODEL
M3-GRP-001,A|I|D|R,08_mechanisms/gripper/GRIPPER_R1_ENGINEERING_VALIDATION_RECEIPT.json,sample_count=144|positive_target_overlap_mm3=0,GRIPPER_OWNER,PASS_NEUTRAL_SCOPE_NATIVE_REINTEGRATION_HOLD,NEUTRAL_R1_ONLY
M3-GRP-002,I|R,08_mechanisms/gripper/GRIPPER_R1_CONTACT_LOAD_REQUIREMENTS.csv,uncontrolled_engineering_input_count=0,GRIPPER_OWNER,HOLD_INPUTS_MISSING,NO_STRUCTURAL_OR_MANUFACTURING_CREDIT
M3-MAS-001,A|I|R,03_mass_properties/SYSTEM_MASS_PROPERTIES_V2.yaml,classification_errors=0|measurement_misclaims=0,MASS_PROPERTIES_OWNER,PASS_DIGITAL_WORKING_AUTHORITY_PHYSICAL_CLOSURE_HOLD,DIGITAL_WORKING_AUTHORITY
M3-MAS-002,A|I|R,03_mass_properties/CONFIGURATION_MASS_INERTIA_V2.csv,complete_configuration_count=9,MASS_PROPERTIES_OWNER,HOLD_MASS_PROPERTY_AUTHORITIES_MISSING,NO_SYSTEM_DYNAMICS_CREDIT
M3-MAT-001,I|R,04_materials/system/MATERIAL_PROCESS_CANDIDATE_DATABASE_V1.csv,released_item_completeness_fraction=1.0,MATERIALS_AND_PROCESSES_OWNER,HOLD_APPROVED_MATERIAL_PROCESS_ALLOWABLES,CANDIDATES_ONLY
M3-TOL-001,A|I|R,05_tolerance/system/SYSTEM_TOLERANCE_CHAIN_REGISTER_V1.csv,functionally_closed_required_chain_count=all,TOLERANCE_OWNER,HOLD_TOLERANCE_AUTHORITIES_MISSING,SYMBOLIC_CHAINS_ONLY
M3-BOM-001,I|R,10_bom/M3R_BOM_V2.csv,geometry_source_missing=0|quantity_missing=0,CONFIGURATION_MANAGER,PASS_ENGINEERING_BOM_WITH_SPECIFICATION_HOLDS,ENGINEERING_BOM_NOT_RELEASED
M3-FEA-001,I|R,07_fea/FEA_ENTRY_GATE.json,entry_gate_status=PASS,STRUCTURES_LEAD,HOLD_ENTRY_INPUTS_MISSING,NO_FORMAL_FEA
M3-RL-001,I|D|R,02_interfaces/MECH_RL_INTERFACE_V2.yaml,schema_errors=0|unsafe_unknown_allow_count=0,ROBOTICS_VERIFICATION_OWNER,PASS_WORKING_CHANGESET_PRODUCTION_RELEASE_HOLD,CHANGESET_NOT_PRODUCTION_V1
M3-VER-001,I|D|R,12_gate/MECHANICAL_DETAIL_DESIGN_GATE.json,gate_logic_errors=0|false_pass_count=0,PRODUCT_ASSURANCE_OWNER,PASS_GATE_LOGIC_DETAIL_DESIGN_RELEASE_HOLD,DETAIL_DESIGN_GATE_ONLY
