pattern,fastener_index,y_m,z_m,response,Fx,Fy,Fz,Mx_per_m,My_per_m,Mz_per_m
B601_TO_STAGE_A_4XM4_64MM,1,-0.032,-0.032,N_axial,0.25,0.0,0.0,0.0,-7.812500000000001,7.812500000000001
B601_TO_STAGE_A_4XM4_64MM,1,-0.032,-0.032,Qy,0.0,0.25,0.0,3.9062500000000004,0.0,0.0
B601_TO_STAGE_A_4XM4_64MM,1,-0.032,-0.032,Qz,0.0,0.0,0.25,-3.9062500000000004,0.0,0.0
B601_TO_STAGE_A_4XM4_64MM,2,-0.032,0.032,N_axial,0.25,0.0,0.0,0.0,7.812500000000001,7.812500000000001
B601_TO_STAGE_A_4XM4_64MM,2,-0.032,0.032,Qy,0.0,0.25,0.0,-3.9062500000000004,0.0,0.0
B601_TO_STAGE_A_4XM4_64MM,2,-0.032,0.032,Qz,0.0,0.0,0.25,-3.9062500000000004,0.0,0.0
B601_TO_STAGE_A_4XM4_64MM,3,0.032,-0.032,N_axial,0.25,0.0,0.0,0.0,-7.812500000000001,-7.812500000000001
B601_TO_STAGE_A_4XM4_64MM,3,0.032,-0.032,Qy,0.0,0.25,0.0,3.9062500000000004,0.0,0.0
B601_TO_STAGE_A_4XM4_64MM,3,0.032,-0.032,Qz,0.0,0.0,0.25,3.9062500000000004,0.0,0.0
B601_TO_STAGE_A_4XM4_64MM,4,0.032,0.032,N_axial,0.25,0.0,0.0,0.0,7.812500000000001,-7.812500000000001
B601_TO_STAGE_A_4XM4_64MM,4,0.032,0.032,Qy,0.0,0.25,0.0,-3.9062500000000004,0.0,0.0
B601_TO_STAGE_A_4XM4_64MM,4,0.032,0.032,Qz,0.0,0.0,0.25,3.9062500000000004,0.0,0.0
STAGE_A_TO_B_8XM5_R62P5MM,1,0.0625,0.0,N_axial,0.125,0.0,0.0,0.0,0.0,-4.0
STAGE_A_TO_B_8XM5_R62P5MM,1,0.0625,0.0,Qy,0.0,0.125,0.0,-0.0,0.0,0.0
