row_id,part_family_or_station,substrate_material_ref,process_id_ref,process_candidate,specification_reference,selected_type_class_candidate,application_note,selection_status,flight_qualification_status,source_ref
PFR-01,M3R_STAGE_A_B_EXTERIOR_NON_MATING_SURFACES,PMAT-AL7075-T651-SHEET-PLATE,PPROC-ANODIZE-MIL-A-8625,Sulfuric acid anodize,MIL-A-8625F (superseded by MIL-PRF-8625F w/Amd2 2020-11-23),TYPE_II_CLASS_1_NON_DYED,General corrosion protection and handling surfaces; minimal dimensional growth,DESIGN_APPROVED_CANDIDATE,HOLD_SPECIAL_PROCESS_QUALIFICATION_AND_THICKNESS_SEAL,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-ANODIZE-MIL-A-8625
PFR-02,M3R_STAGE_A_B_WEAR_PRONE_EDGES_AND_HANDLING_INTERFACES,PMAT-AL7075-T651-SHEET-PLATE,PPROC-ANODIZE-MIL-A-8625,Hardcoat anodize,MIL-A-8625F (superseded by MIL-PRF-8625F w/Amd2 2020-11-23),TYPE_III_CLASS_1,Hardcoat candidate where abrasion/handling wear expected; dimensional growth and fatigue debit on thin sections HOLD,DESIGN_APPROVED_CANDIDATE,HOLD_DIMENSIONAL_GROWTH_FATIGUE_DEBIT_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-ANODIZE-MIL-A-8625
PFR-03,M3R_STAGE_A_TO_B_PRECISION_MATING_SURFACES_SPIGOT_SKIRT,PMAT-AL7075-T651-SHEET-PLATE,PPROC-CHEM-FILM-MIL-DTL-5541,Chemical conversion coating,MIL-DTL-5541F,CLASS_1A_MAX_CORROSION_PROTECTION,Precision mating stations where hardcoat growth would consume M6 worst-case clearances (spigot WC 0.206 mm; skirt WC 0.207 mm contract values); final dimensional scheme belongs to WP3/WP9 (PENDING_SIBLING_HASH),DESIGN_APPROVED_CANDIDATE,HOLD_TYPE_CLASS_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-CHEM-FILM-MIL-DTL-5541
PFR-04,LOAD_BRIDGE_FAYING_AND_ELECTRICAL_BONDING_INTERFACES,PMAT-AL6061-T6-SHEET-PLATE,PPROC-CHEM-FILM-MIL-DTL-5541,Chemical conversion coating,MIL-DTL-5541F,CLASS_3_ELECTRICAL_CONTACT_RESISTANCE_TRADE,Bridge faying/bonding interfaces per M6 trade note; hex-chrome vs non-hex-chrome route unresolved (Type I/II HOLD),DESIGN_APPROVED_CANDIDATE,HOLD_CONTACT_RESISTANCE_PERFORMANCE_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-CHEM-FILM-MIL-DTL-5541
PFR-05,GENERAL_BRACKETS_AND_CAMERA_BRACKET_EXTERIOR,PMAT-AL6061-T6-SHEET-PLATE,PPROC-ANODIZE-MIL-A-8625,Sulfuric acid anodize,MIL-A-8625F (superseded by MIL-PRF-8625F w/Amd2 2020-11-23),TYPE_II_CLASS_1_NON_DYED,Default exterior finish for secondary aluminum brackets,DESIGN_APPROVED_CANDIDATE,HOLD_SPECIAL_PROCESS_QUALIFICATION_AND_THICKNESS_SEAL,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-ANODIZE-MIL-A-8625
PFR-06,GRIPPER_RAIL_SLIDING_TRACK_SUBSTRATE,PMAT-AL6061-T6-SHEET-PLATE,PPROC-ANODIZE-MIL-A-8625,Hardcoat anodize under dry film,MIL-A-8625F (superseded by MIL-PRF-8625F w/Amd2 2020-11-23),TYPE_III_CLASS_1,Wear-track substrate of the gripper sliding pair; coated thickness/growth allowance HOLD pending WP5/WP3 dimensional scheme (PENDING_SIBLING_HASH),DESIGN_APPROVED_CANDIDATE,HOLD_DIMENSIONAL_GROWTH_FATIGUE_DEBIT_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-ANODIZE-MIL-A-8625
PFR-07,GRIPPER_SLIDING_CONTACT_SURFACES_RAIL_AND_SLIDER,PMAT-METALLIC-WEAR-PAIR-AL-HARDANODIZE-VS-CRES-A286,PPROC-DRY-FILM-LUBE-MIL-PRF-46010,Heat-cured solid film lubricant,MIL-PRF-46010F (NATO code S-1738),SINGLE_TYPE_HEAT_CURED_CORROSION_INHIBITING,Dry film on gripper rail/slider contact surfaces; vacuum outgassing/wear life/film thickness HOLD,DESIGN_APPROVED_CANDIDATE,HOLD_VACUUM_OUTGASSING_WEAR_LIFE_THICKNESS_CURE_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-DRY-FILM-LUBE-MIL-PRF-46010
PFR-08,A286_HIGH_LOAD_FASTENER_THREADS_ANTI_GALLING,PMAT-A286-AMS5737-BAR-FASTENER,PPROC-DRY-FILM-LUBE-MIL-PRF-46010,Heat-cured solid film lubricant,MIL-PRF-46010F (NATO code S-1738),SINGLE_TYPE_HEAT_CURED_CORROSION_INHIBITING,Anti-galling/anti-seize candidate on A286 thread and bearing surfaces; torque-preload scatter effect HOLD (WP4 consumes; PENDING_SIBLING_HASH),DESIGN_APPROVED_CANDIDATE,HOLD_TRIBOLOGY_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-DRY-FILM-LUBE-MIL-PRF-46010
PFR-09,SECONDARY_CRES_FASTENER_THREADS_ANTI_GALLING,PMAT-CRES-300-SERIES-SCREW-STOCK,PPROC-DRY-FILM-LUBE-MIL-PRF-46010,Heat-cured solid film lubricant,MIL-PRF-46010F (NATO code S-1738),SINGLE_TYPE_HEAT_CURED_CORROSION_INHIBITING,Anti-galling candidate for retained 300-series CRES secondary fasteners,DESIGN_APPROVED_CANDIDATE,HOLD_TRIBOLOGY_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-DRY-FILM-LUBE-MIL-PRF-46010
PFR-10,SOLAR_HINGE_INTERFACE_SLIDING_AND_PIN_SURFACES,PMAT-A286-AMS5737-BAR-FASTENER,PPROC-DRY-FILM-LUBE-MIL-PRF-46010,Heat-cured solid film lubricant,MIL-PRF-46010F (NATO code S-1738),SINGLE_TYPE_HEAT_CURED_CORROSION_INHIBITING,Hinge interface lubrication route candidate per M6 process scope; deployment torque effect HOLD (WP5 consumes; PENDING_SIBLING_HASH),DESIGN_APPROVED_CANDIDATE,HOLD_TRIBOLOGY_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PPROC-DRY-FILM-LUBE-MIL-PRF-46010
PFR-11,SOLAR_ARRAY_PANEL_LAMINATE,PMAT-CFRP-T700S-HEXPLY8552-PREPREG-SYSTEM,NONE,NO_METALLIC_SURFACE_FINISH,NOT_APPLICABLE,NOT_APPLICABLE,CFRP panel receives no metallic finish; vacuum outgassing/UV/atomic-oxygen and edge-seal screening HOLD per M6 MP-04,DESIGN_APPROVED_CANDIDATE,HOLD_ENVIRONMENT_SCREENING_AND_QUALIFICATION,M6_wp4:PROTOTYPE_MATERIAL_LIBRARY_V2.yaml#PMAT-CFRP-T700S-HEXPLY8552-PREPREG-SYSTEM
PFR-12,PEEK_SHIM_INSULATOR_AND_KAPTON_FILM,PMAT-PEEK-450G-STOCK-SHAPE,NONE,AS_MACHINED_OR_AS_RECEIVED_FILM,NOT_APPLICABLE,NOT_APPLICABLE,No surface treatment selected for polymer insulation/shim items; cleanliness and outgassing screening HOLD,DESIGN_APPROVED_CANDIDATE,HOLD_ENVIRONMENT_SCREENING_AND_QUALIFICATION,WP6:DESIGN_MATERIAL_SELECTION_V1.yaml#PMAT-PEEK-450G-STOCK-SHAPE
