sample_index,t_s,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad,joint1_dq_rad_s,joint2_dq_rad_s,joint3_dq_rad_s,joint4_dq_rad_s,joint5_dq_rad_s,joint6_dq_rad_s,joint1_ddq_rad_s2,joint2_ddq_rad_s2,joint3_ddq_rad_s2,joint4_ddq_rad_s2,joint5_ddq_rad_s2,joint6_ddq_rad_s2,gripper_state,jaw_travel_m,authority_class,released_for_mission_gate
0,0.000000000000,-1.4722592995215e-05,-1.04820022960287,-1.39898281524701,-1.22001006794388,3.67321859481344e-06,1.8395811591279e-05,-0,-0,0,0,-0,-0,-0,-0,0,0,-0,-0,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
1,0.010000000000,-1.48943954636905e-05,-1.04820034402927,-1.39898277677094,-1.22000993450662,3.61595013035365e-06,1.83958095792574e-05,-5.14833838429556e-05,-3.42897179343527e-05,1.15299774284186e-05,3.99866280071214e-05,-1.71614201125506e-05,-6.02934757931363e-10,-0.0102737443036277,-0.00684266977041871,0.00230085963827685,0.00797951418583091,-0.00342463973738204,-1.20318383765368e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
2,0.020000000000,-1.60924282930071e-05,-1.04820114196065,-1.39898250846512,-1.22000900400654,3.21659905515536e-06,1.83957955487959e-05,-0.000205017258263928,-0.000136548599427509,4.59147045856583e-05,0.000159234848786292,-6.83402495477575e-05,-2.40100828182115e-09,-0.0204102002646679,-0.0135939007465779,0.00457097282259009,0.0158523978925638,-0.00680351591479907,-2.39028949484873e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
3,0.030000000000,-1.93303421867222e-05,-1.04820329852352,-1.39898178331709,-1.22000648915128,2.13727604896348e-06,1.83957576287782e-05,-0.000459231804308977,-0.000305864297581389,0.000102847403236859,0.000356680737691154,-0.000153079874214005,-5.37817828000639e-09,-0.0304099807775072,-0.0202541011373806,0.00681047681389491,0.0236191271491234,-0.0101368328338581,-3.56138874917649e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
4,0.040000000000,-2.56081203035729e-05,-1.04820747974132,-1.39898037737532,-1.22000161326396,4.46477173587241e-08,1.83956841081518e-05,-0.000812763331968024,-0.000541328547586942,0.000182022667756712,0.000631265130364596,-0.000270925723035749,-9.51847423841548e-09,-0.0402736987365321,-0.0268236791517296,0.00901950887314651,0.031280177984434,-0.013424794796166,-4.7165533782283e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
5,0.050000000000,-3.59121395469149e-05,-1.04821434257525,-1.39897806973545,-1.21999361023554,-3.39008383840311e-06,1.83955634352106e-05,-0.00126425428017486,-0.000842037166724146,0.000283136465129462,0.000981933622738753,-0.000421425267953512,-1.48059974205681e-08,-0.0500019670361293,-0.033303042998528,0.0111982062613001,0.0388360264274203,-0.0166676061033299,-5.85585515959548e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
6,0.060000000000,-5.12152318541611e-05,-1.0482245349651,-1.3989746425266,-1.21998172447719,-8.49120145155178e-06,1.83953842168771e-05,-0.00181235321680714,-0.00120709005436201,0.000405886134948904,0.001407636571035,-0.00060412802392389,-2.12249208675753e-08,-0.0595953985706852,-0.0396926008866787,0.0133467062393108,0.0462871485070069,-0.0198654710569567,-6.97936587086937e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
7,0.070000000000,-7.24767454862204e-05,-1.04823869587005,-1.39896988089762,-1.21996521087274,-1.55784933199634e-05,1.83951352179843e-05,-0.00245571483868638,-0.00163559119195857,0.000549970389418387,0.00190732909176397,-0.000818585548919547,-2.87594893981395e-08,-0.0690546062345864,-0.0459927610250846,0.0154651460681339,0.0536340202521182,-0.0230185939586535,-8.0871572896413e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
8,0.080000000000,-0.000100642606316936,-1.04825745530953,-1.3989635730034,-1.21994333473105,-2.4967273436321e-05,1.83948053605582e-05,-0.00319299997157797,-0.0021266486430609,0.000715089313350808,0.00247997106172553,-0.00106435144392922,-3.73940196085544e-08,-0.0783802029222195,-0.0522039316226487,0.0175536630087246,0.0608771176916788,-0.0261271791100271,-9.1793011935026e-07,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
9,0.090000000000,-0.000136645379122525,-1.04828143440399,-1.39895550999108,-1.21991537173841,-3.69684020182753e-05,1.83943837230999e-05,-0.00402287557019117,-0.00267937455330508,0.000900944364168621,0.00312452711800879,-0.0013409813529577,-4.7112899872705e-08,-0.087572801527971,-0.0583265208882739,0.019612394322038,0.0680169168546132,-0.0291914308126847,-1.02558693600446e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
10,0.100000000000,-0.000181404328871015,-1.04831124541576,-1.39894548598641,-1.21988060791094,-5.18883059386056e-05,1.83938595398681e-05,-0.00494401471817908,-0.00329288515041626,0.00110723837190383,0.00383996665799212,-0.00164803296302588,-5.79005903420676e-08,-0.0966330149462274,-0.0643609370308632,0.0216414772690294,0.0750538937698461,-0.0322115533682331,-1.13169335668587e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
11,0.110000000000,-0.000235825482011685,-1.04834749178987,-1.39893329807993,-1.21983833954697,-7.00289991553799e-05,1.83932222001606e-05,-0.00595509662813869,-0.00396630074420857,0.00133367553919799,0.00462526383934313,-0.00198506600417069,-6.97416229457101e-08,-0.105561456071375,-0.0703075882593194,0.0236410491106539,0.0819885244663018,-0.0351877510782794,-1.23625655915361e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
12,0.120000000000,-0.000300801687764503,-1.04839076819482,-1.39891874631333,-1.21978787317948,-9.16881031421164e-05,1.83924612475976e-05,-0.00705480664161084,-0.00469874572658521,0.0015799614413022,0.00547939758001865,-0.00235164224944515,-8.26206013902914e-08,-0.114358737797801,-0.0761668827825457,0.0256112471078667,0.0888212849729051,-0.0381202282444305,-1.33928372116682e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
13,0.130000000000,-0.000377212679409566,-1.04844166056349,-1.39890163366565,-1.21972852552844,-0.000117158867317944,1.83915663794031e-05,-0.00824183622908026,-0.00548934857153839,0.00184580302607713,0.0064013515582648,-0.00274732551491834,-9.6522201160062e-08,-0.123025473019892,-0.0819392288094448,0.0275522085216231,0.0955526513185804,-0.0410091891682935,-1.44078202048464e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
14,0.140000000000,-0.000465925135576534,-1.04850074613386,-1.39888176603961,-1.21965962345326,-0.000146730189477761,1.83905274456871e-05,-0.00951488298997552,-0.00633724183514936,0.00213090861399299,0.00739011421261692,-0.00317168165967542,-1.11431169516863e-07,-0.131562274632034,-0.0876250345489197,0.0294640706128782,0.102183099532252,-0.0438548381514753,-1.5407586348662e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
15,0.150000000000,-0.000567792741534076,-1.04856859348993,-1.39885895224787,-1.21958050390514,-0.0001806866362224,1.83893344487286e-05,-0.0108726506526691,-0.00724156215558838,0.00243498789812954,0.00844467874189958,-0.0036242785858176,-1.27332325500129e-07,-0.139969755528613,-0.0932247082098734,0.0313469706425872,0.108713105642845,-0.0466573794955829,-1.63922074207062e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
16,0.160000000000,-0.000683656250479304,-1.04864576260244,-1.39883300399926,-1.2194905138795,-0.000219308463388786,1.8387977542257e-05,-0.0123138490744772,-0.00820145025311477,0.0027577519441761,0.00956404310522664,-0.00410468623846218,-1.44210559926883e-07,-0.148248528604017,-0.0987386580012089,0.0332010458717053,0.115143145679284,-0.0494170175022233,-1.73617551985705e-06,SYMBOLIC_LOCK_REQUIRED_BUT_UNCONFIRMED,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
