sample_index,t_s,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad,joint1_dq_rad_s,joint2_dq_rad_s,joint3_dq_rad_s,joint4_dq_rad_s,joint5_dq_rad_s,joint6_dq_rad_s,joint1_ddq_rad_s2,joint2_ddq_rad_s2,joint3_ddq_rad_s2,joint4_ddq_rad_s2,joint5_ddq_rad_s2,joint6_ddq_rad_s2,gripper_state,jaw_travel_m,authority_class,released_for_mission_gate
0,0.000000000000,-1.570796,-2.094395,-1.047198,0,-0.523599,0,0,0,-0,-0,0,0,0,0,-0,-0,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
1,0.010000000000,-1.570796,-2.09439461408593,-1.04719838591407,-1.92957220614815e-07,-0.523598807042779,0,0,0.000115580813576543,-0.000115580813576543,-5.77904619740741e-05,5.77904619740741e-05,0,0,0.023038851134321,-0.023038851134321,-0.0115194365674074,0.0115194365674074,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
2,0.020000000000,-1.570796,-2.09439192813939,-1.04720107186061,-1.53593177078519e-06,-0.523597464068229,0,0,0.000459235962409877,-0.000459235962409877,-0.000229618200474074,0.000229618200474074,0,0,0.045615384185679,-0.045615384185679,-0.0228077138725926,0.0228077138725926,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
3,0.030000000000,-1.570796,-2.09438468448123,-1.04720831551877,-5.1577643094e-06,-0.523593842235691,0,0,0.0010263577797,-0.0010263577797,-0.0005131793799,0.0005131793799,0,0,0.06773270196,-0.06773270196,-0.03386638332,0.03386638332,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
4,0.040000000000,-1.570796,-2.09437067135381,-1.04722232864619,-1.21643347095704e-05,-0.523586835665291,0,0,0.00181236962670617,-0.00181236962670617,-0.000906185678696296,0.000906185678696296,0,0,0.0893939072632099,-0.0893939072632099,-0.0446969963140741,0.0446969963140741,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
5,0.050000000000,-1.570796,-2.09434772261075,-1.04724527738925,-2.36387171990741e-05,-0.523575361282801,0,0,0.00281272589274691,-0.00281272589274691,-0.00140636428935185,0.00140636428935185,0,0,0.110602102901235,-0.110602102901235,-0.0553011042592593,0.0553011042592593,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
6,0.060000000000,-1.570796,-2.09431371740662,-1.04727928259338,-4.06413355008e-05,-0.523558358664499,0,0,0.0040229119952,-0.0040229119952,-0.0020114579184,0.0020114579184,0,0,0.13136039168,-0.13136039168,-0.06568025856,0.06568025856,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
7,0.070000000000,-1.570796,-2.09426657988669,-1.04732642011331,-6.42101179731926e-05,-0.523534789882027,0,0,0.00543844437950247,-0.00543844437950247,-0.00271922478641852,0.00271922478641852,0,0,0.151671876405432,-0.151671876405432,-0.0758360106207407,0.0758360106207407,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
8,0.080000000000,-1.570796,-2.09420427887662,-1.04738872112338,-9.53606527506963e-05,-0.523503639347249,0,0,0.00705487051915062,-0.00705487051915062,-0.00352743862802963,0.00352743862802963,0,0,0.171539659883457,-0.171539659883457,-0.0857699118459259,0.0857699118459259,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
9,0.090000000000,-1.570796,-2.09412482757223,-1.04746817242777,-0.0001350863428842,-0.523463913657116,0,0,0.0088677689157,-0.0088677689157,-0.0044338886919,0.0044338886919,0,0,0.19096684492,-0.19096684492,-0.09548351364,0.09548351364,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
10,0.100000000000,-1.570796,-2.09402628322914,-1.04756671677086,-0.000184358561481481,-0.523414641438519,0,0,0.0108727490987654,-0.0108727490987654,-0.00543637974074074,0.00543637974074074,0,0,0.209956534320988,-0.209956534320988,-0.104978367407407,0.104978367407407,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
11,0.110000000000,-1.570796,-2.09390674685255,-1.04768625314745,-0.000244126806847652,-0.523354873193152,0,0,0.013065451626021,-0.013065451626021,-0.00653273205130741,0.00653273205130741,0,0,0.228511830892346,-0.228511830892346,-0.114256024552593,0.114256024552593,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
12,0.120000000000,-1.570796,-2.09376436288696,-1.04782863711304,-0.0003153188576256,-0.523283681142374,0,0,0.0154415480832,-0.0154415480832,-0.0077207814144,0.0077207814144,0,0,0.24663583744,-0.24663583744,-0.12331803648,0.12331803648,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
