sample_index,t_s,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad,joint1_dq_rad_s,joint2_dq_rad_s,joint3_dq_rad_s,joint4_dq_rad_s,joint5_dq_rad_s,joint6_dq_rad_s,joint1_ddq_rad_s2,joint2_ddq_rad_s2,joint3_ddq_rad_s2,joint4_ddq_rad_s2,joint5_ddq_rad_s2,joint6_ddq_rad_s2,gripper_state,jaw_travel_m,authority_class,released_for_mission_gate
0,0.000000000000,-1.570796,-2.094395,-2.094395,-1.047198,-0.523599,0,0,0,0,0,0,0,0,0,0,0,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
1,0.010000000000,-1.570796,-2.094395,-2.09439461408593,-1.04719761408556,-0.523599,0,0,0,0.000115580813576543,0.000115580923948148,0,0,0,0,0.023038851134321,0.0230388731348148,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
2,0.020000000000,-1.570796,-2.094395,-2.09439192813939,-1.04719492813646,-0.523599,0,0,0,0.000459235962409877,0.000459236400948148,0,0,0,0,0.045615384185679,0.0456154277451852,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
3,0.030000000000,-1.570796,-2.094395,-2.09438468448123,-1.04718768447138,-0.523599,0,0,0,0.0010263577797,0.0010263587598,0,0,0,0,0.06773270196,0.06773276664,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
4,0.040000000000,-1.570796,-2.094395,-2.09437067135381,-1.04717367133058,-0.523599,0,0,0,0.00181236962670617,0.00181237135739259,0,0,0,0,0.0893939072632099,0.0893939926281482,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
5,0.050000000000,-1.570796,-2.094395,-2.09434772261075,-1.0471507225656,-0.523599,0,0,0,0.00281272589274691,0.0028127285787037,0,0,0,0,0.110602102901235,0.110602208518519,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
6,0.060000000000,-1.570796,-2.094395,-2.09431371740662,-1.047116717329,-0.523599,0,0,0,0.0040229119952,0.0040229158368,0,0,0,0,0.13136039168,0.13136051712,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
7,0.070000000000,-1.570796,-2.094395,-2.09426657988669,-1.04706957976405,-0.523599,0,0,0,0.00543844437950247,0.00543844957283704,0,0,0,0,0.151671876405432,0.151672021241481,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
8,0.080000000000,-1.570796,-2.094395,-2.09420427887662,-1.0470072786945,-0.523599,0,0,0,0.00705487051915062,0.00705487725605926,0,0,0,0,0.171539659883457,0.171539823691852,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
9,0.090000000000,-1.570796,-2.094395,-2.09412482757223,-1.04692782731423,-0.523599,0,0,0,0.0088677689157,0.0088677773838,0,0,0,0,0.19096684492,0.19096702728,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
10,0.100000000000,-1.570796,-2.094395,-2.09402628322914,-1.04682928287704,-0.523599,0,0,0,0.0108727490987654,0.0108727594814815,0,0,0,0,0.209956534320988,0.209956734814815,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
11,0.110000000000,-1.570796,-2.094395,-2.09390674685255,-1.0467097463863,-0.523599,0,0,0,0.013065451626021,0.0130654641026148,0,0,0,0,0.228511830892346,0.228512049105185,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
12,0.120000000000,-1.570796,-2.094395,-2.09376436288696,-1.04656736228475,-0.523599,0,0,0,0.0154415480832,0.0154415628288,0,0,0,0,0.24663583744,0.24663607296,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
13,0.130000000000,-1.570796,-2.094395,-2.09359731890586,-1.04640031814413,-0.523599,0,0,0,0.0179967410840951,0.0179967582697259,0,0,0,0,0.264331656769877,0.264331909188148,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
14,0.140000000000,-1.570796,-2.094395,-2.09340384530144,-1.04620684435496,-0.523599,0,0,0,0.020726764270558,0.0207267840631704,0,0,0,0,0.281602391687901,0.281602660598519,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
15,0.150000000000,-1.570796,-2.094395,-2.09318221497437,-1.04598521381625,-0.523599,0,0,0,0.0236273823125,0.023627404875,0,0,0,0,0.298451145,0.29845143,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
16,0.160000000000,-1.570796,-2.094395,-2.09293074302346,-1.0457337416252,-0.523599,0,0,0,0.0266943909078914,0.0266944163991704,0,0,0,0,0.314881019512099,0.314881320201482,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
17,0.170000000000,-1.570796,-2.094395,-2.0926477864354,-1.04545078476693,-0.523599,0,0,0,0.0299236167827617,0.0299236453577259,0,0,0,0,0.330895118030123,0.330895434011852,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
18,0.180000000000,-1.570796,-2.094395,-2.09233174377448,-1.04513474180421,-0.523599,0,0,0,0.0333109176912,0.0333109495008,0,0,0,0,0.34649654336,0.34649687424,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
19,0.190000000000,-1.570796,-2.094395,-2.0919810548723,-1.04478405256716,-0.523599,0,0,0,0.0368521824153543,0.0368522176066148,0,0,0,0,0.361688398307654,0.361688743694815,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
20,0.200000000000,-1.570796,-2.094395,-2.09159420051753,-1.04439719784296,-0.523599,0,0,0,0.0405433307654321,0.0405433694814815,0,0,0,0,0.376473785679012,0.376474145185185,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
21,0.210000000000,-1.570796,-2.094395,-2.09116970214556,-1.04397269906563,-0.523599,0,0,0,0.0443803135797,0.0443803559598,0,0,0,0,0.39085580828,0.39085618152,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
22,0.220000000000,-1.570796,-2.094395,-2.09070612152828,-1.04350911800566,-0.523599,0,0,0,0.048359112724484,0.0483591589040593,0,0,0,0,0.404837568916543,0.404837955508148,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
23,0.230000000000,-1.570796,-2.094395,-2.09020206046377,-1.04300505645981,-0.523599,0,0,0,0.0524757410941691,0.0524757912048371,0,0,0,0,0.418422170394568,0.418422569958519,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
24,0.240000000000,-1.570796,-2.094395,-2.08965616046602,-1.04245915594076,-0.523599,0,0,0,0.0567262426112,0.0567262967808,0,0,0,0,0.43161271552,0.43161312768,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
25,0.250000000000,-1.570796,-2.094395,-2.08906710245467,-1.0418700973669,-0.523599,0,0,0,0.0611066922260802,0.0611067505787037,0,0,0,0,0.444412307098765,0.444412731481482,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
26,0.260000000000,-1.570796,-2.094395,-2.08843360644469,-1.04123660075198,-0.523599,0,0,0,0.0656131959173728,0.0656132585733926,0,0,0,0,0.45682404793679,0.456824484171852,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
27,0.270000000000,-1.570796,-2.094395,-2.08775443123616,-1.04055742489488,-0.523599,0,0,0,0.0702418906917,0.0702419577678,0,0,0,0,0.46885104084,0.46885148856,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
28,0.280000000000,-1.570796,-2.094395,-2.08702837410391,-1.0398313670693,-0.523599,0,0,0,0.0749889445837432,0.0749890161929482,0,0,0,0,0.480496388614321,0.480496847454815,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
29,0.290000000000,-1.570796,-2.094395,-2.08625427048733,-1.0390572627135,-0.523599,0,0,0,0.0798505566562432,0.0798506329079481,0,0,0,0,0.491763194065679,0.491763663665185,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
30,0.300000000000,-1.570796,-2.094395,-2.08543099368,-1.03823398512,-0.523599,0,0,0,0.084822957,0.084823038,0,0,0,0,0.50265456,0.50265504,0,0,UNBOUND,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
