sample_index,t_s,joint1_q_rad,joint2_q_rad,joint3_q_rad,joint4_q_rad,joint5_q_rad,joint6_q_rad,joint1_dq_rad_s,joint2_dq_rad_s,joint3_dq_rad_s,joint4_dq_rad_s,joint5_dq_rad_s,joint6_dq_rad_s,joint1_ddq_rad_s2,joint2_ddq_rad_s2,joint3_ddq_rad_s2,joint4_ddq_rad_s2,joint5_ddq_rad_s2,joint6_ddq_rad_s2,gripper_state,jaw_travel_m,authority_class,released_for_mission_gate
0,0.000000000000,-1.570796,-1.047198,-2.094395,-0.523599,0,0,0,-0,0,-0,0,0,0,-0,0,-0,0,0,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
1,0.010000000000,-1.57079582819753,-1.04719800010962,-2.09439492394006,-0.523599076169192,4.01754229513458e-13,2.01202158852307e-12,5.14833838429556e-05,-3.28487308101663e-08,2.27925892367443e-05,-2.28253282867129e-05,1.20392142162554e-10,6.02934757931363e-10,0.0102737443036277,-6.55511421067015e-06,0.00454836524635253,-0.00455489847325051,2.40248016431288e-08,1.20318383765368e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
2,0.020000000000,-1.5707946301647,-1.04719800087402,-2.09439439355009,-0.523599607321004,3.20331325567353e-12,1.60424830698674e-11,0.000205017258263928,-1.3081029694344e-07,9.07647051387943e-05,-9.08950786644199e-05,4.79425885796068e-10,2.40100828182115e-09,0.0204102002646679,-1.30226322403514e-05,0.00903595055622818,-0.00904892970632395,4.7728559166305e-08,2.39028949484873e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
3,0.030000000000,-1.57079139225081,-1.04719800293995,-2.09439296006931,-0.523601042860824,1.07750647744035e-11,5.39625008306429e-11,0.000459231804308977,-2.93010691861829e-07,0.000203309905036392,-0.000203601937375104,1.07389795586441e-09,5.37817828000639e-09,0.0304099807775072,-1.94029451434231e-05,0.0134630272686291,-0.0134823654279711,7.11127058022067e-08,3.56138874917649e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
4,0.040000000000,-1.57078511447269,-1.04719800694546,-2.09439018078778,-0.523603826134489,2.54554353928991e-11,1.27483127228787e-10,0.000812763331968024,-5.18579819571136e-07,0.000359824459649801,-0.000360341307948257,1.90061940965821e-09,9.51847423841548e-09,0.0402736987365321,-2.56964439742648e-05,0.0178298667225574,-0.0178554773669428,9.41786747835124e-08,4.7165533782283e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
5,0.050000000000,-1.57077481045345,-1.04719801351989,-2.09438561901929,-0.523608394455457,4.95510339528967e-11,2.48156068369476e-10,0.00126425428017486,-8.06651494620956e-07,0.000559707353089305,-0.000560511311200878,2.95641563679493e-09,1.48059974205681e-08,0.0500019670361293,-3.19035197872558e-05,0.0221367402570152,-0.0221685372519898,1.16927899342901e-07,5.85585515959548e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
6,0.060000000000,-1.57075950736114,-1.04719802328396,-2.09437884407423,-0.523615179131981,8.53367948539407e-11,4.27374401881043e-10,0.00181235321680714,-1.15636344210468e-06,0.000802360282855211,-0.000803512785237473,4.23812635921876e-09,2.12249208675753e-08,0.0595953985706852,-3.80245636367755e-05,0.0263839192110047,-0.0264218168118628,1.39361812713049e-07,6.97936587086937e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
7,0.070000000000,-1.57073824584751,-1.04719803684977,-2.09436943123244,-0.52362460549428,1.35056121376652e-10,6.76373294690885e-10,0.00245571483868638,-1.56685729765949e-06,0.00108718765983784,-0.00108874928545006,5.74260563120071e-09,2.87594893981395e-08,0.0690546062345864,-4.40599665772035e-05,0.0305716749235279,-0.0306155877753128,1.61481848126637e-07,8.0871572896413e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
8,0.080000000000,-1.57071007998668,-1.04719805482086,-2.0943569617161,-0.523637092921717,2.00921029005994e-10,1.00623072080138e-09,0.00319299997157797,-2.03727860746638e-06,0.00141359660831756,-0.00141562708451815,7.46672183933856e-09,3.73940196085544e-08,0.0783802029222195,-5.00101196629189e-05,0.034700278733587,-0.0347501218710904,1.83289438816343e-07,9.1793011935026e-07,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
9,0.090000000000,-1.57067407721387,-1.04719807779226,-2.09434102266255,-0.523653054869965,2.85112288754544e-10,1.4278681790658e-09,0.00402287557019117,-2.5667768282501e-06,0.00178099696596471,-0.00178355517240879,9.40735770255688e-09,4.7112899872705e-08,0.087572801527971,-5.58754139483014e-05,0.0387700019801842,-0.0388256908279465,2.04786018014844e-07,1.02558693600446e-06,SYMBOLIC_PREGRASP_SEED_ONLY,,NON_RELEASE_DIAGNOSTIC_CANDIDATE,false
