parameter_id,value,unit,state,solidworks_owner,native_dimension,source,allowed_use,notes
BODY_X,340.5,mm,BOUND,01_Service_Bus.SLDPRT,"BUS_HALF_LENGTH_POS + BUS_HALF_LENGTH_NEG",solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"12U display body length; not deployer compliance"
BODY_Y,226.3,mm,BOUND,01_Service_Bus.SLDPRT,BUS_WIDTH,solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"COMPETITION_DISPLAY_V0"
BODY_Z,226.3,mm,BOUND,01_Service_Bus.SLDPRT,BUS_HEIGHT,solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"COMPETITION_DISPLAY_V0"
TASK_FACE_X,170.25,mm,DERIVED,SER_Master_Skeleton.SLDPRT,PLANE_TASK_FACE,solidworks_skeleton_input_v0_1.yaml,REFERENCE_DATUM,"positive X body face"
MOUNT_ORIGIN_X,185.25,mm,BOUND,SER_Master_Skeleton.SLDPRT,CS_M,frame_tree_v2_candidate.yaml,REFERENCE_DATUM,"profile-bound M origin"
MOUNT_RY,90,deg,BOUND,12U_Master_Skeleton.SLDASM,T_SM,frame_tree_v2_candidate.yaml,ASSEMBLY_PLACEMENT,"R_y(+90 deg)"
SERVICER_FLANGE_Y,160,mm,SOURCE_BOUND,01_Service_Bus.SLDPRT,SERVICER_FLANGE_Y,mechanical_interface_semantics_v0_1.yaml,GEOMETRY_ONLY,"outer interface envelope"
SERVICER_FLANGE_Z,160,mm,SOURCE_BOUND,01_Service_Bus.SLDPRT,SERVICER_FLANGE_Z,mechanical_interface_semantics_v0_1.yaml,GEOMETRY_ONLY,"outer interface envelope"
SERVICER_FLANGE_DEPTH,15,mm,SOURCE_BOUND,01_Service_Bus.SLDPRT,SERVICER_FLANGE_DEPTH,mechanical_interface_semantics_v0_1.yaml,GEOMETRY_ONLY,"not a flight-qualified flange"
FLANGE_CENTER_CLEARANCE_DIAMETER,100,mm,DESIGN_BOUND,01_Service_Bus.SLDPRT,FLANGE_CENTER_CLEARANCE_DIAMETER,embedded_stackup_v0_1,GEOMETRY_ONLY,"matched to adapter boss; A3 design decision"
ADAPTER_RECESS_Y,160,mm,DESIGN_BOUND,01_Service_Bus.SLDPRT,ADAPTER_RECESS_Y,embedded_stackup_v0_1,GEOMETRY_ONLY,"recess receives adapter plate"
ADAPTER_RECESS_Z,160,mm,DESIGN_BOUND,01_Service_Bus.SLDPRT,ADAPTER_RECESS_Z,embedded_stackup_v0_1,GEOMETRY_ONLY,"recess receives adapter plate"
ADAPTER_RECESS_DEPTH,12,mm,DESIGN_BOUND,01_Service_Bus.SLDPRT,ADAPTER_RECESS_DEPTH,embedded_stackup_v0_1,GEOMETRY_ONLY,"inward from task face"
ADAPTER_PLATE_X,160,mm,SOURCE_BOUND_REFERENCE_ONLY,02_B601_Mount_Adapter.SLDPRT,ADAPTER_PLATE_X,solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"local M-frame cross-section"
ADAPTER_PLATE_Y,160,mm,SOURCE_BOUND_REFERENCE_ONLY,02_B601_Mount_Adapter.SLDPRT,ADAPTER_PLATE_Y,solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"local M-frame cross-section"
ADAPTER_PLATE_THICKNESS,12,mm,SOURCE_BOUND_REFERENCE_ONLY,02_B601_Mount_Adapter.SLDPRT,ADAPTER_PLATE_THICKNESS,solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"negative z_M side"
ADAPTER_BOSS_DIAMETER,100,mm,SOURCE_BOUND_REFERENCE_ONLY,02_B601_Mount_Adapter.SLDPRT,ADAPTER_BOSS_DIAMETER,solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"diameter; not radius"
ADAPTER_BOSS_HEIGHT,15,mm,SOURCE_BOUND_REFERENCE_ONLY,02_B601_Mount_Adapter.SLDPRT,ADAPTER_BOSS_HEIGHT,solidworks_skeleton_input_v0_1.yaml,GEOMETRY_ONLY,"negative z_M side"
B601_BOLT_PCD,80,mm,REFERENCE_ONLY,02_B601_Mount_Adapter.SLDPRT,B601_BOLT_PATTERN_PCD80_PLACEHOLDER,existing_geometry_contract,REFERENCE_SKETCH_ONLY,"hole diameter and qualification not defined"
CABLE_PASSAGE_KEEP_OUT,20x40,mm,PROPOSED,02_B601_Mount_Adapter.SLDPRT,CABLE_PASSAGE_KEEP_OUT_20x40,A3_visual_placeholder,REFERENCE_SKETCH_ONLY,"not cut; no hardware source"
B601_TOPOLOGY,10_links_9_joints,count,SOURCE_BOUND,B601_Reference_Assembly.SLDASM,component_tree,arm_b601_v1.urdf,REFERENCE_ONLY,"q=0 conservative mesh bounding boxes"
T_SB,,none,UNKNOWN_DISABLED,none,none,frame_tree_v2_candidate.yaml,PROHIBITED,"aggregate CoM and dynamics frame not closed"
T_E_TCP,,none,UNKNOWN_DISABLED,none,none,frame_tree_v2_candidate.yaml,PROHIBITED,"physical gripper contact datum not measured"
