path,bytes,sha256,role
M4_L02_CONFIGURATION_STATE_CONTRACT_GATE_V1.json,5350,1997692FB5FC03E655BBD94C0E7B16917DBB76E2FA3F3823EE06C0CB2C17D5D6,MACHINE_GATE
M4_L02_NEGATIVE_CONTROL_RESULTS_V1.json,11760,F176034C8CDE1515C94E2F3973B1FBF71F51080C631F40AF7EF79E20B42D6B93,NEGATIVE_CONTROL_EVIDENCE
R2_CONFIGURATION_CROSSWALK_V1.yaml,5459,2BD15EA19507AD9D4050F3C6DDFC989827B36154DD564813AFE63FBC74B94D8C,CONFIGURATION_IDENTITY_CROSSWALK
R2_CONFIGURATION_DYNAMICS_USE_MATRIX_V1.yaml,5597,5DCC1661F268D388C5E78B8A25531E5D20CAB0EF494209C6234D27234AAD73E7,DYNAMICS_USE_MATRIX
R2_CONFIGURATION_GEOMETRY_AVAILABILITY_V1.csv,4694,7985134ABE326F74772EB9BF5F1E6D6B6A96347726FBE153EAE3EE9CFE7110FA,GEOMETRY_AVAILABILITY_MATRIX
R2_CONFIGURATION_STATE_VECTOR_CONTRACT_V1.yaml,40064,C60744D6978AFA8987D3D294792044380ACA27E0F30C2E3DE7C0AA2747F23D63,STATE_VECTOR_CONTRACT
R2_NINE_CONFIGURATION_MASS_PROPERTY_VIEW_V1.yaml,15066,D21743DB785A77B8D88223F8DC51A42BA8B768E6FD1DCED07AA1CAAC014125FC,DESIGN_MASS_PROPERTY_VIEW
README.md,5784,4C7293FC76203199E4089187AF0B6BEE24FA9C2D6B50B4D42859E307A895F4D0,HUMAN_README
SOURCE_AUTHORITY_LOCK_V1.json,7368,B1A5A705A04121DA1542FB1DF34540EA9BA13F725274782B15F241A44884F6BC,SOURCE_AUTHORITY_LOCK
build_configuration_contract.py,62135,E3EB60C89B90EA34123646C61D553E554D78C94A6C97221D122B53AF21AC4E1F,DETERMINISTIC_BUILDER
frozen_contract_v1.py,11701,CAB9D05628DC350838B9F1F348349A005D4DD6B9D0A3A6A1E28F7C40E13D4668,NONCIRCULAR_FROZEN_CONTRACT_SPEC
run_negative_controls.py,1348,DBE98A5407A17699990D4ADC381011AAD9EB7CD237DC8EFD88B2EB3F02F6D58B,NEGATIVE_CONTROL_RUNNER
tests/test_configuration_contract.py,25891,C1F4E4003E4C38E8CA01B8CA12ACCE1114298C2A36B2A7F18A33712E0B786F20,PYTEST_CONTRACT_TESTS
validate_configuration_contract.py,64506,2C3E554651A5F42DD4A0BA58B19FD3152FF01992EA34AAB81F8B765C693C723D,INDEPENDENT_VALIDATOR
