drawing_group,position_left_to_right_in_manufacturer_component_side_figure,signal,manufacturer_pin_number,source,cut_or_crimp_release
PWR_LEFT_2,1,VIN,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
PWR_LEFT_2,2,GND,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
PWR_MIDDLE_4,1,GND,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
PWR_MIDDLE_4,2,VIN,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
PWR_MIDDLE_4,3,VOUT,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
PWR_MIDDLE_4,4,GND,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
PWR_RIGHT_2,1,GND,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
PWR_RIGHT_2,2,VOUT,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
UI_6,1,3V3_MAX3mA,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
UI_6,2,SDA,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
UI_6,3,SCL,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
UI_6,4,GPIO1_NRST,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
UI_6,5,GPIO2,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
UI_6,6,GND,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
BATTERY_6,1,VBAT+,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
BATTERY_6,2,SCL,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
BATTERY_6,3,SDA,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
BATTERY_6,4,SYS_PRESS,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
BATTERY_6,5,SYS_MINUS,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
BATTERY_6,6,VBAT-,UNPUBLISHED_NOT_INFERRED,pmm35.pdf page3,False
