t_s,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,wx_dps,wy_dps,wz_dps,H_mag_kgm2ps,E_rot_J
0.0000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000,0.00000,0.00000,1.00000,5.00000,2.00000,3.39024118e-02,1.61607309e-03
0.0801,0.99999268,0.00069790,0.00349342,0.00139639,0.08053,0.40020,0.16030,0.99802,5.00126,1.99769,3.39024118e-02,1.61607309e-03
0.1601,0.99997072,0.00139441,0.00698766,0.00279114,0.16203,0.80028,0.32098,0.99604,5.00252,1.99538,3.39024118e-02,1.61607309e-03
0.2402,0.99993412,0.00208949,0.01048268,0.00418426,0.24450,1.20023,0.48207,0.99407,5.00377,1.99308,3.39024118e-02,1.61607309e-03
0.3202,0.99988288,0.00278315,0.01397842,0.00557573,0.32795,1.60005,0.64358,0.99209,5.00502,1.99078,3.39024118e-02,1.61607309e-03
0.4003,0.99981700,0.00347536,0.01747482,0.00696553,0.41238,1.99973,0.80552,0.99012,5.00626,1.98849,3.39024118e-02,1.61607309e-03
0.4803,0.99973649,0.00416611,0.02097182,0.00835366,0.49779,2.39927,0.96791,0.98815,5.00750,1.98620,3.39024118e-02,1.61607309e-03
0.5604,0.99964134,0.00485538,0.02446938,0.00974010,0.58420,2.79867,1.13077,0.98618,5.00874,1.98392,3.39024118e-02,1.61607309e-03
0.6404,0.99953156,0.00554316,0.02796744,0.01112484,0.67162,3.19792,1.29411,0.98421,5.00997,1.98163,3.39024118e-02,1.61607309e-03
0.7205,0.99940715,0.00622943,0.03146594,0.01250787,0.76004,3.59703,1.45794,0.98224,5.01120,1.97936,3.39024118e-02,1.61607309e-03
0.8005,0.99926811,0.00691417,0.03496483,0.01388918,0.84947,3.99598,1.62228,0.98028,5.01242,1.97708,3.39024118e-02,1.61607309e-03
0.8806,0.99911444,0.00759738,0.03846405,0.01526875,0.93993,4.39477,1.78715,0.97832,5.01365,1.97481,3.39024118e-02,1.61607309e-03
