case_id,lane,scenario,corner,damping_lane,omega_plus_equiv_dps,base_rate_initial_dps,base_rate_peak_dps,base_rate_final_dps,attitude_excursion_deg,modal_energy_peak_J,wheel_momentum_Nms,classification,linearity_pass
RIGID_R2_CURRENT__TARGET_22KG_0P5DPS__NOMINAL__M0__TC20MS__Radau,RIGID_R2_CURRENT,TARGET_22KG_0P5DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,0.16036716489706046,0.1603671648970599,0.16041906507253928,0.16041906507253928,6.41547748817338,0.0,0.011782323851997192,WHEELS_SMALL_TIER,True
RIGID_R2_CURRENT__TARGET_150KG_3DPS__NOMINAL__M0__TC20MS__Radau,RIGID_R2_CURRENT,TARGET_150KG_3DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,3.0427130565075067,3.0427130565075107,3.0801141465200184,3.0801141465200184,121.42164427826287,0.0,3.646611954903175,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__LOW__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,LOW,UNDAMPED_CONSERVATION_GATE,0.1603671648970605,0.22104122861561748,0.22400776565672254,0.1947360695896887,6.412244042968947,1.6308957841285327e-06,0.0117823238519972,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__NOMINAL__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,0.1603671648970606,0.21565561266667932,0.22231667747815168,0.10242634592425535,6.414621035847698,1.55046770876742e-06,0.011782323851997206,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__HIGH__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,HIGH,UNDAMPED_CONSERVATION_GATE,0.1603671648970606,0.2067781602152394,0.21832292364114858,0.19617047428843082,6.415675649324851,1.386458186925092e-06,0.011782323851997196,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__LOW__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,LOW,UNDAMPED_CONSERVATION_GATE,3.042713056507502,3.0496869189500773,3.0867210068198885,3.0856928456797146,121.42165930928208,0.0002192389673555062,3.6466119549031673,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__NOMINAL__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,3.042713056507504,3.0492587922853738,3.0864800945305104,3.0793916341358543,121.4216827827895,0.00021164299360913765,3.6466119549031752,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__HIGH__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,HIGH,UNDAMPED_CONSERVATION_GATE,3.0427130565075062,3.0485545188271304,3.086266821658779,3.075477793445598,121.42136338820164,0.00019484343235327286,3.6466119549031744,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__LOW__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,LOW,PROVISIONAL_DAMPED_SENSITIVITY,0.16036716489706065,0.2209847932281553,0.22244207777717165,0.16850760680310212,6.4143025417670625,1.599684250419463e-06,0.011782323851997211,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__NOMINAL__M7__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,NOMINAL,PROVISIONAL_DAMPED_SENSITIVITY,0.1603671648970606,0.2154444580749646,0.21910201679924596,0.16031516134769982,6.41488802527114,1.4861864239522559e-06,0.011782323851997203,WHEELS_SMALL_TIER,True
