experiment_id,study_axis,n_elements,method,rtol,atol,max_step_s,impulse_mode,pulse_duration_s,required_anchor,excitation_scale,t_end_s,n_eval,f1_hz,state,training_eligible,ranking_eligible,safety_evaluation_eligible,silent_zero,classification,specific_classification,termination_reason,tip_peak_m,root_moment_peak_Nm,strain_energy_peak_J,total_energy_peak_J,modal_tip_peak_m,ancf_modal_peak_relative_difference,ancf_modal_trajectory_relative_difference,n_steps,nfev,njev,nlu,wall_s,record_hash
mesh_n2_radau,mesh_and_solver,2,Radau,1e-05,1e-10,0.05,velocity_jump,,1,0.0001,1.5,301,1.0006872138962564,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.5964526931333063e-07,3.2657886303446774e-07,2.1863536021994055e-13,2.3517220535170857e-13,3.5964525645332157e-07,3.575748148622585e-08,7.775690248556458e-07,300,2775,0,314,0.2481788000004599,0d7cab17bedc24ea349c93593877fe9d75c849f2cc4bc5b4609cebba5f20985a
mesh_n2_bdf,mesh_and_solver,2,BDF,1e-05,1e-10,0.05,velocity_jump,,1,0.0001,1.5,301,1.0006872138962564,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.5964401844412476e-07,3.265745434217071e-07,2.1848046398212402e-13,2.3517220535170857e-13,3.5964525645332157e-07,3.4423064800541854e-06,7.334872356111069e-05,300,1709,0,165,0.24402390000250307,19d235b2791f017141d0c391f89e417ec90f1c310385e13396fa4c60397b254e
mesh_n4_radau,mesh_and_solver,4,Radau,1e-05,1e-10,0.05,velocity_jump,,1,0.0001,1.5,301,1.0002364012600817,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.6747703651990173e-07,3.629996693996665e-07,2.3456632037754917e-13,2.607663969977705e-13,3.6747699782077775e-07,1.0531031910614481e-07,7.218986066568369e-07,300,3207,0,320,0.27375319999919157,2b37d62c7ecb6bf5d51b4056345137c1bd08a32951d7d4e54828872f87139abe
mesh_n4_bdf,mesh_and_solver,4,BDF,1e-05,1e-10,0.05,velocity_jump,,1,0.0001,1.5,301,1.0002364012600817,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.6747749547023375e-07,3.629931786725118e-07,2.326462853342086e-13,2.607663969977705e-13,3.6747699782077775e-07,1.3542311084025857e-06,8.191436722962712e-05,300,1893,0,181,0.24304679999841028,25a02ded7af97bc74fde2dd58d5c54ea6478502b248e1d96261862f0ff847256
mesh_n8_radau,mesh_and_solver,8,Radau,1e-05,1e-10,0.05,velocity_jump,,1,0.0001,1.5,301,1.0002058194768397,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.684648407215522e-07,3.7454499381066535e-07,2.429668860159532e-13,2.831651829266178e-13,3.684648102802277e-07,8.261663294018421e-08,9.683386938898295e-07,300,3496,0,318,0.4299112000007881,161827ad1907aa02c3c57d49d0cc2a70674832cf797d1094ae46d73b3445fa80
mesh_n8_bdf,mesh_and_solver,8,BDF,1e-05,1e-10,0.05,velocity_jump,,1,0.0001,1.5,301,1.0002058194768397,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.6846333935640594e-07,3.745284134165178e-07,2.440872809487368e-13,2.831651829266178e-13,3.684648102802277e-07,3.992033379374059e-06,5.6997638714415806e-05,300,2027,0,199,0.29032720000031986,0b37743aed49da6838048d9a449f3d01f6f3ab0b39288aa363635af33f66f1f2
maxstep_0.1_radau,adaptive_max_step,8,Radau,1e-05,1e-10,0.1,velocity_jump,,0,0.0001,1.5,301,1.0002058194768397,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.684648407215522e-07,3.7454499381066535e-07,2.429668860159532e-13,2.831651829266178e-13,3.684648102802277e-07,8.261663294018421e-08,9.683386938898295e-07,300,3496,0,318,0.3586548999992374,81c505e944308b56bfaf9b92b02407146737bde11e155f4944b600c6c3c7c0bb
maxstep_0.025_radau,adaptive_max_step,8,Radau,1e-05,1e-10,0.025,velocity_jump,,0,0.0001,1.5,301,1.0002058194768397,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.684648407215522e-07,3.7454499381066535e-07,2.429668860159532e-13,2.831651829266178e-13,3.684648102802277e-07,8.261663294018421e-08,9.683386938898295e-07,300,3496,0,318,0.3873743000003742,53c4c4e2ffe5e57b91c8204e3eede79571bb8f7be84bb5adf8c63288ee0ec89e
tight_tol_radau,tolerance,8,Radau,1e-06,1e-11,0.05,velocity_jump,,0,0.0001,1.5,301,1.0002058194768397,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.6846483696570853e-07,3.745448634783709e-07,2.39290718645075e-13,2.831651829266178e-13,3.684648102802277e-07,7.242341236567709e-08,5.300068559805871e-07,300,6676,0,506,0.6945701000004192,c13f62c221659f5c03bb1c01488a6a12aebe652243a8cecad6d0428c6bbaaece
tight_tol_bdf,tolerance,8,BDF,1e-06,1e-11,0.05,velocity_jump,,0,0.0001,1.5,301,1.0002058194768397,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.6846482070828574e-07,3.7454460131894436e-07,2.4329977158754176e-13,2.831651829266178e-13,3.684648102802277e-07,2.830136677857608e-08,9.727903708743387e-06,300,3189,0,337,0.42677460000049905,3a8c71a9996d20d22410521b0201a21ff838cac8823f613dfc5c58088cee2a82
pulse_0.02_radau,impulse_application,8,Radau,1e-05,1e-10,0.05,rectangular_pulse,0.02,0,0.0001,1.5,301,1.0002058194768397,CONVERGED_DIAGNOSTIC,0,0,0,0,COMPLETED,COMPLETED,COMPLETED,3.6811307913892333e-07,3.6802849618401663e-07,2.5112171134985067e-13,2.7228963793519493e-13,3.68113023444854e-07,1.512960893701031e-07,1.4200428771214389e-06,399,3093,0,318,0.3142895999990287,88117d51db66395481833087365ff23724f58e249201ea5ea86b14e5dda243b6
