case_id,legacy_scenario_hash,historical_flex_status,physical_input_hash,legacy_row_hash,legacy_csv_sha256,method,n_elements,t_end_s,n_eval,rtol,atol,max_step_s,max_accepted_steps,max_nfev,max_wall_s,forensic_hash,state,classification,specific_classification,termination_reason,training_eligible,ranking_eligible,safety_evaluation_eligible,silent_zero,success,status,solver_message,n_steps,nfev,njev,nlu,wall_s,last_time_s,tip_peak_m,root_moment_peak_Nm,strain_energy_peak_J,total_energy_peak_J,attempt_evidence_hash
P1_tc60_v20mm_approach_5d,1a05caea233827bf,RETRY_OK_rtol1e-5,3d0cebea8ab00310e98e7f5dcc57fd8cf10fbb290aafd6b669c30247c534c5d8,b234b83cb94ed389bace3fedeb39a02fd4632af17083f7be943d03e88facb5b2,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,Radau,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,a3831a9ae0d0338dda4e6eb339d03e6d46a77f53bf3366a7ab3785d3bc7fa188,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,11749,183109,0,42706,30.003953100000217,3.2601937697352854,,,,,f4f3537433ca634454122f472ac11886be9e8059c192a34eb2d62b7f05161b7e
P1_tc60_v20mm_approach_5d,1a05caea233827bf,RETRY_OK_rtol1e-5,3d0cebea8ab00310e98e7f5dcc57fd8cf10fbb290aafd6b669c30247c534c5d8,b234b83cb94ed389bace3fedeb39a02fd4632af17083f7be943d03e88facb5b2,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,BDF,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,0c37ea090a2dc27f7f473a1060e1c3094e0103b2509d412527a974f49398e697,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,36242,138251,0,40413,30.000763399999414,0.41335984404107473,,,,,a62e09a479e46ac91ea2321139c85b11d209d8ed1d6b65d0b29b10bcfaa27224
P2_tc90_v5mm_pose_6d,88e154f444b29327,RETRY_OK_rtol1e-5,ffd9547e5e5e455d4dce465905d4d94c5cee477a2018c46d65f685dedd40acaf,dec59949681aebc242ed7d0ecf8918c8deaf5e72f8a6f04f979d9e09edfe61d8,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,Radau,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,21284f27e00240cba205ada6bf34059c65b18d0d59ae5df5be61c67b694d4c49,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,13310,193241,0,40272,30.000080500001786,8.821287491668443,,,,,0461866df27beda0b4a185d4affe1dcd7059262e45490c5db24a8e82cb23aad7
P2_tc90_v5mm_pose_6d,88e154f444b29327,RETRY_OK_rtol1e-5,ffd9547e5e5e455d4dce465905d4d94c5cee477a2018c46d65f685dedd40acaf,dec59949681aebc242ed7d0ecf8918c8deaf5e72f8a6f04f979d9e09edfe61d8,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,BDF,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,683850388a477402400b213620f8749c4a13b1446d36232c24c0ac93b9abdb75,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,34883,136298,0,38669,30.0012252000015,0.8334307089700861,,,,,af681a52f48b91719cc4888b36758cb294de0bff403e7db9a7c416983cffd081
P2_tc90_v20mm_pose_6d,b34a466122ad54f2,RETRY_OK_rtol1e-5,df86d6deb2f0c777c4a40fe877857b7d3e71e1d470dbfce32b88abf6dac97b28,95284eb6e208daf1f58631dc02f1fef893e01338268d49dc8da3ee585123af63,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,Radau,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,002a073c23b6aa949c6f626610f7f1285475896a6819e0d76039b55f11608a9c,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,12368,180668,0,37810,30.002433400000882,7.2003998133755545,,,,,e2a218e1a44ab3fa71a44f18e683dfdd66167aa4c4b87de4a21dad61de717722
P2_tc90_v20mm_pose_6d,b34a466122ad54f2,RETRY_OK_rtol1e-5,df86d6deb2f0c777c4a40fe877857b7d3e71e1d470dbfce32b88abf6dac97b28,95284eb6e208daf1f58631dc02f1fef893e01338268d49dc8da3ee585123af63,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,BDF,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,80284d7feadf4b3190e449b17377b2fb65e6baf9d52ec36f7fd0571509b0c05a,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,34290,135727,0,39021,30.000076500000432,0.7005568751758653,,,,,3d767fff4665379d44dd776c4a6ff0dc3886b99de70a6c2299698bf45f12ede0
P3_tc30_v20mm_approach_5d,f7ee43cfe38a64a9,RETRY_OK_rtol1e-5,29afebbecf00418d4a1a661d1f5091df0e12a468b0ffe4f17b3f9a8738490875,2e1baee6a2d2124e1794e14e436fe9653fe9cf42ff90862eb639a4eb69d545fa,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,Radau,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,1b3f88d5a2e6e9ffb882c5ffb3ad44da6ae5c855a4f0ed82ce4976c0a7da04fe,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,12248,183410,0,40576,30.00089129999833,6.876650187540578,,,,,904aaab10ec28fb52b2ad7a2108f4efab1efeb8fed7b53a3e13e87f276f390b6
P3_tc30_v20mm_approach_5d,f7ee43cfe38a64a9,RETRY_OK_rtol1e-5,29afebbecf00418d4a1a661d1f5091df0e12a468b0ffe4f17b3f9a8738490875,2e1baee6a2d2124e1794e14e436fe9653fe9cf42ff90862eb639a4eb69d545fa,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,BDF,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,48e3041a2be06ff6913afce2c6b03a706928079f6c582030bd2f078d5d070e5c,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,31739,135392,0,43421,30.000380099998438,0.4125524206468304,,,,,540957325d175786cd61bb02d46e2771cc5a370b80d13a6898842277b49bebfb
P3_tc60_v20mm_approach_5d,dbe8c3fa75510f5b,RETRY_OK_rtol1e-5,8354d5238f4ed38363df9e41cad4bc545c76c9cd41196691f6446638584474a1,079c5ec678de915294cd2777afe39ed888ca663e6b9033d7d50dee6b8d423e53,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,Radau,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,d52c32e3095e449b91881c4f4e53d06db0f5779bce80d63384afba68cd347b2a,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,12220,183160,0,40644,30.000156800000696,6.89005954165801,,,,,121977057fdfcb9acc03e948c5da675bfcec058c015058830b9f08965a36298d
P3_tc60_v20mm_approach_5d,dbe8c3fa75510f5b,RETRY_OK_rtol1e-5,8354d5238f4ed38363df9e41cad4bc545c76c9cd41196691f6446638584474a1,079c5ec678de915294cd2777afe39ed888ca663e6b9033d7d50dee6b8d423e53,c498ce92b6908527f9bbd5f5cfeb5476b23237c2a969797588538b19e0c0e43e,BDF,8,15.0,1500,1e-06,1e-10,0.02,100000,2000000,30.0,9cb68ce50e72755788c79828524cab39154aba0eb01d78dbb9d3ee993bde95ff,UNKNOWN,SOLVER_NONCONVERGENCE,RESOURCE_LIMIT_WALL,RESOURCE_LIMIT_WALL,0,0,0,0,0,-1,wall-time limit 30 s reached before t_bound,29636,130639,0,43090,30.00029899999936,0.38591552343576274,,,,,e17b76352e02bed5a17375631d9d4b4c0233be4ee68436c5b50c0cd20682b827
