t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199845,0.027909,19.199825,0.001089,1.593679,0.451626,1.834373,0.003278,0.003485,9.61595488e-07,-5.85242446e-09,-6.27005326e-11,1.02257680e-06,-5.86066191e-09,-6.59814575e-11,6.32133428e-01,9.33705210e-02,1.93036315e-02,3.00002389e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0200,19.208970,0.072565,19.208819,0.039947,1.593768,0.450946,1.834440,-0.189982,0.153328,-7.52712480e-05,-2.44826375e-05,-5.27964415e-06,5.72689962e-05,1.51046194e-05,3.08642818e-06,6.32126268e-01,9.33641184e-02,1.93761848e-02,2.99996719e+00,5.08088019e-08,1.074e-15,2.220e-15
0.0400,19.218204,0.117233,19.217770,0.078817,1.593856,0.450271,1.834508,-0.371005,0.297654,-1.50024608e-04,-3.42967062e-05,6.23533133e-06,1.12769289e-04,2.13507954e-05,-3.57355437e-06,6.32119348e-01,9.33577110e-02,1.94489738e-02,2.99990998e+00,9.18989213e-08,4.562e-16,5.551e-16
0.0600,19.227545,0.161911,19.226679,0.117697,1.593951,0.449602,1.834572,-0.679126,0.517503,-2.22127598e-04,-2.38079764e-05,-2.10681889e-06,1.66645171e-04,1.51352338e-05,1.21784495e-06,6.32114912e-01,9.33518541e-02,1.95099452e-02,2.99986113e+00,1.28711175e-07,5.621e-16,1.776e-15
0.0800,19.236995,0.206601,19.235547,0.156588,1.594013,0.448919,1.834655,-0.998563,0.745317,-2.90442050e-04,6.72643199e-07,-3.58558764e-06,2.18051713e-04,2.03909332e-07,2.11332201e-06,6.32101518e-01,9.33439035e-02,1.96164559e-02,2.99977948e+00,1.72775293e-07,7.598e-16,4.441e-16
0.1000,19.246552,0.251302,19.244372,0.195490,1.594148,0.448270,1.834694,-1.261374,0.939166,-3.53899629e-04,2.46705250e-05,6.30821692e-06,2.66179084e-04,-1.46159536e-05,-3.62444466e-06,6.32108361e-01,9.33406916e-02,1.96201683e-02,2.99977193e+00,2.17147644e-07,7.789e-16,2.220e-15
0.1200,19.256217,0.296014,19.253155,0.234402,1.594298,0.447628,1.834724,-1.522998,1.128771,-4.11518306e-04,3.41038694e-05,-3.85161937e-06,3.10265304e-04,-2.06346557e-05,2.22769797e-06,6.32119557e-01,9.33385053e-02,1.96017447e-02,2.99978036e+00,2.45683083e-07,2.776e-16,3.553e-15
0.1400,19.265990,0.340738,19.261897,0.273324,1.594400,0.446965,1.834782,-1.652044,1.236730,-4.62390551e-04,2.35553777e-05,-1.61235776e-06,3.49624017e-04,-1.43878742e-05,9.77201747e-07,6.32117648e-01,9.33332383e-02,1.96502921e-02,2.99974042e+00,2.67025059e-07,6.366e-16,8.882e-16
0.1600,19.275871,0.385474,19.270597,0.312256,1.594519,0.446315,1.834830,-1.692145,1.287583,-5.05721443e-04,-6.28738330e-07,5.69973866e-06,3.83640862e-04,3.63391718e-07,-3.28046698e-06,6.32121205e-01,9.33292043e-02,1.96721906e-02,2.99971939e+00,2.99005276e-07,8.431e-16,2.220e-16
0.1800,19.285859,0.430220,19.279256,0.351199,1.594580,0.445641,1.834914,-1.767903,1.354767,-5.40836672e-04,-2.41522950e-05,-5.06664222e-06,4.11785877e-04,1.48977249e-05,2.93655822e-06,6.32108812e-01,9.33213915e-02,1.97762635e-02,2.99963891e+00,3.29541870e-07,7.962e-16,3.553e-15
