t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.204398,0.050197,19.204331,0.020507,1.593797,0.451009,1.834486,-0.100464,0.080586,-3.75002823e-05,-1.30925061e-05,-5.24157069e-06,2.87723304e-05,8.01294252e-06,3.02349072e-06,6.32081129e-01,9.33597733e-02,1.93275719e-02,3.00007049e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.208971,0.072527,19.208820,0.039938,1.593834,0.450666,1.834524,-0.190024,0.151619,-7.54943382e-05,-2.41120781e-05,-4.69847503e-06,5.68466688e-05,1.48494491e-05,2.74923099e-06,6.32075566e-01,9.33561028e-02,1.93741362e-02,3.00003464e+00,2.13116776e-08,8.760e-16,4.441e-16
0.0200,19.213572,0.094861,19.213298,0.059373,1.593872,0.450325,1.834561,-0.273641,0.219598,-1.13116995e-04,-3.13757525e-05,9.83010669e-07,8.47361035e-05,1.94202410e-05,-5.07228457e-07,6.32070550e-01,9.33525432e-02,1.94183414e-02,3.00000040e+00,4.29025370e-08,8.969e-16,4.441e-16
0.0300,19.218199,0.117197,19.217766,0.078810,1.593922,0.449991,1.834592,-0.375735,0.298642,-1.50220996e-04,-3.37888088e-05,5.54373043e-06,1.12329978e-04,2.10353260e-05,-3.15829493e-06,6.32068682e-01,9.33497064e-02,1.94469135e-02,2.99997738e+00,6.01206014e-08,1.110e-16,8.882e-16
0.0400,19.222854,0.139536,19.222223,0.098249,1.593973,0.449658,1.834621,-0.513826,0.398961,-1.86661189e-04,-3.10020552e-05,4.01673387e-06,1.39518925e-04,1.94591259e-05,-2.31662017e-06,6.32067671e-01,9.33470630e-02,1.94713202e-02,2.99995732e+00,7.45010726e-08,4.285e-16,1.776e-15
0.0500,19.227535,0.161877,19.226669,0.117691,1.594015,0.449321,1.834656,-0.680040,0.516093,-2.22293825e-04,-2.34616185e-05,-1.86408816e-06,1.66196051e-04,1.49451605e-05,1.06068512e-06,6.32063813e-01,9.33437523e-02,1.95102210e-02,2.99992680e+00,9.51861558e-08,8.483e-16,1.332e-15
0.0600,19.232243,0.184222,19.231106,0.137137,1.594045,0.448979,1.834698,-0.848016,0.634719,-2.56977585e-04,-1.23378790e-05,-5.63052370e-06,1.92257075e-04,8.19520638e-06,3.25900625e-06,6.32056967e-01,9.33397435e-02,1.95642983e-02,2.99988535e+00,1.16157489e-07,3.018e-16,8.882e-16
0.0700,19.236979,0.206569,19.235531,0.156584,1.594081,0.448639,1.834737,-0.997631,0.742879,-2.90575791e-04,6.55397602e-07,-3.19380867e-06,2.17599737e-04,2.49679192e-07,1.89141677e-06,6.32051435e-01,9.33360425e-02,1.96117281e-02,2.99984871e+00,1.37747490e-07,1.301e-16,4.441e-16
0.0800,19.241741,0.228919,19.239946,0.176035,1.594137,0.448309,1.834763,-1.130931,0.841295,-3.22957899e-04,1.35246061e-05,2.71747458e-06,2.42123642e-04,-7.67303905e-06,-1.51024090e-06,6.32051721e-01,9.33337030e-02,1.96296229e-02,2.99983334e+00,1.62260672e-07,3.417e-16,2.220e-15
0.0900,19.246530,0.251271,19.244351,0.195488,1.594214,0.447989,1.834777,-1.262825,0.938194,-3.53999129e-04,2.43024959e-05,5.61121987e-06,2.65731177e-04,-1.43631608e-05,-3.21048641e-06,6.32057779e-01,9.33327151e-02,1.96181901e-02,2.99983911e+00,1.79851230e-07,3.105e-16,8.882e-16
0.1000,19.251347,0.273627,19.248745,0.214944,1.594294,0.447671,1.834789,-1.397946,1.036040,-3.83579108e-04,3.13496174e-05,2.36105015e-06,2.88328986e-04,-1.88036547e-05,-1.37206103e-06,6.32064919e-01,9.33319838e-02,1.96012286e-02,2.99984888e+00,1.93287365e-07,1.190e-15,1.332e-15
