t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_L5,eta_L6,eta_L7,eta_R1,eta_R2,eta_R3,eta_R4,eta_R5,eta_R6,eta_R7,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199845,0.027909,19.199825,0.001089,1.593696,0.451636,1.834362,0.003278,0.003485,9.61593009e-07,-5.85226028e-09,-6.26867549e-11,-2.51610128e-12,-8.37349271e-13,-3.07625419e-13,-1.33659806e-13,1.02257417e-06,-5.86049925e-09,-6.59677285e-11,-3.13851158e-12,-1.00828175e-12,-3.69018362e-13,-1.59907041e-13,6.32138498e-01,9.33716877e-02,1.92783983e-02,3.00004204e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.204394,0.050235,19.204327,0.020517,1.593727,0.451287,1.834404,-0.095817,0.079720,-3.72652056e-05,-1.33005976e-05,-5.90043197e-06,-1.90922223e-06,4.39732025e-07,4.55531914e-07,-3.06241802e-07,2.91835807e-05,8.17486210e-06,3.42157097e-06,1.07474728e-06,-2.38944454e-07,-2.46471865e-07,1.64341638e-07,6.32130728e-01,9.33675378e-02,1.93351670e-02,2.99999904e+00,4.16964273e-08,2.776e-16,2.665e-15
0.0200,19.208970,0.072565,19.208819,0.039947,1.593766,0.450945,1.834441,-0.202318,0.160133,-7.52709453e-05,-2.44824397e-05,-5.27943613e-06,2.11004925e-06,-7.82254422e-07,5.18456176e-07,-2.30099532e-07,5.72691851e-05,1.51047695e-05,3.08659057e-06,-1.17478088e-06,4.29542222e-07,-2.80135695e-07,1.23721127e-07,6.32125607e-01,9.33639662e-02,1.93794807e-02,2.99996482e+00,7.74350398e-08,2.220e-16,8.882e-16
0.0300,19.213574,0.094898,19.213300,0.059381,1.593808,0.450606,1.834477,-0.266217,0.217136,-1.12906758e-04,-3.18514503e-05,1.11318373e-06,-4.46993566e-07,9.74935805e-07,1.58170878e-07,1.11389390e-07,8.51678345e-05,1.97293497e-05,-5.98342274e-07,2.50098676e-07,-5.33355508e-07,-8.47750882e-08,-5.93636322e-08,6.32121530e-01,9.33606244e-02,1.94188546e-02,2.99993410e+00,1.12231000e-07,1.110e-16,4.441e-15
0.0400,19.218204,0.117233,19.217770,0.078817,1.593848,0.450266,1.834513,-0.366972,0.295380,-1.50025023e-04,-3.42968756e-05,6.23507521e-06,-1.56503509e-06,-9.82947008e-07,-3.11317685e-07,2.97457663e-07,1.12769027e-04,2.13506663e-05,-3.57375514e-06,8.82665913e-07,5.40641143e-07,1.69405959e-07,-1.59323635e-07,6.32116959e-01,9.33571603e-02,1.94609150e-02,2.99990141e+00,1.39907472e-07,8.066e-16,3.997e-15
0.0500,19.222861,0.139571,19.222230,0.098255,1.593912,0.449941,1.834535,-0.512440,0.400018,-1.86479023e-04,-3.14641097e-05,4.50864952e-06,2.16829181e-06,8.16686290e-07,-5.03975136e-07,1.20354935e-07,1.39964336e-04,1.97329557e-05,-2.59907168e-06,-1.20825660e-06,-4.47707937e-07,2.73251271e-07,-6.45754819e-08,6.32119494e-01,9.33553322e-02,1.94675289e-02,2.99989414e+00,1.66457649e-07,5.516e-16,1.332e-15
0.0600,19.227545,0.161911,19.226680,0.117697,1.593957,0.449606,1.834568,-0.677656,0.516672,-2.22127864e-04,-2.38080852e-05,-2.10688395e-06,-8.48314905e-07,-5.06916314e-07,-2.77945903e-07,-1.85458228e-07,1.66645000e-04,1.51351498e-05,1.21779371e-06,4.74626990e-07,2.80428994e-07,1.50498900e-07,9.94815096e-08,6.32116827e-01,9.33522962e-02,1.95003571e-02,2.99986801e+00,1.99857974e-07,1.318e-16,2.220e-15
0.0700,19.232257,0.184255,19.231118,0.137141,1.593979,0.449260,1.834615,-0.846286,0.635676,-2.56827598e-04,-1.25158299e-05,-6.33470589e-06,-1.18005476e-06,1.19608092e-07,1.61757738e-07,-2.51008785e-07,1.92708338e-04,8.27298352e-06,3.67949876e-06,6.68291881e-07,-6.57670713e-08,-8.76541905e-08,1.34883212e-07,6.32107464e-01,9.33477004e-02,1.95670549e-02,2.99981750e+00,2.30269960e-07,1.110e-16,4.441e-16
0.0800,19.236995,0.206601,19.235547,0.156588,1.594009,0.448916,1.834658,-1.006434,0.749699,-2.90441577e-04,6.72886805e-07,-3.58535250e-06,2.13740272e-06,2.78344631e-07,4.47732410e-07,-1.64378126e-08,2.18052012e-04,2.04094552e-07,2.11350610e-06,-1.19177770e-06,-1.50243889e-07,-2.42165141e-07,9.23207511e-09,6.32100208e-01,9.33436024e-02,1.96229954e-02,2.99977480e+00,2.63184208e-07,1.284e-16,3.553e-15
0.0900,19.241760,0.228950,19.239964,0.176038,1.594076,0.448593,1.834677,-1.128564,0.841762,-3.22841233e-04,1.37334667e-05,3.06228831e-06,-1.19093406e-06,-6.09632197e-07,3.56261279e-07,2.20762103e-07,2.42574354e-04,-7.83501211e-06,-1.72707551e-06,6.66367929e-07,3.34573527e-07,-1.92114134e-07,-1.18105460e-07,6.32103725e-01,9.33420083e-02,1.96245830e-02,2.99977116e+00,2.99780027e-07,9.593e-16,2.220e-15
