t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.211279,0.083382,19.211073,0.049580,1.593953,0.450070,1.834668,-0.234444,0.183643,-9.41463567e-05,-2.60346129e-05,-1.07834228e-06,6.94973712e-05,1.59053242e-05,6.05471961e-07,6.31997833e-01,9.33424571e-02,1.93901968e-02,3.00012064e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.215889,0.105718,19.215542,0.069017,1.593997,0.449732,1.834702,-0.335242,0.261963,-1.31456112e-04,-3.06253199e-05,1.89282122e-06,9.72059495e-05,1.88845942e-05,-1.00959940e-06,6.31994498e-01,9.33392903e-02,1.94260748e-02,3.00009237e+00,1.61119196e-08,2.776e-16,4.441e-16
0.0200,19.220525,0.128057,19.220000,0.088456,1.594044,0.449397,1.834734,-0.457112,0.352681,-1.68175261e-04,-3.04907127e-05,2.77963118e-06,1.24569700e-04,1.89961700e-05,-1.48888828e-06,6.31991949e-01,9.33362931e-02,1.94583093e-02,3.00006664e+00,2.96343897e-08,1.638e-15,2.220e-15
0.0300,19.225189,0.150399,19.224447,0.107899,1.594088,0.449061,1.834768,-0.602636,0.457180,-2.04159430e-04,-2.56700336e-05,6.36755391e-07,1.51480656e-04,1.62341736e-05,-3.21659277e-07,6.31988800e-01,9.33331500e-02,1.94937342e-02,3.00003858e+00,4.43504187e-08,3.556e-16,8.882e-16
0.0400,19.229879,0.172743,19.228885,0.127344,1.594127,0.448722,1.834805,-0.760736,0.569255,-2.39266676e-04,-1.69181838e-05,-2.16308236e-06,1.77833089e-04,1.10321029e-05,1.19982473e-06,6.31984255e-01,9.33296818e-02,1.95362357e-02,3.00000543e+00,6.17317358e-08,2.793e-16,2.220e-16
0.0500,19.234596,0.195090,19.233311,0.146792,1.594166,0.448384,1.834841,-0.915976,0.680187,-2.73358664e-04,-5.58786417e-06,-2.55598232e-06,2.03523535e-04,4.19462105e-06,1.41072351e-06,6.31979761e-01,9.33262285e-02,1.95784431e-02,2.99997252e+00,8.02473853e-08,2.134e-16,2.665e-15
0.0600,19.239341,0.217440,19.237727,0.166242,1.594215,0.448051,1.834872,-1.060640,0.785340,-3.06301982e-04,6.57909579e-06,-1.39543393e-07,2.28450708e-04,-3.22716478e-06,9.50671748e-08,6.31978008e-01,9.33234156e-02,1.96067795e-02,2.99994961e+00,9.98511762e-08,4.111e-16,1.332e-15
0.0700,19.244112,0.239793,19.242133,0.185695,1.594278,0.447724,1.834894,-1.197025,0.885454,-3.37968668e-04,1.77194446e-05,2.41702067e-06,2.52515893e-04,-1.00973008e-05,-1.29435901e-06,6.31980293e-01,9.33215445e-02,1.96146944e-02,2.99994138e+00,1.17523130e-07,1.143e-15,2.220e-15
0.0800,19.248910,0.262148,19.246528,0.205151,1.594350,0.447402,1.834910,-1.328421,0.981798,-3.68235839e-04,2.61341549e-05,2.32080369e-06,2.75623861e-04,-1.53685845e-05,-1.24015947e-06,6.31985115e-01,9.33202663e-02,1.96097693e-02,2.99994239e+00,1.30702152e-07,9.194e-16,8.882e-16
0.0900,19.253736,0.284507,19.250913,0.224609,1.594420,0.447079,1.834928,-1.449651,1.071102,-3.96985296e-04,3.05478582e-05,-2.94160209e-07,2.97683782e-04,-1.82419113e-05,1.82586906e-07,6.31989516e-01,9.33188922e-02,1.96069542e-02,2.99994190e+00,1.41139177e-07,6.887e-16,3.553e-15
0.1000,19.258588,0.306869,19.255287,0.244069,1.594483,0.446753,1.834950,-1.548335,1.146306,-4.24103953e-04,3.03020891e-05,-2.54531591e-06,3.18609593e-04,-1.82874074e-05,1.40575992e-06,6.31991727e-01,9.33170088e-02,1.96152179e-02,2.99993343e+00,1.49393431e-07,4.545e-16,2.220e-15
0.1100,19.263467,0.329233,19.259651,0.263533,1.594540,0.446424,1.834975,-1.615987,1.202630,-4.49485059e-04,2.54530900e-05,-1.97885038e-06,3.38319843e-04,-1.55089684e-05,1.09634310e-06,6.31992323e-01,9.33147443e-02,1.96317768e-02,2.99991897e+00,1.57365238e-07,4.528e-16,1.332e-15
0.1200,19.268373,0.351600,19.264005,0.282998,1.594596,0.446095,1.835002,-1.657042,1.242489,-4.73029309e-04,1.67600582e-05,7.55974152e-07,3.56737575e-04,-1.03422243e-05,-3.91030603e-07,6.31992748e-01,9.33124287e-02,1.96494710e-02,2.99990361e+00,1.68139148e-07,1.336e-16,8.882e-16
0.1300,19.273306,0.373970,19.268348,0.302467,1.594650,0.445767,1.835029,-1.685940,1.273895,-4.94645092e-04,5.56643592e-06,2.64969489e-06,3.73790721e-04,-3.58621708e-06,-1.41971419e-06,6.31992993e-01,9.33100561e-02,1.96684330e-02,2.99988726e+00,1.80231888e-07,1.020e-15,1.776e-15
0.1400,19.278266,0.396343,19.272680,0.321938,1.594696,0.445437,1.835061,-1.715198,1.303928,-5.14248085e-04,-6.40729761e-06,1.64419528e-06,3.89412863e-04,3.72042710e-06,-8.71691508e-07,6.31991077e-01,9.33071655e-02,1.96986673e-02,2.99986270e+00,1.92181354e-07,9.680e-16,6.661e-16
0.1500,19.283253,0.418718,19.277002,0.341411,1.594726,0.445100,1.835102,-1.746939,1.334089,-5.31761115e-04,-1.73277870e-05,-1.13073878e-06,4.03543795e-04,1.04593394e-05,6.37659550e-07,6.31984975e-01,9.33032869e-02,1.97503806e-02,2.99982265e+00,2.02973218e-07,7.667e-16,8.882e-16
0.1600,19.288267,0.441096,19.281314,0.360887,1.594742,0.444756,1.835153,-1.776239,1.362058,-5.47114899e-04,-2.55296271e-05,-2.62589437e-06,4.16129494e-04,1.56034632e-05,1.45030379e-06,6.31974888e-01,9.32984693e-02,1.98225302e-02,2.99976787e+00,2.09601127e-07,1.006e-16,1.776e-15
0.1700,19.293307,0.463476,19.285615,0.380367,1.594753,0.444411,1.835206,-1.801622,1.387332,-5.60249264e-04,-2.97696827e-05,-1.22279016e-06,4.27121746e-04,1.83732843e-05,6.86881809e-07,6.31963386e-01,9.32933124e-02,1.99021163e-02,2.99970773e+00,2.12912275e-07,9.229e-16,3.553e-15
0.1800,19.298373,0.485859,19.289905,0.399849,1.594767,0.444069,1.835257,-1.830359,1.414053,-5.71113903e-04,-2.94156608e-05,1.51496462e-06,4.36478016e-04,1.83547840e-05,-8.01929445e-07,6.31953221e-01,9.32884591e-02,1.99751612e-02,2.99965227e+00,2.15386336e-07,1.738e-15,1.776e-15
0.1900,19.303467,0.508244,19.294185,0.419333,1.594789,0.443731,1.835303,-1.872243,1.447585,-5.79668158e-04,-2.45401240e-05,2.58368609e-06,4.44161871e-04,1.55614304e-05,-1.38299661e-06,6.31945136e-01,9.32840870e-02,2.00377808e-02,2.99960430e+00,2.17806454e-07,4.770e-16,4.441e-16
0.2000,19.308587,0.530632,19.298454,0.438821,1.594814,0.443395,1.835348,-1.928474,1.488461,-5.85880317e-04,-1.59062019e-05,8.34785519e-07,4.50143660e-04,1.04307659e-05,-4.32042706e-07,6.31937938e-01,9.32799255e-02,2.00958553e-02,2.99955963e+00,2.22799713e-07,3.331e-16,7.772e-16
0.2100,19.313733,0.553022,19.302712,0.458311,1.594839,0.443057,1.835392,-1.987877,1.530341,-5.89727372e-04,-4.84807436e-06,-1.79155320e-06,4.54400845e-04,3.75601593e-06,9.95962346e-07,6.31930610e-01,9.32757430e-02,2.01544197e-02,2.99951468e+00,2.30588025e-07,7.060e-16,8.882e-16
0.2200,19.318907,0.575415,19.306960,0.477804,1.594867,0.442720,1.835435,-2.034902,1.564396,-5.91195571e-04,6.93491884e-06,-2.41849028e-06,4.56917793e-04,-3.43670740e-06,1.33684140e-06,6.31924009e-01,9.32717414e-02,2.02090742e-02,2.99947261e+00,2.38311224e-07,4.875e-16,2.220e-15
0.2300,19.324107,0.597810,19.311197,0.497300,1.594905,0.442388,1.835472,-2.061179,1.585644,-5.90281163e-04,1.76390427e-05,-3.83662603e-07,4.57685383e-04,-1.00463973e-05,2.30275509e-07,6.31920224e-01,9.32684064e-02,2.02492201e-02,2.99944099e+00,2.45212159e-07,8.708e-16,5.551e-16
0.2400,19.329333,0.620208,19.315424,0.516798,1.594957,0.442062,1.835500,-2.068826,1.594808,-5.86990478e-04,2.56321788e-05,2.06197561e-06,4.56700983e-04,-1.50657279e-05,-1.10005143e-06,6.31920279e-01,9.32659746e-02,2.02696945e-02,2.99942349e+00,2.49724241e-07,2.793e-16,1.332e-15
0.2500,19.334586,0.642609,19.319641,0.536298,1.595018,0.441739,1.835522,-2.062855,1.594256,-5.81339163e-04,2.97029322e-05,2.24368640e-06,4.53968906e-04,-1.77343440e-05,-1.19958297e-06,6.31922708e-01,9.32641036e-02,2.02779660e-02,2.99941476e+00,2.51103647e-07,7.459e-17,8.882e-16
0.2600,19.339866,0.665012,19.323847,0.555801,1.595076,0.441416,1.835546,-2.041879,1.582999,-5.73351290e-04,2.92445094e-05,-1.21503204e-08,4.49500890e-04,-1.76537753e-05,2.67911657e-08,6.31924616e-01,9.32621171e-02,2.02887827e-02,2.99940424e+00,2.52494347e-07,8.275e-16,1.776e-15
0.2700,19.345173,0.687419,19.328042,0.575307,1.595127,0.441087,1.835575,-1.997871,1.556595,-5.63059186e-04,2.43451051e-05,-2.21590503e-06,4.43316087e-04,-1.48468803e-05,1.22582516e-06,6.31924113e-01,9.32595729e-02,2.03117857e-02,2.99938503e+00,2.55465091e-07,1.769e-16,4.441e-16
0.2800,19.350506,0.709828,19.332228,0.594815,1.595170,0.440756,1.835608,-1.925417,1.512185,-5.50504014e-04,1.57713327e-05,-1.96204862e-06,4.35440538e-04,-9.75297033e-06,1.08900563e-06,6.31921593e-01,9.32565577e-02,2.03450827e-02,2.99935846e+00,2.60920626e-07,4.753e-16,5.551e-16
0.2900,19.355865,0.732239,19.336402,0.614325,1.595211,0.440424,1.835643,-1.830209,1.453104,-5.35736321e-04,4.84804418e-06,4.45439270e-07,4.25906615e-04,-3.15931334e-06,-2.19570150e-07,6.31918575e-01,9.32534207e-02,2.03810658e-02,2.99932994e+00,2.70132021e-07,3.886e-16,2.220e-15
0.3000,19.361251,0.754653,19.340566,0.633838,1.595252,0.440092,1.835678,-1.727120,1.387801,-5.18815831e-04,-6.74631565e-06,2.35464624e-06,4.14752905e-04,3.92054672e-06,-1.25848734e-06,6.31915525e-01,9.32502686e-02,2.04174138e-02,2.99930111e+00,2.80552820e-07,3.331e-16,1.776e-15
0.3100,19.366663,0.777070,19.344720,0.653354,1.595287,0.439758,1.835715,-1.629437,1.323934,-4.99810553e-04,-1.72372637e-05,1.68676706e-06,4.02024468e-04,1.04028142e-05,-8.96493773e-07,6.31911127e-01,9.32467958e-02,2.04607927e-02,2.99926723e+00,2.90006115e-07,6.002e-16,3.997e-15
0.3200,19.372102,0.799489,19.348863,0.672872,1.595312,0.439420,1.835759,-1.540270,1.263635,-4.78796041e-04,-2.50255846e-05,-8.00604551e-07,3.87772955e-04,1.52995220e-05,4.56001781e-07,6.31903818e-01,9.32426412e-02,2.05190824e-02,2.99922270e+00,2.98335141e-07,5.690e-16,8.882e-16
0.3300,19.377567,0.821910,19.352995,0.692393,1.595328,0.439077,1.835809,-1.454628,1.204574,-4.55855406e-04,-2.89311838e-05,-2.37173868e-06,3.72056216e-04,1.78690149e-05,1.31182125e-06,6.31893882e-01,9.32378745e-02,2.05907788e-02,2.99916862e+00,3.04554416e-07,5.551e-16,3.553e-15
0.3400,19.383059,0.844334,19.357116,0.711917,1.595343,0.438733,1.835859,-1.369013,1.145117,-4.31079820e-04,-2.83721983e-05,-1.32130828e-06,3.54937554e-04,1.77280002e-05,7.42222097e-07,6.31883751e-01,9.32330655e-02,2.06634427e-02,2.99911390e+00,3.10598356e-07,6.592e-16,8.882e-16
0.3500,19.388577,0.866761,19.361227,0.731443,1.595367,0.438394,1.835904,-1.287396,1.087546,-4.04568654e-04,-2.34518160e-05,1.17505609e-06,3.36485158e-04,1.49085226e-05,-6.15412102e-07,6.31876120e-01,9.32288451e-02,2.07232795e-02,2.99906838e+00,3.19392579e-07,9.610e-16,2.220e-15
0.3600,19.394121,0.889189,19.365328,0.750972,1.595403,0.438060,1.835941,-1.216820,1.035665,-3.76428738e-04,-1.49396379e-05,2.37590217e-06,3.16772058e-04,9.85156847e-06,-1.27051307e-06,6.31871825e-01,9.32254130e-02,2.07659005e-02,2.99903519e+00,3.30994478e-07,1.752e-15,8.882e-16
0.3700,19.399691,0.911621,19.369418,0.770504,1.595447,0.437729,1.835973,-1.157607,0.989489,-3.46773105e-04,-4.15103843e-06,9.84215910e-07,2.95876336e-04,3.33838164e-06,-5.15783885e-07,6.31869700e-01,9.32225025e-02,2.07971251e-02,2.99901022e+00,3.45872156e-07,1.164e-15,1.332e-15
0.3800,19.405288,0.934054,19.373497,0.790037,1.595495,0.437398,1.836003,-1.099295,0.943062,-3.15720107e-04,7.25621065e-06,-1.45234025e-06,2.73881085e-04,-3.63009475e-06,8.09317018e-07,6.31868421e-01,9.32198087e-02,2.08236143e-02,2.99898873e+00,3.62863729e-07,6.974e-16,5.551e-16
0.3900,19.410911,0.956491,19.377566,0.809574,1.595547,0.437068,1.836030,-1.027337,0.888144,-2.83393279e-04,1.75364454e-05,-2.26231418e-06,2.50873858e-04,-9.98717470e-06,1.25191232e-06,6.31868233e-01,9.32173893e-02,2.08441089e-02,2.99897161e+00,3.78704534e-07,2.220e-16,2.220e-15
0.4000,19.416560,0.978930,19.381624,0.829112,1.595610,0.436741,1.836051,-0.933925,0.820157,-2.49921490e-04,2.51228928e-05,-5.79409764e-07,2.26945902e-04,-1.47639433e-05,3.38418695e-07,6.31870628e-01,9.32155900e-02,2.08510403e-02,2.99896425e+00,3.93011496e-07,1.461e-15,4.441e-16
0.4100,19.422235,1.001372,19.385672,0.848653,1.595684,0.436419,1.836065,-0.821936,0.740398,-2.15438578e-04,2.88663213e-05,1.73152850e-06,2.02191703e-04,-1.72369950e-05,-9.19208781e-07,6.31876371e-01,9.32145855e-02,2.08405963e-02,2.99896933e+00,4.05982032e-07,1.136e-15,1.776e-15
0.4200,19.427937,1.023817,19.389710,0.868196,1.595766,0.436100,1.836074,-0.698523,0.652614,-1.80082216e-04,2.82093193e-05,2.14049483e-06,1.76708971e-04,-1.70377917e-05,-1.14440847e-06,6.31884087e-01,9.32140527e-02,2.08198653e-02,2.99898179e+00,4.18136986e-07,8.622e-16,8.882e-16
0.4300,19.433666,1.046264,19.393737,0.887742,1.595846,0.435779,1.836085,-0.566000,0.558081,-1.43992631e-04,2.32695219e-05,2.21844336e-07,1.50598708e-04,-1.42073058e-05,-1.02665832e-07,6.31891052e-01,9.32133537e-02,2.08027992e-02,2.99899169e+00,4.32513669e-07,1.535e-15,1.776e-15
0.4400,19.439420,1.068715,19.397753,0.907289,1.595916,0.435454,1.836101,-0.420281,0.454751,-1.07311949e-04,1.48190310e-05,-1.90407892e-06,1.23964871e-04,-9.18811279e-06,1.05500966e-06,6.31895405e-01,9.32120517e-02,2.07989417e-02,2.99899221e+00,4.49936820e-07,4.545e-16,2.665e-15
0.4500,19.445201,1.091168,19.401759,0.926839,1.595978,0.435123,1.836122,-0.258405,0.341323,-7.01842805e-05,4.16352597e-06,-1.91383675e-06,9.69135524e-05,-2.75542808e-06,1.06371411e-06,6.31897477e-01,9.32102200e-02,2.08066852e-02,2.99898447e+00,4.69394218e-07,1.995e-16,8.882e-16
0.4600,19.451007,1.113624,19.405755,0.946391,1.596038,0.434792,1.836144,-0.086458,0.221522,-3.27558874e-05,-7.05972892e-06,1.80162336e-07,6.95521115e-05,4.10238877e-06,-7.33428546e-08,6.31898900e-01,9.32082358e-02,2.08177867e-02,2.99897432e+00,4.90361049e-07,7.598e-16,1.332e-15
0.4700,19.456840,1.136082,19.409740,0.965946,1.596099,0.434462,1.836166,0.081415,0.103518,4.82531151e-06,-1.71334297e-05,2.06880422e-06,4.19887053e-05,1.03356784e-05,-1.10226549e-06,6.31900572e-01,9.32063077e-02,2.08276881e-02,2.99896501e+00,5.10095797e-07,5.551e-17,2.220e-15
0.4800,19.462699,1.158543,19.413714,0.985502,1.596158,0.434131,1.836189,0.232533,-0.005296,4.24108714e-05,-2.45226987e-05,1.69248568e-06,1.43322149e-05,1.49943402e-05,-9.00963144e-07,6.31901750e-01,9.32042645e-02,2.08401307e-02,2.99895389e+00,5.26934849e-07,4.632e-16,8.882e-16
0.4900,19.468584,1.181007,19.417678,1.005062,1.596211,0.433796,1.836215,0.364079,-0.102951,7.98528902e-05,-2.81086746e-05,-5.13004793e-07,-1.33078745e-05,1.73728189e-05,2.97399271e-07,6.31901234e-01,9.32018304e-02,2.08611362e-02,2.99893668e+00,5.42057490e-07,2.122e-15,1.332e-15
0.5000,19.474495,1.203473,19.421631,1.024623,1.596259,0.433458,1.836245,0.481976,-0.192343,1.17004397e-04,-2.73579540e-05,-2.11966024e-06,-4.08220203e-05,1.71168905e-05,1.17377404e-06,6.31899277e-01,9.31990683e-02,2.08893286e-02,2.99891440e+00,5.56012337e-07,8.778e-16,1.776e-15
