t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_L4,eta_R1,eta_R2,eta_R3,eta_R4,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199845,0.027909,19.199825,0.001089,1.593687,0.451631,1.834368,0.003278,0.003485,9.61593224e-07,-5.85235303e-09,-6.27007449e-11,-2.51042466e-12,1.02257443e-06,-5.86059128e-09,-6.59816566e-11,-3.13286700e-12,6.32135717e-01,9.33710501e-02,1.92921849e-02,3.00003214e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.204394,0.050235,19.204327,0.020517,1.593729,0.451288,1.834403,-0.094726,0.079138,-3.72652899e-05,-1.33006463e-05,-5.90047814e-06,-1.90928113e-06,2.91835260e-05,8.17482439e-06,3.42153426e-06,1.07469992e-06,6.32131190e-01,9.33676447e-02,1.93328543e-02,3.00000070e+00,3.19178678e-08,4.163e-16,1.776e-15
0.0200,19.208970,0.072565,19.208819,0.039947,1.593765,0.450944,1.834442,-0.197131,0.157309,-7.52708743e-05,-2.44824108e-05,-5.27942824e-06,2.11011153e-06,5.72692306e-05,1.51047916e-05,3.08659678e-06,-1.17473083e-06,6.32125427e-01,9.33639238e-02,1.93803987e-02,2.99996416e+00,5.83875721e-08,1.278e-15,1.776e-15
0.0300,19.213574,0.094898,19.213300,0.059381,1.593813,0.450609,1.834473,-0.269362,0.218857,-1.12906924e-04,-3.18515473e-05,1.11313372e-06,-4.47054142e-07,8.51677266e-05,1.97292746e-05,-5.98381985e-07,2.50049903e-07,6.32123123e-01,9.33609896e-02,1.94109431e-02,2.99993977e+00,8.45193913e-08,9.350e-16,6.661e-16
0.0400,19.218204,0.117233,19.217770,0.078817,1.593850,0.450268,1.834511,-0.365703,0.294662,-1.50024882e-04,-3.42968129e-05,6.23514212e-06,-1.56501321e-06,1.12769118e-04,2.13507146e-05,-3.57370207e-06,8.82683437e-07,6.32117783e-01,9.33573492e-02,1.94568177e-02,2.99990434e+00,1.04888797e-07,8.084e-16,8.882e-16
0.0500,19.222861,0.139571,19.222230,0.098255,1.593908,0.449939,1.834537,-0.517323,0.402680,-1.86479092e-04,-3.14641555e-05,4.50864064e-06,2.16830257e-06,1.39964292e-04,1.97329206e-05,-2.59907861e-06,-1.20824780e-06,6.32118358e-01,9.33550716e-02,1.94731785e-02,2.99989010e+00,1.23828604e-07,6.262e-16,7.772e-16
0.0600,19.227545,0.161911,19.226679,0.117697,1.593957,0.449606,1.834568,-0.676252,0.515895,-2.22127746e-04,-2.38080305e-05,-2.10685226e-06,-8.48293825e-07,1.66645077e-04,1.51351922e-05,1.21781890e-06,4.74643929e-07,6.32116882e-01,9.33523099e-02,1.95000592e-02,2.99986823e+00,1.49433315e-07,3.001e-16,4.441e-16
0.0700,19.232257,0.184255,19.231118,0.137141,1.593973,0.449256,1.834618,-0.845293,0.635145,-2.56827610e-04,-1.25158391e-05,-6.33472933e-06,-1.18007849e-06,1.92708330e-04,8.27297668e-06,3.67948021e-06,6.68272914e-07,6.32105792e-01,9.33473161e-02,1.95753966e-02,2.99981153e+00,1.73197447e-07,7.997e-16,1.332e-15
0.0800,19.236995,0.206601,19.235547,0.156588,1.594013,0.448919,1.834655,-1.005805,0.749356,-2.90441669e-04,6.72841250e-07,-3.58539200e-06,2.13741274e-06,2.18051952e-04,2.04059247e-07,2.11347464e-06,-1.19176969e-06,6.32101549e-01,9.33439104e-02,1.96163042e-02,2.99977959e+00,1.99127594e-07,3.730e-16,1.776e-15
0.0900,19.241760,0.228950,19.239964,0.176038,1.594075,0.448592,1.834678,-1.126039,0.840378,-3.22841213e-04,1.37334838e-05,3.06230690e-06,-1.19094137e-06,2.42574365e-04,-7.83499912e-06,-1.72706086e-06,6.66361862e-07,6.32103501e-01,9.33419560e-02,1.96257182e-02,2.99977034e+00,2.28932272e-07,3.469e-16,8.882e-16
