t_s,base_dev_angle_deg,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,wb_x_dps,wb_y_dps,wb_z_dps,tip_L_mm,tip_R_mm,eta_L1,eta_L2,eta_L3,eta_R1,eta_R2,eta_R3,L_base_Nms,L_arm_Nms,L_panels_Nms,L_target_Nms,E_damp_J,abs_dP,abs_dL
0.0000,19.199841,0.027909,19.199821,0.001089,1.593679,0.451626,1.834373,0.005589,0.005843,1.63873922e-06,-1.13645192e-08,-6.32665334e-10,1.71367578e-06,-1.13050853e-08,-6.34490443e-10,6.32133397e-01,9.33705222e-02,1.93035708e-02,3.00002398e+00,0.00000000e+00,0.000e+00,0.000e+00
0.0100,19.204390,0.050236,19.204323,0.020517,1.593734,0.451290,1.834400,-0.098970,0.085155,-3.66117576e-05,-1.33363426e-05,-5.93305569e-06,2.98722640e-05,8.18147024e-06,3.44042753e-06,6.32132614e-01,9.33679840e-02,1.93254742e-02,3.00000607e+00,0.00000000e+00,3.903e-16,4.441e-16
0.0200,19.208966,0.072565,19.208814,0.039947,1.593770,0.450947,1.834439,-0.187767,0.155660,-7.46685701e-05,-2.45915663e-05,-5.33757701e-06,5.79698928e-05,1.51518555e-05,3.12097665e-06,6.32126507e-01,9.33641853e-02,1.93747018e-02,2.99996831e+00,0.00000000e+00,8.257e-16,1.776e-15
0.0300,19.213569,0.094898,19.213295,0.059381,1.593807,0.450605,1.834477,-0.268345,0.221788,-1.12380837e-04,-3.20533891e-05,1.13227673e-06,8.58958720e-05,1.98327470e-05,-6.08216984e-07,6.32121219e-01,9.33605617e-02,1.94201788e-02,2.99993319e+00,0.00000000e+00,2.220e-16,2.665e-15
0.0400,19.218199,0.117233,19.217766,0.078817,1.593857,0.450271,1.834507,-0.368140,0.299462,-1.49600842e-04,-3.45798887e-05,6.37397102e-06,1.13539150e-04,2.15069486e-05,-3.65372523e-06,6.32119693e-01,9.33578043e-02,1.94469156e-02,2.99991153e+00,0.00000000e+00,3.938e-16,5.329e-15
0.0500,19.222857,0.139571,19.222226,0.098255,1.593911,0.449940,1.834535,-0.507464,0.400508,-1.86182778e-04,-3.17847988e-05,4.63318192e-06,1.40789840e-04,1.99176614e-05,-2.67261572e-06,6.32119245e-01,9.33552915e-02,1.94683755e-02,2.99989363e+00,0.00000000e+00,1.558e-15,4.441e-15
0.0600,19.227541,0.161912,19.226675,0.117697,1.593953,0.449603,1.834570,-0.677901,0.520087,-2.21981829e-04,-2.40959013e-05,-2.17905684e-06,1.67540541e-04,1.53083544e-05,1.25817601e-06,6.32115460e-01,9.33519963e-02,1.95068263e-02,2.99986345e+00,0.00000000e+00,4.094e-16,3.109e-15
0.0700,19.232252,0.184255,19.231114,0.137141,1.593982,0.449260,1.834614,-0.849641,0.640832,-2.56855231e-04,-1.26897741e-05,-6.58430272e-06,1.93686461e-04,8.38530053e-06,3.82394162e-06,6.32107984e-01,9.33478387e-02,1.95640200e-02,2.99981977e+00,0.00000000e+00,1.152e-15,3.997e-15
0.0800,19.236990,0.206601,19.235542,0.156588,1.594014,0.448919,1.834654,-0.999914,0.749258,-2.90664748e-04,6.87400057e-07,-3.74659637e-06,2.19124689e-04,2.08726934e-07,2.20824423e-06,6.32101715e-01,9.33439643e-02,1.96151042e-02,2.99978053e+00,0.00000000e+00,3.504e-16,3.553e-15
0.0900,19.241755,0.228950,19.239960,0.176038,1.594070,0.448589,1.834681,-1.131884,0.846790,-3.23278386e-04,1.39866169e-05,3.21860426e-06,2.43753910e-04,-7.96995240e-06,-1.81559901e-06,6.32101961e-01,9.33416150e-02,1.96330922e-02,2.99976513e+00,0.00000000e+00,6.019e-16,2.220e-15
