segment,t,q_deg,min_moving_to_bus_mm,min_arm_to_wing_mm,min_gripper_to_bus_mm,min_arm_to_saddle_mm,worst_critical_mm,n_moving_bus_pairs,n_wing_pairs,joint_limits_valid,limit_margin_deg,problems,pass
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.0,"[-90.0, -120.0, -60.0, 0.0, -30.0, 0.0]",74.05,123.5222,124.5812,60.328,60.328,294,16,True,59.9087,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.125,"[-90.0, -112.5, -67.5, -3.75, -26.25, 0.0]",74.05,166.2478,181.5993,60.328,60.328,294,16,True,63.7044,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.25,"[-90.0, -105.0, -75.0, -7.5, -22.5, 0.0]",74.05,166.2478,284.7226,60.328,60.328,294,16,True,67.4544,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.375,"[-90.0, -97.5, -82.5, -11.25, -18.75, 0.0]",74.05,166.2478,416.8198,60.328,60.328,294,16,True,70.4282,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.5,"[-90.0, -90.0, -90.0, -15.0, -15.0, 0.0]",74.05,166.2478,502.3941,60.328,60.328,294,16,True,70.4282,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.625,"[-90.0, -82.5, -97.5, -18.75, -11.25, 0.0]",74.05,166.2478,563.3961,60.328,60.328,294,16,True,70.4282,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.75,"[-90.0, -75.0, -105.0, -22.5, -7.5, 0.0]",74.05,166.2478,617.543,60.328,60.328,294,16,True,70.4282,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,0.875,"[-90.0, -67.5, -112.5, -26.25, -3.75, 0.0]",74.05,166.2478,665.2488,60.328,60.328,294,16,True,67.4087,,True
OFFICIAL: Q_DEPLOYED_HOME -> Q_SERVICE_READY,1.0,"[-90.0, -60.0, -120.0, -30.0, 0.0, 0.0]",74.05,166.2478,689.9721,60.328,60.328,294,16,True,59.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.0,"[145.572, -168.0, -57.0, -41.143, -20.954, -3.0]",71.703,166.2478,106.0364,0.0011,0.0011,294,16,True,11.9087,,False
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.0625,"[130.849, -165.0, -60.938, -42.322, -21.519, -2.812]",28.4268,159.8489,108.8922,9.4168,9.4168,294,16,True,14.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.125,"[116.126, -162.0, -64.875, -43.5, -22.085, -2.625]",9.1952,120.8335,88.2575,39.1713,9.1952,294,16,True,17.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.1875,"[101.402, -159.0, -68.812, -44.679, -22.65, -2.438]",11.1568,89.7794,90.045,14.9536,11.1568,294,16,True,20.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.25,"[86.679, -156.0, -72.75, -45.857, -23.215, -2.25]",10.6633,112.7642,161.5563,49.2633,10.6633,294,16,True,23.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.3125,"[71.956, -153.0, -76.688, -47.036, -23.781, -2.062]",37.374,134.7779,243.1459,60.328,37.374,294,16,True,26.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.375,"[57.233, -150.0, -80.625, -48.214, -24.346, -1.875]",58.0374,160.6831,308.6187,60.328,58.0374,294,16,True,29.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.5,"[27.786, -144.0, -88.5, -50.572, -25.477, -1.5]",58.2553,166.2478,272.5647,60.328,58.2553,294,16,True,35.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.625,"[-1.661, -138.0, -96.375, -52.929, -26.608, -1.125]",74.05,166.2478,355.03,60.328,60.328,294,16,True,41.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.75,"[-31.107, -132.0, -104.25, -55.286, -27.739, -0.75]",70.068,166.2478,494.7471,60.328,60.328,294,16,True,47.9087,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,0.875,"[-60.553, -126.0, -112.125, -57.643, -28.869, -0.375]",65.4459,166.2478,447.7208,60.328,60.328,294,16,True,49.5002,,True
ENGINEERING: SOLAR_DEPLOY_ARM_LOCKED -> Q_RELEASE_CLEAR,1.0,"[-90.0, -120.0, -120.0, -60.0, -30.0, 0.0]",61.6428,166.2478,503.809,60.328,60.328,294,16,True,47.1431,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.0,"[-90.0, -120.0, -120.0, -60.0, -30.0, 0.0]",61.6428,166.2478,503.809,60.328,60.328,294,16,True,47.1431,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.125,"[-90.0, -120.0, -112.5, -52.5, -30.0, 0.0]",61.6428,166.2478,468.575,60.328,60.328,294,16,True,54.6431,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.25,"[-90.0, -120.0, -105.0, -45.0, -30.0, 0.0]",61.6428,166.2478,436.9516,60.328,60.328,294,16,True,59.9087,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.375,"[-90.0, -120.0, -97.5, -37.5, -30.0, 0.0]",61.6428,166.2478,398.9589,60.328,60.328,294,16,True,59.9087,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.5,"[-90.0, -120.0, -90.0, -30.0, -30.0, 0.0]",61.6428,166.2478,326.5055,60.328,60.328,294,16,True,59.9087,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.625,"[-90.0, -120.0, -82.5, -22.5, -30.0, 0.0]",61.6428,166.2478,259.324,60.328,60.328,294,16,True,59.9087,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.75,"[-90.0, -120.0, -75.0, -15.0, -30.0, 0.0]",61.6428,166.2478,198.4329,60.328,60.328,294,16,True,59.9087,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,0.875,"[-90.0, -120.0, -67.5, -7.5, -30.0, 0.0]",61.6428,166.2478,146.6977,60.328,60.328,294,16,True,59.9087,,True
ENGINEERING: Q_RELEASE_CLEAR -> Q_DEPLOYED_HOME,1.0,"[-90.0, -120.0, -60.0, 0.0, -30.0, 0.0]",61.6428,135.2221,102.6697,60.328,60.328,294,16,True,59.9087,,True
