reference,pin,pin_name,net,electrical_type
U101,1,VDD,STOP_3V3,power_in
U101,2,CWD,CWD,input
U101,3,EN,EN_STOP,input
U101,4,GND,STOP_GND,power_in
U101,5,SET1,STOP_3V3,input
U101,6,WDI,WDI,input
U101,7,WDO_N,FAULT_N_RAW,open_collector
U101,8,ENOUT,FAULT_N_RAW,open_collector
U101,9,EP,STOP_GND,power_in
U102,1,RESET_N,FAULT_N_RAW,open_collector
U102,2,GND,STOP_GND,power_in
U102,3,MR_N,STOP_3V3,input
U102,5,SENSE,STOP_3V3,input
U102,6,VDD,STOP_3V3,power_in
U103,1,RESET_N,FAULT_N_RAW,open_collector
U103,2,GND,STOP_GND,power_in
U103,3,MR_N,STOP_3V3,input
U103,5,SENSE,STOP_5V,input
U103,6,VDD,STOP_3V3,power_in
U104,1,RESET_N,FAULT_N_RAW,open_collector
U104,2,GND,STOP_GND,power_in
U104,3,MR_N,STOP_3V3,input
U104,5,SENSE,SENSE_24V,input
U104,6,VDD,STOP_3V3,power_in
U105,1,RESET_A,RESET_RC,input
U105,2,GND,STOP_GND,power_in
U105,3,START_A,START_RC,input
U105,4,START_Y,START_EDGE,output
U105,5,VCC,STOP_3V3,power_in
U105,6,RESET_Y,RESET_EDGE,output
U106,2,A,FAULT_N_RAW,input
U106,3,GND,STOP_GND,power_in
U106,4,Y,SAFE_N,output
U106,5,VCC,STOP_3V3,power_in
U107,1,1CLR_N,SAFE_N,input
U107,2,1D,HB_SEEN,input
U107,3,1CLK,RESET_EDGE,input
U107,4,1PRE_N,STOP_3V3,input
U107,5,1Q,ARMED,output
U107,7,GND,STOP_GND,power_in
U107,9,2Q,RUN_LATCH,output
U107,10,2PRE_N,STOP_3V3,input
U107,11,2CLK,START_EDGE,input
U107,12,2D,ARMED,input
U107,13,2CLR_N,RUN_CLEAR_N,input
U107,14,VCC,STOP_3V3,power_in
U108,1,1CLR_N,SAFE_N,input
U108,2,1D,STOP_3V3,input
U108,3,1CLK,WDI_FALL,input
U108,4,1PRE_N,STOP_3V3,input
U108,5,1Q,HB_SEEN,output
U108,7,GND,STOP_GND,power_in
U108,10,2PRE_N,STOP_3V3,input
U108,11,2CLK,STOP_GND,input
U108,12,2D,STOP_GND,input
U108,13,2CLR_N,STOP_GND,input
U108,14,VCC,STOP_3V3,power_in
U109,2,A,RESET_EDGE,input
U109,3,GND,STOP_GND,power_in
U109,4,Y,RESET_N,output
U109,5,VCC,STOP_3V3,power_in
U110,2,A,WDI,input
U110,3,GND,STOP_GND,power_in
U110,4,Y,WDI_FALL,output
U110,5,VCC,STOP_3V3,power_in
U111,1,A,SAFE_N,input
U111,2,B,RESET_N,input
U111,3,GND,STOP_GND,power_in
U111,4,Y,RUN_CLEAR_N,output
U111,5,VCC,STOP_3V3,power_in
U112,1,INPUT,RUN_DRIVE,input
U112,2,GND,STOP_GND,power_in
U112,3,VDD_TAB,STOP_5V,power_in
U112,4,GND,STOP_GND,power_in
U112,5,OUTPUT,GATE_DRV,output
Q101,1,G,K1_GATE,input
Q101,2,D_TAB,K1_COIL_MINUS,passive
Q101,3,S,STOP_GND,passive
C101,1,120pF 1% C0G,CWD,passive
C101,2,,STOP_GND,passive
R101,1,10k 1%,STOP_3V3,passive
R101,2,,FAULT_N_RAW,passive
R102,1,10k 1%,EN_STOP,passive
R102,2,,STOP_GND,passive
R103,1,47k 1%,WDI,passive
R103,2,,STOP_GND,passive
R104,1,1k 1%,HEARTBEAT_IN,passive
R104,2,,HEARTBEAT_FILTER,passive
R105,1,510k 0.1% 25ppm,STOP_24V,passive
R105,2,,SENSE_24V,passive
R106,1,10k 0.1% 25ppm,SENSE_24V,passive
R106,2,,STOP_GND,passive
R107,1,10k 1%,RESET_CONTACT,passive
R107,2,,RESET_RC,passive
R108,1,10k 1%,START_CONTACT,passive
R108,2,,START_RC,passive
R109,1,100k 1%,RESET_RC,passive
R109,2,,STOP_GND,passive
R110,1,100k 1%,START_RC,passive
R110,2,,STOP_GND,passive
R111,1,1k 1%,RUN_LEVEL_5V,passive
R111,2,,RUN_DRIVE,passive
R112,1,10k 1%,RUN_DRIVE,passive
R112,2,,STOP_GND,passive
R113,1,22R 1%,GATE_DRV,passive
R113,2,,K1_GATE,passive
R114,1,10k 1%,K1_GATE,passive
R114,2,,STOP_GND,passive
C102,1,1uF X7R 16V 10%,RESET_RC,passive
C102,2,,STOP_GND,passive
C103,1,1uF X7R 16V 10%,START_RC,passive
C103,2,,STOP_GND,passive
C110,1,100nF X7R 16V 10%,STOP_3V3,passive
C110,2,,STOP_GND,passive
C111,1,100nF X7R 16V 10%,STOP_3V3,passive
C111,2,,STOP_GND,passive
C112,1,100nF X7R 16V 10%,STOP_3V3,passive
C112,2,,STOP_GND,passive
C113,1,100nF X7R 16V 10%,STOP_3V3,passive
C113,2,,STOP_GND,passive
C114,1,100nF X7R 16V 10%,STOP_3V3,passive
C114,2,,STOP_GND,passive
C115,1,100nF X7R 16V 10%,STOP_3V3,passive
C115,2,,STOP_GND,passive
C116,1,100nF X7R 16V 10%,STOP_3V3,passive
C116,2,,STOP_GND,passive
C117,1,100nF X7R 16V 10%,STOP_3V3,passive
C117,2,,STOP_GND,passive
C118,1,100nF X7R 16V 10%,STOP_3V3,passive
C118,2,,STOP_GND,passive
C119,1,100nF X7R 16V 10%,STOP_3V3,passive
C119,2,,STOP_GND,passive
C120,1,100nF X7R 16V 10%,STOP_3V3,passive
C120,2,,STOP_GND,passive
C121,1,100nF X7R 16V 10%,STOP_5V,passive
C121,2,,STOP_GND,passive
C122,1,1uF X7R 16V 10%,STOP_5V,passive
C122,2,,STOP_GND,passive
J101,1,3V3_TEST_OUTPUT_NO_EXT_SUPPLY,STOP_3V3,passive
J101,2,5V_TEST_OUTPUT_NO_EXT_SUPPLY,STOP_5V,passive
J101,3,24V_23.04..24.96,STOP_24V,passive
J101,4,RETURN,STOP_GND,passive
J102,1,HEARTBEAT_3V3,HEARTBEAT_IN,passive
J102,2,HW_PERMIT_3V3,HW_PERMIT_IN,passive
J102,3,GND,STOP_GND,passive
J102,4,RUN_STATUS,RUN_STATUS_MCU,passive
J102,5,FAULT_STATUS_N,SAFE_STATUS_MCU,passive
J102,6,AUX_CLOSED,AUX_STATUS_MCU,passive
J102,7,BUS_MONITOR_OK_3V3,BUS_MONITOR_OK,passive
J102,8,MCU_VIO_RECEIVER_RAIL,MCU_VIO,passive
J103,1,RESET_FEED,STOP_3V3,passive
J103,2,RESET_NO_RETURN,RESET_CONTACT,passive
J103,3,START_FEED,STOP_3V3,passive
J103,4,START_NO_RETURN,START_CONTACT,passive
J103,5,STOP_NC_FEED,PERMIT_BEFORE_STOP,passive
J103,6,STOP_NC_RETURN,EN_STOP,passive
J104,1,X1_POS,STOP_24V,passive
J104,2,X2_NEG,K1_COIL_MINUS,passive
U115,2,A,HEARTBEAT_FILTER,input
U115,3,GND,STOP_GND,power_in
U115,4,Y,WDI,output
U115,5,VCC,STOP_3V3,power_in
R119,1,47k 1%,HEARTBEAT_FILTER,passive
R119,2,,STOP_GND,passive
C125,1,100nF X7R 16V 10%,STOP_3V3,passive
C125,2,,STOP_GND,passive
U113,2,A,AUX_SENSE,input
U113,3,GND,STOP_GND,power_in
U113,4,Y,AUX_CLOSED_3V3,output
U113,5,VCC,STOP_3V3,power_in
R115,1,10k 1%,AUX_RETURN,passive
R115,2,,AUX_DIV,passive
R116,1,1k 1%,AUX_DIV,passive
R116,2,,AUX_SENSE,passive
U114,1,A,HW_PERMIT_IN,input
U114,2,B,BUS_MONITOR_OK,input
U114,3,GND,STOP_GND,power_in
U114,4,Y,PERMIT_BEFORE_STOP,output
U114,5,VCC,STOP_3V3,power_in
R117,1,10k 1%,BUS_MONITOR_OK,passive
R117,2,,STOP_GND,passive
R118,1,10k 1%,HW_PERMIT_IN,passive
R118,2,,STOP_GND,passive
C123,1,100nF X7R 16V 10%,STOP_3V3,passive
C123,2,,STOP_GND,passive
C124,1,100nF X7R 16V 10%,STOP_3V3,passive
C124,2,,STOP_GND,passive
J105,1,T2_FEED_24V,STOP_24V,passive
J105,2,T1_RETURN,AUX_RETURN,passive
U119,1,OE_N,STOP_GND,input
U119,2,A,RUN_LATCH,input
U119,3,GND,STOP_GND,power_in
U119,4,Y,RUN_LEVEL_5V,output
U119,5,VCC,STOP_5V,power_in
R123,1,47k 1%,RUN_LATCH,passive
R123,2,,STOP_GND,passive
C129,1,100nF X7R 16V 10%,STOP_5V,passive
C129,2,,STOP_GND,passive
U116,2,A,RUN_LATCH,input
U116,3,GND,STOP_GND,power_in
U116,4,Y,RUN_STATUS_MCU,open_collector
U116,5,VCC,STOP_3V3,power_in
R120,1,10k 1%,MCU_VIO,passive
R120,2,,RUN_STATUS_MCU,passive
C126,1,100nF X7R 16V 10%,STOP_3V3,passive
C126,2,,STOP_GND,passive
U117,2,A,SAFE_N,input
U117,3,GND,STOP_GND,power_in
U117,4,Y,SAFE_STATUS_MCU,open_collector
U117,5,VCC,STOP_3V3,power_in
R121,1,10k 1%,MCU_VIO,passive
R121,2,,SAFE_STATUS_MCU,passive
C127,1,100nF X7R 16V 10%,STOP_3V3,passive
C127,2,,STOP_GND,passive
U118,2,A,AUX_CLOSED_3V3,input
U118,3,GND,STOP_GND,power_in
U118,4,Y,AUX_STATUS_MCU,open_collector
U118,5,VCC,STOP_3V3,power_in
R122,1,10k 1%,MCU_VIO,passive
R122,2,,AUX_STATUS_MCU,passive
C128,1,100nF X7R 16V 10%,STOP_3V3,passive
C128,2,,STOP_GND,passive
U120,1,VIN,STOP_24V,power_in
U120,2,GND,STOP_GND,power_in
U120,3,VOUT,STOP_3V3,power_out
U121,1,VIN,STOP_24V,power_in
U121,2,GND,STOP_GND,power_in
U121,3,VOUT,STOP_5V,power_out
R124,1,24R 5% 250ppm/C 2W,STOP_3V3,passive
R124,2,,STOP_GND,passive
R125,1,39R 5% 250ppm/C 2W,STOP_5V,passive
R125,2,,STOP_GND,passive
R130,1,3.9k 1% 100ppm/C,AUX_DIV,passive
R130,2,,STOP_GND,passive
