root,path,error
A,30_simulation/sim_13_physics_gated_embodied_grasping/.pytest_cache,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\sim_13_physics_gated_embodied_grasping\\.pytest_cache'
A,30_simulation/sim_13_physics_gated_embodied_grasping/.pytest-tmp,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\sim_13_physics_gated_embodied_grasping\\.pytest-tmp'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-verdict,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-verdict'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-schema-smoke,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-schema-smoke'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-lifecycle,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-lifecycle'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-l1l16-retry1,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-l1l16-retry1'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-l1l16,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-l1l16'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-full-schema-closure,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-full-schema-closure'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-full-lifecycle,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-full-lifecycle'
A,30_simulation/current_r2_digital_host_capture_data_v1/.pytest-tmp-r5-atomic-package,[WinError 5] 拒绝访问。: 'F:\\China Graduate Future Flight Vehicle Innovation Competition\\30_simulation\\current_r2_digital_host_capture_data_v1\\.pytest-tmp-r5-atomic-package'
