root,path,size_bytes,mtime,ext,ephemeral,sha256
A,$out,-1,,(dir),False,
A,.agents,-1,,(dir),False,
A,.claude,-1,,(dir),False,
A,.codex,-1,,(dir),False,
A,.git,1791767913,,(git),False,
A,.gitattributes,2042,1785779825,,False,615DAC3B1FDB2DB29DFDB0BA08B26B4C80DB2EA96B245D1D97D1C7F5D2744B6D
A,.gitignore,440,1787681819,,False,77C53527078BE3924A56BCD79045E113ED909F476043E5D339D6A475E3D7477F
A,.playwright-cli,-1,,(dir),False,
A,.pytest_cache,-1,,(dir),True,
A,.ruff_cache,-1,,(dir),True,
A,01_project,-1,,(dir),False,
A,08_REVIEWS,-1,,(dir),False,
A,10_research,-1,,(dir),False,
A,20_engineering,-1,,(dir),False,
A,30_simulation,-1,,(dir),False,
A,40_evidence,-1,,(dir),False,
A,50_literature,-1,,(dir),False,
A,70_tools,-1,,(dir),False,
A,80_third_party,-1,,(dir),False,
A,90_competition_closeout,-1,,(dir),False,
A,AGENTS.md,13629,1787648017,.md,False,
A,B51R1_PHASE1_START_PACKAGE,-1,,(dir),False,
A,B51R1_PHASE1_START_PACKAGE.zip,7967,1786115253,.zip,False,45ADF43622D00BD380BF2002F254801DFC65928886DCC359E893C73D146FF6D6
A,CLAUDE.md,10023,1786115253,.md,False,
A,F3R2_V5_G0_ADMIN_MEMORY_RELEASE.ps1,1981,1786265646,.ps1,False,
A,F3R2_V5_G0_SESSION_B_VERIFY_ATTACH_ONLY.py,19628,1786268066,.py,False,
A,F3R2_V5_G0_SMOKE_ATTACH_ONLY.py,23426,1786267686,.py,False,
A,F3R2_V5_G0_TOOLING_HOLD_20260809.md,11624,1786265868,.md,False,
A,F3R2_V5_NATIVE_LOOP1B_WING_ROOTS_ATTACH_ONLY.py,95343,1786298993,.py,False,
A,F3R2_V5_NATIVE_LOOP1C1_GRIPPER_ASSEMBLY_ATTACH_ONLY.py,94844,1786301579,.py,False,
A,F3R2_V5_NATIVE_LOOP1C_GRIPPER_ATTACH_ONLY.py,79160,1786301489,.py,False,
A,F3R2_V5_NATIVE_LOOP1D_HDRM_CAMERA_HARNESS_ATTACH_ONLY.py,100434,1786301252,.py,False,
A,F3R2_V5_NATIVE_LOOP1E_TOP_ASSEMBLY_ATTACH_ONLY.py,141954,1786302676,.py,False,
A,F3R2_V5_NATIVE_LOOP2_MOTION_ROBOTICS_ATTACH_ONLY.py,139969,1786302033,.py,False,
A,F3R2_V5_NATIVE_LOOP3_RELEASE_EVIDENCE_ATTACH_ONLY.py,76614,1786303159,.py,False,694BF8833EDD973E7E7906E4AD0D7930331BB41FF5E620F38A46A5CA7EC41EBD
A,knowledge,-1,,(dir),False,
A,MECHANICAL_START_HERE.md,8362,1786198172,.md,False,325A74B596F53EED7E245E953B3C004B55A1E6FF67387D5E60899FCDF8A03A04
A,PROJECT_CURRENT_STATUS.md,4505,1786199295,.md,False,
A,PROJECT_MAP.md,7421,1787472668,.md,False,4DCDAD08BD7490056A0B0C895D31290DF286EB4975E772EDDBA277FD31DF5F80
A,PROJECT_MODEL_TRUTH_HIERARCHY.yaml,7258,1786187329,.yaml,False,
A,PROJECT_ONBOARDING_PACKAGE,-1,,(dir),False,
A,PROJECT_START_HERE.md,7077,1786190075,.md,False,6470407978B943A81736F0DAA47544988426D13B7A65E90584422306C5BDCD6E
A,structure,-1,,(dir),False,
A,__pycache__,-1,,(dir),True,
A,当前项目机械设计专业总结.md,15660,1786303206,.md,False,
A,机械设计最终轮执行摘要_20260809.md,3286,1786213614,.md,False,07F8F0C01859C123B4A0D7305B7ACA81735234D41852A1ACC69BE54968ACC06A
A,项目专业现状与研究启动指南_20260808.md,13879,1786198606,.md,False,
A,__pycache__/F3R2_V5_G0_SESSION_B_VERIFY_ATTACH_ONLY.cpython-313.pyc,26925,1786268086,.pyc,True,
A,__pycache__/F3R2_V5_NATIVE_LOOP1A_SUBASSEMBLIES_ATTACH_ONLY.cpython-313.pyc,84853,1786294641,.pyc,True,
A,__pycache__/F3R2_V5_NATIVE_LOOP1B_WING_ROOTS_ATTACH_ONLY.cpython-313.pyc,130624,1786299028,.pyc,True,
A,__pycache__/F3R2_V5_NATIVE_LOOP1C1_GRIPPER_ASSEMBLY_ATTACH_ONLY.cpython-313.pyc,128245,1786301593,.pyc,True,
A,__pycache__/F3R2_V5_NATIVE_LOOP1C_GRIPPER_ATTACH_ONLY.cpython-313.pyc,102118,1786301593,.pyc,True,
A,__pycache__/F3R2_V5_NATIVE_LOOP1D_HDRM_CAMERA_HARNESS_ATTACH_ONLY.cpython-313.pyc,131915,1786301593,.pyc,True,
A,__pycache__/F3R2_V5_NATIVE_LOOP1E_TOP_ASSEMBLY_ATTACH_ONLY.cpython-313.pyc,196548,1786302682,.pyc,True,
