source,quarantine_dest,bytes,sha256,canonical_path
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/CONFIGURATION_MATRIX.csv,F:\_SEI_RETIREMENT_QUARANTINE_20260828\20_engineering\cad\B5_1_B601_interface_closure_candidate\00_BASELINE_DONORS\B5_0_ACCEPTED_CANDIDATE_FULL_COPY\03_CAD\CONFIGURATION_MATRIX.csv,1493,0DC907C0CAA5DC46A7F7395668FE9EC69BAF020EEC4D2A2625E3DF7508595BF6,20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/CONFIGURATION_MATRIX.csv
20_engineering/cad/B5_1R1_B601_interface_native_rework_candidate/00_BASELINE/PARENT_LOCKED_INPUTS/V21_MASTER_SKELETON_DELTA/v2_1_master_skeleton_delta.yaml,F:\_SEI_RETIREMENT_QUARANTINE_20260828\20_engineering\cad\B5_1R1_B601_interface_native_rework_candidate\00_BASELINE\PARENT_LOCKED_INPUTS\V21_MASTER_SKELETON_DELTA\v2_1_master_skeleton_delta.yaml,4509,317B585F99BD0C23E2ED371664946DCB0BC82DD3497135D412BB4EF8CB2572A2,20_engineering/design_inputs/v2_1_reference_grounded/04_cad_preparation/v2_1_master_skeleton_delta.yaml
80_third_party/vendor/chrono/src/chrono_thirdparty/yaml-cpp/test/googletest-1.13.0/googlemock/docs/README.md,F:\_SEI_RETIREMENT_QUARANTINE_20260828\80_third_party\vendor\chrono\src\chrono_thirdparty\yaml-cpp\test\googletest-1.13.0\googlemock\docs\README.md,143,31C84A2831F4FE441E19C63B25FEBB64F80A2A0885EE422859CCC90835F1A2F3,80_third_party/vendor/chrono/src/chrono_thirdparty/yaml-cpp/test/googletest-1.13.0/googletest/docs/README.md
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/automation/recover_b50_import_session.py,F:\_SEI_RETIREMENT_QUARANTINE_20260828\20_engineering\cad\B5_1_B601_interface_closure_candidate\00_BASELINE_DONORS\B5_0_ACCEPTED_CANDIDATE_FULL_COPY\automation\recover_b50_import_session.py,4508,472D8C587AAB70399B10160621B406859D762550108F22FA76E8F8B43774C50D,20_engineering/cad/B5_0_B601_space_manipulator_candidate/automation/recover_b50_import_session.py
80_third_party/vendor/chrono/data/vehicle/joystick/controller_LogitechRumblePad2.json,F:\_SEI_RETIREMENT_QUARANTINE_20260828\80_third_party\vendor\chrono\data\vehicle\joystick\controller_LogitechRumblePad2.json,814,5453F0D23CAD23095F7506E74137B918A97901C9532CB4C8687804579AC87766,80_third_party/vendor/chrono/data/vehicle/joystick/controller_Default.json
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/evidence/master_skeleton_build.json,F:\_SEI_RETIREMENT_QUARANTINE_20260828\20_engineering\cad\B5_1_B601_interface_closure_candidate\00_BASELINE_DONORS\B5_0_ACCEPTED_CANDIDATE_FULL_COPY\03_CAD\native_runs\B50_NATIVE_20260727T2214Z\evidence\master_skeleton_build.json,5652,AB682F720A21DA17551D52DA6C6015D426D188B4D8413AA4033BCFFB5552C16C,20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/native_runs/B50_NATIVE_20260727T2214Z/evidence/master_skeleton_build.json
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/README.md,F:\_SEI_RETIREMENT_QUARANTINE_20260828\20_engineering\cad\B5_1_B601_interface_closure_candidate\00_BASELINE_DONORS\B5_0_ACCEPTED_CANDIDATE_FULL_COPY\README.md,2073,BF68D8ED4B7235BA01969820A7C75D255F3C15FAEC039712345BE74E160B61D5,20_engineering/cad/B5_0_B601_space_manipulator_candidate/README.md
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/native_runs/B50_NATIVE_20260727T2142Z/evidence/master_skeleton_build.json,F:\_SEI_RETIREMENT_QUARANTINE_20260828\20_engineering\cad\B5_1_B601_interface_closure_candidate\00_BASELINE_DONORS\B5_0_ACCEPTED_CANDIDATE_FULL_COPY\03_CAD\native_runs\B50_NATIVE_20260727T2142Z\evidence\master_skeleton_build.json,5621,E0C3B4E619E53D9E76709E5FF9F125621E80D768D12FCACF5E1B762F002AB5EC,20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/native_runs/B50_NATIVE_20260727T2142Z/evidence/master_skeleton_build.json
20_engineering/cad/B5_1_B601_interface_closure_candidate/00_BASELINE_DONORS/B5_0_ACCEPTED_CANDIDATE_FULL_COPY/03_CAD/native_runs/B50_NATIVE_20260727T2201Z/evidence/master_skeleton_build.json,F:\_SEI_RETIREMENT_QUARANTINE_20260828\20_engineering\cad\B5_1_B601_interface_closure_candidate\00_BASELINE_DONORS\B5_0_ACCEPTED_CANDIDATE_FULL_COPY\03_CAD\native_runs\B50_NATIVE_20260727T2201Z\evidence\master_skeleton_build.json,5652,E6F51B9D81C0AB2BA38AD83FE49EB0001AF97F9D20A666408F6662FEA20BE1BC,20_engineering/cad/B5_0_B601_space_manipulator_candidate/03_CAD/native_runs/B50_NATIVE_20260727T2201Z/evidence/master_skeleton_build.json
80_third_party/vendor/EXUDYN/main/include/lest/LICENSE.txt,F:\_SEI_RETIREMENT_QUARANTINE_20260828\80_third_party\vendor\EXUDYN\main\include\lest\LICENSE.txt,1361,BEB8E42E9D6B4284E03304D05A81A0755200A965FC8D0A5E0AEA1E84CF805D6E,80_third_party/vendor/chrono/cmake/license-boost-1.0.txt
