carrier_id,accepted_link,incoming_joint,incoming_child_side_frame,outgoing_parent_side_frames,carrier_role,execution_authority,native_part_exists,status
B51R1_CARRIER_BASE,base_link,NONE,NONE,CS_JOINT_joint1_PARENT_SIDE,ROOT,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_01,link1,joint1,CS_JOINT_joint1_CHILD_SIDE,CS_JOINT_joint2_PARENT_SIDE,SERIAL_LINK,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_02,link2,joint2,CS_JOINT_joint2_CHILD_SIDE,CS_JOINT_joint3_PARENT_SIDE,SERIAL_LINK,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_03,link3,joint3,CS_JOINT_joint3_CHILD_SIDE,CS_JOINT_joint4_PARENT_SIDE,SERIAL_LINK,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_04,link4,joint4,CS_JOINT_joint4_CHILD_SIDE,CS_JOINT_joint5_PARENT_SIDE,SERIAL_LINK,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_05,link5,joint5,CS_JOINT_joint5_CHILD_SIDE,CS_JOINT_joint6_PARENT_SIDE,SERIAL_LINK,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_06,link6,joint6,CS_JOINT_joint6_CHILD_SIDE,CS_JOINT_gripper_joint_PARENT_SIDE,SERIAL_LINK,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_07,gripper_link,gripper_joint,CS_JOINT_gripper_joint_CHILD_SIDE,CS_JOINT_gripper_joint1_PARENT_SIDE|CS_JOINT_gripper_joint2_PARENT_SIDE,BRANCH_PARENT,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_08,gripper_left,gripper_joint1,CS_JOINT_gripper_joint1_CHILD_SIDE,NONE,PRISMATIC_LEAF,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
B51R1_CARRIER_LINK_09,gripper_right,gripper_joint2,CS_JOINT_gripper_joint2_CHILD_SIDE,NONE,PRISMATIC_LEAF,JOINT_SIDE_EXPLICIT_V2,NO,REFROZEN_CONTRACT_READY_NATIVE_NOT_CREATED
