path,sha256,role,status
SOURCE_HASH_MANIFEST.json,50d71c6240df84b45fa00a162533e9aa46098209e30df853dacc978fbc8edd1f,SOURCE_MANIFEST_FILE,VERIFIED_FILE
SOURCE_HASH_MANIFEST.csv,72acc99a29d0b140907c18a9bb833ea889f3b006a933dfe6fcac4fed3e22ab42,SOURCE_MANIFEST_TABLE_FILE,VERIFIED_FILE
SOURCE_SNAPSHOT_MANIFEST.csv,cf09ab0d9512c1234342e7960e0fb85577914a51edf76ea433060c74099f0e18,IMMUTABLE_SOURCE_SNAPSHOT_MANIFEST_FILE,VERIFIED_FILE
ENVIRONMENT.json,efed403f5ac2ed602f1faf566f3da35c99c12e497ef76f32e6343cbc0083f08c,RUNTIME_ENVIRONMENT_FILE,VERIFIED_FILE
INVOCATION.json,5b5bb648231a35991990e3c47501ebbde28af52c4b4894d91167c7173b618dbf,RUN_INVOCATION_PAYLOAD_FILE,VERIFIED_FILE
GIT_RUNTIME_RECORD.json,b33bf8850d98b648e58c42b3e6ed10434f9f255c41e902a3a1c0608b06805040,RUNTIME_GIT_CONTEXT_FILE,VERIFIED_FILE
RESOLVED_RUN_CONFIG.yaml,fd1238eed52ee34bcf68280168eda14ee66eea7e757937968510d605ac562ab2,RESOLVED_RUN_CONFIG_FILE,VERIFIED_FILE
AUTHORITY_SNAPSHOT.json,136a02b1cb0370dd15acb5be807600bf56a707956b9024c8780fc106c9ad3c15,RUN_AUTHORITY_SNAPSHOT_FILE,VERIFIED_FILE
20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164,BOUND_AUTHORITY_INPUT,VERIFIED
20_engineering/cad/spacecraft_layout/servicer_12U_v0/servicer_12U_v0.urdf,2ecb4b1c778ca309632714d13cabf09033e424ee646ca85fdebc776e1d74e8da,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/FRAME_GRAPH.yaml,ef696dde3be403c59dce2c64fb828615c853567a1263195f6e73a00b021944ff,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/UNIT_CONTRACT.yaml,40d02a65c49b60f788352b73ce95ea98422fe9474004cee72daa35094b4041d5,BOUND_AUTHORITY_INPUT,VERIFIED
