native_path,native_sha256,quantity,instance_ids,representation_role,purchasing_ready
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_longeron_-1_-1_860c564c_service_solid.SLDPRT,b4904662571f54271cf425b939233f23f4ac64663b933834fae9d740bf0f3b8b,1,RB_longeron_-1_-1,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_longeron_-1_1_7f47196b_service_solid.SLDPRT,245976e7eaec4fc7d9b8c3349bb2864c59a0d6091ff9883939d934b2f4fe1dbf,1,RB_longeron_-1_1,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_longeron_1_-1_968f5c50_service_solid.SLDPRT,eb35c7582288af3701be87ce231e4fcc4ee10631c0bd41abcc7db62ce3219fe7,1,RB_longeron_1_-1,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_longeron_1_1_3330a9e7_service_solid.SLDPRT,43e1d9271512131ee97b0c19c38be23c3773c8c45077471452c9787fba82ce85,1,RB_longeron_1_1,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_end_frame_-1_e46eea49_service_solid.SLDPRT,f032799e895a14597acfc1d169aa59d33c371e3862bad181e58bfc82fcb26bca,2,RB_end_frame_-1;RB_end_frame_1,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_end_plug_-1_-1_-1_578cc8ce_service_solid.SLDPRT,85952d6e3e0a229bc9c9f29e243b0ce1cfcb068a7a4b9b55e9cce195fc919d8f,4,RB_end_plug_-1_-1_-1;RB_end_plug_-1_-1_1;RB_end_plug_-1_1_-1;RB_end_plug_-1_1_1,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_end_screw_-1_-1_-1_ff5d0c37_service_solid.SLDPRT,488eae6f4dbdc9e8cf1a6480d09d9df633cd89d11db8f09751fc5f0300cfa5c4,4,RB_end_screw_-1_-1_-1;RB_end_screw_-1_-1_1;RB_end_screw_-1_1_-1;RB_end_screw_-1_1_1,SIMPLIFIED_PROXY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_end_plug_1_-1_-1_750eb7c8_service_solid.SLDPRT,fe2e4929714ce174c82f7c7c34e0e6f499f02856e596e8128cf9c3d429d204da,4,RB_end_plug_1_-1_-1;RB_end_plug_1_-1_1;RB_end_plug_1_1_-1;RB_end_plug_1_1_1,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_end_screw_1_-1_-1_6b29a4e6_service_solid.SLDPRT,ed7176d6e4500eb9550a332afa9b3b2c22528a091930172719cd949e9f97a876,4,RB_end_screw_1_-1_-1;RB_end_screw_1_-1_1;RB_end_screw_1_1_-1;RB_end_screw_1_1_1,SIMPLIFIED_PROXY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\WP01-RB-BRIDGE-R2_4cd5f5ed_service_solid.SLDPRT,cdf7a703c3f94812a314041448b55270da07b4fc0fb5aabb97e4eac786f62c35,1,WP01-RB-BRIDGE-R2,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_upper_beam_20_286c816f_service_solid.SLDPRT,197143a24dcfc09526ce4be8a35473f7d89953ea0b684714f8ff7658ee6e47cc,2,RB_upper_beam_20;RB_upper_beam_160,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_lower_beam_20_fedf83e3_service_solid.SLDPRT,11240adec71b7104cacb0802bf1abe5d3beb2ba76b83c2e55dec992685e4d2df,2,RB_lower_beam_20;RB_lower_beam_160,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_pillar_0_341f75ce_service_solid.SLDPRT,d997f2ff8d303b87a07fa21a6cbc31269d379d2a27997875b3c2869c67554389,4,RB_pillar_0;RB_pillar_1;RB_pillar_2;RB_pillar_3,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_pillar_plug_0_top_53442f90_service_solid.SLDPRT,550552ab3c5599ea53c0a93620ad7273837ee6383e7c255e62736ed501bb4789,8,RB_pillar_plug_0_top;RB_pillar_plug_0_bottom;RB_pillar_plug_1_top;RB_pillar_plug_1_bottom;RB_pillar_plug_2_top;RB_pillar_plug_2_bottom;RB_pillar_plug_3_top;RB_pillar_plug_3_bottom,PHYSICAL_GEOMETRY,False
F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\WP05_SW_20260907\parts\RB_lower_spacer_0_4e71515f_service_solid.SLDPRT,f7dffed8350f79f3cdcbffe5316fa67e78cd9277f4e4dd38c78aa0b40faef20b,1,RB_lower_spacer_0,PHYSICAL_GEOMETRY,False
