id,category,row_class,active_in_current_pair_universe,path,hash_algorithm,hash,bytes,units,frame,state_selector,closed,operational_authority,representation_debit,readiness,blocker
A::base_link,A,ACTIVE_OBJECT,true,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/base_link_proxy_v2/BASE_LINK_OPERATIONAL_COLLISION_V2.npz,SHA256,A0C5F9FAB58A748F2F89DC7CE398684B5A8C1205426C153C6752C56226250428,5398490,m,base_link,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",true,true,NONE_AT_ASSET_LEVEL__RUNTIME_POSE_AND_PAIR_CERTIFICATE_STILL_DEBITED,ASSET_LEVEL_OPERATIONAL_PROXY_BOUND__SYSTEM_RUNTIME_POSE_AND_PAIR_HOLD,RUNTIME_OBJECT_POSE_AND_11166_PAIR_CERTIFICATES_UNBOUND
A::gripper_left,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_GRIPPER_R1_LEFT_FINGER_GRIPPER_LINK_LOCAL_M.ply,SHA256,7190E1D5500A7F81D1A4F66F34CB9A0EE44D5337A1385808619567836BDE1041,2352992,m,gripper_link,"{""active_when"":""REQUIRES_gripper_joint1_m"",""motion_registration"":{""allowed_domain_m"":[0.0,0.0715],""axis_in_parent_frame_from_accepted_urdf"":[-3.673205103346574e-06,-0.9999999999932537,0.0],""runtime_state_bound"":false,""source"":""M5_ACTIVE_GRIPPER_R1_MOTION_CONTRACT"",""state_value_m"":null,""state_variable"":""gripper_joint1_m"",""translation_in_gripper_link_formula"":[""0.0"",""-1.0*gripper_joint1_m"",""0.0""],""type"":""PRISMATIC_TRANSLATION_FROM_CLOSED_TRAVEL_ZERO""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_M5_R1_GRIPPER_MOTION_CONTRACT"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::gripper_link,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_GRIPPER_R1_PALM_GRIPPER_LINK_LOCAL_M.ply,SHA256,700ED69D05B075B4F64CB381E26CF859A43AD6FE0EA92319BCC90E8A8B57C34D,979499,m,gripper_link,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_M5_R1_GRIPPER_MOTION_CONTRACT"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::gripper_right,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_GRIPPER_R1_RIGHT_FINGER_GRIPPER_LINK_LOCAL_M.ply,SHA256,473C83ECD23C587E4FBD9FC88577D1AFCE25D9D05D9C3A0CA28557E6FF1313C8,2351380,m,gripper_link,"{""active_when"":""REQUIRES_gripper_joint2_m"",""motion_registration"":{""allowed_domain_m"":[0.0,0.0715],""axis_in_parent_frame_from_accepted_urdf"":[-3.673205103346574e-06,0.9999999999932537,0.0],""runtime_state_bound"":false,""source"":""M5_ACTIVE_GRIPPER_R1_MOTION_CONTRACT"",""state_value_m"":null,""state_variable"":""gripper_joint2_m"",""translation_in_gripper_link_formula"":[""0.0"",""+1.0*gripper_joint2_m"",""0.0""],""type"":""PRISMATIC_TRANSLATION_FROM_CLOSED_TRAVEL_ZERO""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_M5_R1_GRIPPER_MOTION_CONTRACT"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::link1,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_link1_CAD_SURFACE_LINK_LOCAL_M.ply,SHA256,868C9AC82975DE4457821D58DEB1A16561E2C0414AE046ED8E4E215F67E770E1,896992,m,link1,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::link2,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_link2_CAD_SURFACE_LINK_LOCAL_M.ply,SHA256,2E9B2B86002B72D9AC9160FDAFA18944407AD4FE8CD8B5D2BE9CA864A1EE665D,4947023,m,link2,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::link3,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_link3_CAD_SURFACE_LINK_LOCAL_M.ply,SHA256,03EE314B83BA31CA0D355971A193B4F118039F09A7F046AB3D14FDCC9FD29D90,3618945,m,link3,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::link4,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_link4_CAD_SURFACE_LINK_LOCAL_M.ply,SHA256,06AD6D5AB356A721442FFCA2CC4AF14780768DA7FD51AAA82AB371C9E18C1CD2,2187231,m,link4,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::link5,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_link5_CAD_SURFACE_LINK_LOCAL_M.ply,SHA256,39B3D55AEEB3FC64EEE7CC94E77C49DA10CED53E378FA963EF84488BCFF7BA97,1760094,m,link5,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
A::link6,A,ACTIVE_OBJECT,true,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/assets/b601_link_local_surfaces/B601_link6_CAD_SURFACE_LINK_LOCAL_M.ply,SHA256,247D835B27ED024B33475AF7927EBCDC464AACB193CE25040CDA8CF18011A441,2879173,m,link6,"{""active_when"":""ALWAYS_IN_M01"",""motion_registration"":{""asset_to_link_internal_transform_bound"":true,""external_q6_scene_value_bound"":false,""source"":""M5_INVERSE_Q0_LINK_LOCALIZATION"",""state_value_m"":null,""state_variable"":null,""type"":""RIGID_LINK_LOCAL""},""pose_source"":""ACCEPTED_URDF_FK_PLUS_WP11_D_I_CALIBRATION_REQUIRED"",""selected_representation_role"":""accepted_urdf_frame_registered_asset""}",false,false,OPERATIONAL_NARROWPHASE_PROMOTION_ABSENT,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_NARROWPHASE_PROMOTION_AND_RUNTIME_POSE_UNBOUND
