id,category,severity,status_before,status_after,blocking_what_refresh,update_evidence,updated_by,updated_local
"OI-R1-01","CM_HASH_INTEGRITY","MEDIUM","OPEN_UNCHANGED__AWAITING_UPSTREAM_ERRATUM","OPEN_UNCHANGED__AWAITING_UPSTREAM_ERRATUM（PENDING 保持，不自我降级）","仍然阻断：SOLAR_ARRAY_R2_BUILD_REPORT_V1.json 自记录哈希不可复现；上游 erratum 重签发未发生；两个真实工件 STEP/FCStd 复算 PASS 结论不变","本轮只读复核：build report 实测 sha256=6160C1D0970B7EA19075B4A83C988C16CA2F1AFCA782BCAD90A89B14F17E6586（11019 B）仍≠自记录 AFE4CA26A2CC7A1838DEF4FAD3E068DB1F364F4265A85903D9407D462711CEC9，DRIFT 持续；ecr_solar_array_r2 不在本 addendum walk 范围，未触碰","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"OI-R1-02","FRAME_NUMERICAL_SPELLING","MEDIUM","RESOLVED_BY_MPI_FB02","RESOLVED_BY_MPI_FB02（维持闭合）","已解除项无回退：桥常数唯一拼写 25.000014° 冻结有效；禁静默覆盖账本纪律逐字保持","MANIFEST_V3_ADDENDUM_V1 复走复算：02_bridge/B601_PHYSICAL_DYNAMICS_BRIDGE_V1.yaml sha256=0aceb659284cab862ba65228c5c2df4beb06d9ee05b5e2f0b2b5cb38402bf72c 与 V2 登记逐位吻合（50/50 match 之一）","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"OI-R1-03","CONFIGURATION_NOMENCLATURE","MEDIUM","PROPOSAL_RECORDED__AWAITING_OWNER","PROPOSAL_RECORDED__AWAITING_OWNER（PENDING_OWNER 保持，不自我降级）","仍然阻断（轻）：RC-A..D ↔ C-A/B/C 映射仍仅为解释性；Owner 裁决未发生；裁决前一切拓扑引用必须带解释性标注","本轮无 Owner 裁决记录入账；TOPOLOGY_ID_MAPPING_PROPOSAL_V1.md sha256=42176da851274b9dcd5378a9d8f780c782f6fd5f625462c483cdf8434288fc9d 复算吻合（V3 addendum 50/50 match 之一）","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"OI-R1-04","NEGATIVE_RESULT_CITATION","MEDIUM","OPEN_UNCHANGED__AWAITING_OWNER","OPEN_UNCHANGED__AWAITING_OWNER（PENDING_OWNER 保持，不自我降级）","仍然阻断（轻）：Route-B 终拒三套口径并存（V1 机器头条 −11.8667/1.081/−11.3573；V2 机器头条 −11.9938/0.1/−11.9902；圆整叙述值 −11.86/2.26/−11.83）；禁止合并或取平均","本轮无 Owner 裁决记录；维持以 V2 机器头条为终拒锚点的提案不变","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"OI-R1-05","PROCUREMENT_RFI_GAP","HIGH","STILL_HIGH__RFI_MEMO_RECORDED_GAP_OPEN","STILL_HIGH__RFI_MEMO_RECORDED_GAP_OPEN（PENDING_OWNER 保持，不自我降级）","仍为 HIGH：P10 导向摩擦候选 / P11 导向曲率 / P12 载体尺寸全 null 未变（13/13 HOLD、0 AVAILABLE）；Route-C MPI-06/07 不闭合、C-B/C-C 维持 NOT_READY","本轮产出 Owner 一页裁决包 r2_full_flex_closure/round1/cm/ROUTE_C_RFI_DECISION_PACKAGE_V1.md（RFI-E/F/G 发/不发后果 + 解锁依赖链 + ODR-44 关系）；RFI 工单未发出、无新数据源入账，缺口实质未闭合","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"OI-R1-06","DYNAMICS_MASS_ALLOCATION","HIGH","ENGINEERING_DISCHARGED_BY_MC_A_RULING__OWNER_CONFIRMATION_PENDING","ENGINEERING_DISCHARGED_BY_MC_A_RULING__OWNER_CONFIRMATION_PENDING（Owner 确认保持 pending；severity 是否降级属 CM/Owner 口径，不自我降级）","工程级已解除不变；残余：Owner 级确认 pending；r2_full_flexible_coupling 保持 NOT_EVALUATED；GAP-12（24 kg 整星预算重分配）保持 OPEN","MC-A 裁决文件复算吻合（ENG_DECISION_DYNAMIC_MASS_ALLOCATION_V1.yaml sha256=9cce829e1581b190c6fc50bae56c47659c61319052268e7c9dfd25fac8b8c9e4，V3 addendum 50/50 match 之一）；本轮 WP5 工单草案 WO-W3-07 覆盖逆转条件 RC-1/RC-2（2×0.03 kg 铰质量实测核验）的取证路径","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"RT2-F01","REDTEAM_ROUND2_FINDING","LOW","TEXT-LEVEL ANNOTATION RECORDED（gate JSON disposition）","OPEN__ANNOTATION_PENDING_OWNER_CM（不阻断 MPI gate PASS 限域）","阻断（轻）：Owner 签署前的文本标注——02_bridge known_deviation_register[WP11-F-03_ROUNDED_CLOCK_SPELLING] 中 5.180e-07 属角度合成重建、字面 6 位三角拼写给 4.83193e-07，两种重建须标注归属（或均登记）；无工程影响（witness 两拼写互差 1.9e-14 m）","本轮只读复核：MPI_BRIDGE_GATE_V1.json redteam_round2_finding_dispositions.RT2-F01 逐字在案（gate JSON sha256=60911e3c88387e2ed53601f2b541649bf90d689c57c4e74225226ae6fd10c721，V3 addendum 新登记两件之一）；冻结文件未改","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"RT2-F02","REDTEAM_ROUND2_FINDING","LOW","TEXT-LEVEL RELABEL RECORDED（gate JSON disposition）","OPEN__RELABEL_DEFERRED_TO_FUTURE_VALIDATION_ROUND（工程注记，无 Owner 动作需求）","不阻断：FB03-14/15/16 为同路径复算（vacuously satisfied），已改标 SAME-PATH REPRODUCTION CHECKS；真独立证据=跨路径 witness（dense-vs-rigid 4.71e-13、stored B×invB 5.196e-13、rt2 独立重编码 0.0、FB-08 V01-03 0.0）","本轮只读复核：gate JSON RT2-F02 disposition 逐字在案；21/21 PASS 维持；未来验证轮可把 relabel 并入 MPI03 JSON","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"RT2-F03","REDTEAM_ROUND2_FINDING","LOW","EXPLICIT COEXISTENCE STATEMENT RECORDED（gate JSON disposition）","OPEN__AWAITING_OWNER（ODR-43/44 addendum 正式并入 pending，不自我降级）","阻断（轻）：V6/R3 内逐字携带的 e21 mandatory_holds.single_arm_placement_consumption_semantics=UNRESOLVED 为权威层历史状态，仅 Owner/CM 可解除；候选层 single consumption（consumer_ambiguity_count=0）为前向候选语义，二者并存无矛盾","本轮只读复核：gate JSON RT2-F03 disposition 逐字在案；V5 gate 仍 single_consumption_rule_resolved=false（FB-08 V10-01 复核）；ODR43_ODR44_OWNER_AUTHORIZATION_RECORD_V1.yaml sha256=b695311b2885aec601c336ffa4e1695bcab063f725ad12133ba771f8bd25d06d 复算吻合","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
"RT2-F04","REDTEAM_ROUND2_FINDING","LOW","HYGIENE NOTE, no action（gate JSON disposition）","CLOSED__HYGIENE_NOTE_NO_ACTION","不阻断任何项：30_simulation/sim_05_free_floating_arm/__pycache__/（8 个先于本轮存在的 .pyc）rt2 前后快照逐位一致；FB-08 未触碰上游 __pycache__ 状态","本轮只读复核：gate JSON RT2-F04 disposition 逐字在案；本轮 Wave-3a 同样纪律（dont_write_bytecode + 不 import 上游模块 + 只读原始字节）","KIMI M7 机械终局接管 swarm 第三轮 (R2 全柔性闭合 Wave-3a) CM 子代理","2026-08-23T20:15:00+08:00"
