alternative_id,concept_status,geometry_evidence_grade,criterion_id,assessment,metric_status,mode_applicability,evidence_or_reason,blocking_gate,veto,weighted_score,score_authority
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,H10_28_ROW_CLOSURE,BLOCKER,28_OF_28_OPEN,MODE_A_AND_MODE_B,parent inherited ledger has no closed row,G2,true,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,PRIMARY_STRUCTURE_6DOF_LOAD_PATH,BLOCKER,UNKNOWN,MODE_A_AND_MODE_B,saddle shoes currently seat on panel and attachment is unproved,G2_G4,true,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,D100_PASSAGE_PRESERVED,FAVOURABLE_HYPOTHESIS,STATIC_EXACT_PROBE_ZERO_COMMON_VOLUME,MODE_A_AND_MODE_B,independent D100 probe does not intersect current candidate,G2_G6,true,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,MODE_A_PACKAGING,UNKNOWN,UNKNOWN,MODE_A,H9 not decided,H9,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,MODE_B_PACKAGING,UNKNOWN,UNKNOWN,MODE_B,H9 not decided,H9,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,SOLAR_CONTINUOUS_SWEEP,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,static endpoint evidence is insufficient,G6,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,B601_RELEASE_SWEEP,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,G07 G08 HDRM and 2P release sweep absent,G6,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,HARNESS_AND_TOOL_ACCESS,UNKNOWN,UNKNOWN,MODE_A_AND_MODE_B,no harness route or tool envelope evidence,G4,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,STRUCTURAL_INTRUSION,RISK_HYPOTHESIS,UNKNOWN,MODE_A_AND_MODE_B,current shoes reference panel layer and H10 remains open,G2_G4,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,MASS_TREND,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,material thickness and physical mass inputs unknown,G5,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,UNIT_LOAD_FEA_INTERPRETABILITY,UNKNOWN,NOT_RUN,MODE_A_AND_MODE_B,no approved load material section connection or contact inputs,G5,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,MAINTENANCE_REMOVAL,UNKNOWN,UNKNOWN,MODE_A_AND_MODE_B,replacement and tool sequence not defined,G4,false,,DISABLED
A,STEP_CANDIDATE_REWORK_REQUIRED,E2_VALID_STEP,CANONICAL_STRUCTURE_MODIFICATION_AUTHORITY,UNKNOWN,NOT_GRANTED,MODE_A_AND_MODE_B,panel penetration and primary attachment method undecided,G2_G4,true,,DISABLED
