wire_id,from_endpoint,to_endpoint,signal,wire_or_mate,status,source,build_approved,physical_test,cut_length_mm,active
A01,J200.1,F201.1,BAT_PROTECTED_PLUS,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
A02,Q203.3,K1.A2(+),RB_OUTPUT_PLUS,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
A03,K1.A1(-),J203.1,ARM_BUS_PLUS,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
A04,U203.5,J203.2,ARM_RETURN,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
A06,J200.2,U203.4,INPUT_RETURN,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
A07,J203.1,SEP.PWR,ARM_BUS_PLUS,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
A08,J203.2,SEP.RET,ARM_RETURN,PROJECT_CONNECTION; contact/MPN/cut length NOT released,INTEGRATED_DESIGN_CANDIDATE; dynamic/protection/thermal gates OPEN,WP10 power/POWER_LOOP_PARTS.json; ecad/POWER_LOOP_PIN_NET.csv,False,NOT_EXECUTED,,true
A09,SEP.PWR,DM.VCC_REF,ARM_BUS+,OEM XT30(2+2) harness retained,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,,true
A10,SEP.RET,DM.RET_REF,ARM_BUS_RET,OEM XT30(2+2) harness retained,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,,true
A11,U1.R+,RB1.A,BRAKE+,supplied resistor leads; fit to terminal to verify,RETIRED_ODRIVE_RESISTOR_WIRE; no absolute-clamp credit,REGEN,False,NOT_EXECUTED,,false
A12,U1.R-,RB1.B,BRAKE-,supplied resistor leads,RETIRED_ODRIVE_RESISTOR_WIRE; no absolute-clamp credit,REGEN,False,NOT_EXECUTED,,false
C01,CAN.H,SEP.H,DM_CANH,OEM GH1.25 two-pin lead,BOTH_CAVITIES_OPEN,DM_PUBLIC,False,NOT_EXECUTED,,true
C02,CAN.L,SEP.L,DM_CANL,OEM GH1.25 two-pin lead,BOTH_CAVITIES_OPEN,DM_PUBLIC,False,NOT_EXECUTED,,true
C03,SEP.H,DM.CANH_REF,DM_CANH,OEM XT302+2 signal pair,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,,true
C04,SEP.L,DM.CANL_REF,DM_CANL,OEM XT302+2 signal pair,V4_PIN_OPEN,DM_PUBLIC;DM_2023,False,NOT_EXECUTED,,true
L01,PDU.TFM.9,OBC.P1.2,OBC_3V3,Samtec SFSD-15-28-G-03.00-S -> Molex510210400 +500798000; wire/insulation crimp fit pending,GROUND_P1_ONLY; hot loop<=180mOhm; source3.29..3.32V +/-20mV required,PDU;PDU_OPTION;A3200;SFSD;MOLEX,False,NOT_EXECUTED,,true
L02,PDU.TFM.10,OBC.P1.1,EPS_RET,Samtec SFSD-15-28-G-03.00-S -> Molex510210400 +500798000; wire/insulation crimp fit pending,GROUND_P1_ONLY; hot loop<=180mOhm; source3.29..3.32V +/-20mV required,PDU;A3200;SFSD;MOLEX,False,NOT_EXECUTED,,true
S01,RS_A.orange,RS_B.yellow,RS_LOOP_1,RS422_GSE_SPLICE_BOARD A1.1 to TP1.1 to B1.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,,true
S02,RS_A.red,RS_B.white,RS_LOOP_2,RS422_GSE_SPLICE_BOARD A2.1 to TP2.1 to B2.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,,true
S03,RS_A.yellow,RS_B.orange,RS_LOOP_3,RS422_GSE_SPLICE_BOARD A3.1 to TP3.1 to B3.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,,true
S04,RS_A.white,RS_B.red,RS_LOOP_4,RS422_GSE_SPLICE_BOARD A4.1 to TP4.1 to B4.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,,true
S05,RS_A.black,RS_B.black,RS_LOOP_5,RS422_GSE_SPLICE_BOARD A5.1 to TP5.1 to B5.1; original FTDI color-ended tails,SIGNAL_MAP_COMPLETE; RECEIVER_TERMINATION_REVISION_OPEN; DERIVED_GSE_SPLICE_PCB_INLINE; see RS422_PAD_MAP,FTDI,False,NOT_EXECUTED,,true
BP01,BPX.PBAT2.1,DOCK.P4.5,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP02,BPX.PBAT2.2,DOCK.P4.6,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP03,BPX.PBAT2.3,DOCK.P4.7,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP04,BPX.PBAT2.4,DOCK.P4.8,EPS_RET,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; ,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP05,BPX.PBAT2.5,DOCK.P4.1,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP06,BPX.PBAT2.6,DOCK.P4.2,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
BP07,BPX.PBAT2.7,DOCK.P4.3,VBAT_DIRECT_RAW,COTS external interface / pin-defined requirement; no cut length,PIN_DEFINED_CANDIDATE; 4 pins total current shared; raw battery no short-circuit protection,BPX1.1.0 §3.4; Dock3.1 §12,False,NOT_EXECUTED,,true
