模块,功能,现有证据,缺口,推进决策
1. 主结构与舱内安装,承力、安装、装入、部署与线缆通道,三固定态原生装配与多轮接口修复；R1各态1110实例；R2两条局部释放支路避障,全连续运动与装入空间；制造公差/预紧；R07第6边实测支承,保留现有结构主线，按真实设备替换代理；先做局部接口细化
2. B601机械臂与关节驱动,六关节运动、末端操作,B601结构/URDF；原厂仓库3×DM4340P(V4)+4×DM4310(V4)，含夹爪；电机内置驱动,V4手册/固件与现有旧手册对应；在轨润滑、材料、驱动电路环境适应性,地面与数字设计继续B601；飞行分支保留重新鉴定或更换关节的接口条件
3. 末端执行器与装配对象接口,抓持、导向、锁紧、载荷传递、释放,B601夹爪及捕获/接触研究模型,具体装配对象几何、被动导向/锁扣、捕获保持载荷、断电保持、插接力/容差,优先明确一个预制接口装配对象作为近期演示任务；该建议尚非用户已选任务
4. 舱内臂控接口模块,主机—机械臂之间的通信、配电交接、状态监视,85×70×40旧预留；CAN/SEP逻辑接口；R3细化预留和接线表,板卡元件电路、MPN、真实插头针号/额定值与安装支架,**当前授权：主机可连接假设；先做接口、线缆与板卡预留**
5. 星务主机与任务计算,星务管理、轨控任务、感知/规划推理、数据记录,90×75×40计算/通信预留；研究软件与模型,主机和推理算力分工、逻辑电源、存储、总线/时延、监控复位,先保留星务/安全控制与高算力推理两个逻辑功能边界，不强制两块实物板
6. 感知与相对导航,目标识别/位姿/速度、近距测距、接触状态与标定,导航电子学预留、视觉/状态研究入口,具体相机/镜头/照明/测距/IMU/力觉方案；FOV、遮挡、外参、时间同步,建议先“视觉+距离或已知目标标记+关节反馈”；力觉按装配接触需求选，不默认已具备
7. 电源EPS与储能,发电/储电、稳压、负载分配、保护、再生处置,电池/DC-DC候选；MAIN/AUX/STOP三板；249 ref/795 pin现行网表,45项额定/替代缺口；电池与舱位差异；功率/能源/峰值/回灌闭合；太阳翼电气输入,延用既有保护链。主机接口假设不授权将24 V臂母线直接送入未选逻辑板
8. ADCS姿态测量与执行,本星姿态保持、臂致扰动协调、轮组卸载,4×RW400 30 mN·m·s候选及安装意向；已有动力学研究,实际轴向、订货档、供电与轮状态；与研究3×100 mN·m·s默认容量不同,轮组与推进分账；实际轮轴和扭矩/储动量落实后再判任务能力
9. 推进系统,平移/接近/撤离、外力矩消旋、动量卸载、轨道机动,8候选贸易研究、共用舱位、供电/数据路线及R2分配检查器,推进选型未冻；9项OEM ICD缺项；真实喷口数量、r/d、并发/MIB、干湿质量、捕后COM,目前先预留推进模块、管/线通道、喷口禁占区和控制边界；数量和具体喷口位置不凭目录示例定死
10. 热控,器件热传导、散热面、加热/测温、热辐射平衡,B2双纵梁条件估算83.2–86.9°C；部分热源/TIM候选,CF1已知碰撞；未分配热源与Q101；真实占空比、接触热阻、真空辐射边界,先把热源和实体安装对齐，再定散热面/温控；不把温度估算当通过热试验
11. 空间环境与辐射保障,TID/SEE、放气、原子氧/紫外、真空材料、发射环境,材料候选和公开工程参考,按轨道/寿命/屏蔽的剂量与单粒子评估；电子BOM/批次、试验计划,与热控分列。热辐射散热设计不能替代电子学抗粒子辐射设计
12. 测控通信与天线,地面遥测/遥控、时间与任务更新、数据下传,计算/通信功能包络及系统规划,射频链路、天线/FOV、链路预算、频率/协议和电磁兼容,先预留射频/天线安装与线缆接口，待任务通信距离/数据量选型
13. 整星线束与机电接口,电源、数传、屏蔽接地、柔性过关节、防误插,R2有86记录/84活跃要求；AUX/NTC候选与部分局部几何,168端中大量逻辑端尚非实物端；全切长、压接、防磨、屏蔽与动态包络,本轮把B601—接口板—假设主机的逻辑图做清楚；不把图线数量当可制造线束数量
14. 具身自主与运行安全软件,感知—规划—执行—监控、失联/故障保持、物理边界否决,已有自由漂浮/抓捕/可行域/SAFE研究与冻结结果,当前硬件能力/时延绑定、装配对象合同、故障恢复与任务评价,可以继续接口/算法/数字研究；新构型能力需重算，既有负结果和UNKNOWN保留
15. 地面工装与试验系统,支撑、重力补偿、限能上电、导通/热/故障试验,分级S0–S4计划、地面候选路线,实际工装、仪器、测试限值、PCBA与线束制造及装配,同时纳入BOM；真推进地面先用不承压无燃料替身或指令模拟
