id,from,to,conductors,quantity,route_status,length_mm,spec_basis
R3-H01,assumed service-star host,R3-JHOST,"CAN_H + CAN_L twisted pair, reference, shield reservation",1,LOGICAL_ONLY,,dedicated CAN design assumption
R3-H02,J203 / existing protected arm supply,R3-JARM power path,ARM_BUS_PLUS / ARM_RETURN,1,R2 A07-A10 retained; full S endpoints unbound,,no bypass of K1 or regenerative brake
R3-H03,CAN interface / SEP,R3-JARM CAN path,CAN_H / CAN_L,1,R2 C01-C04 retained,,1 Mbit/s Classic CAN candidate
R3-H04,J1,J2,OEM XT30(2+2) integrated power + CAN,1,B601 chain topology; installed length not assigned,,OEM V4 mating pin drawing required
R3-H05,J2,J3,OEM XT30(2+2) integrated power + CAN,1,B601 chain topology; installed length not assigned,,OEM V4 mating pin drawing required
R3-H06,J3,J4,OEM XT30(2+2) integrated power + CAN,1,B601 chain topology; installed length not assigned,,OEM V4 mating pin drawing required
R3-H07,J4,J5,OEM XT30(2+2) integrated power + CAN,1,B601 chain topology; installed length not assigned,,OEM V4 mating pin drawing required
R3-H08,J5,J6,OEM XT30(2+2) integrated power + CAN,1,B601 chain topology; installed length not assigned,,OEM V4 mating pin drawing required
R3-H09,J6,GRIPPER,OEM XT30(2+2) integrated power + CAN,1,B601 chain topology; installed length not assigned,,OEM V4 mating pin drawing required
R3-H10,R3-JARM,J1 input,OEM XT30(2+2) compatible hybrid feed,1,functional termination only; no complete CAD route,,branch current sums downstream; connector-through current unknown
R3-H11,assumed logic supply,R3-JLOGIC,logic supply / return,1,RESERVED_NO_VOLTAGE_ASSIGNED,,selection follows host ICD
R3-H12,R3-JSAFE,existing STOP interface boundary,inhibit request / state / reference,1,RESERVED_NO_ELECTRICAL_CONNECTION_AUTHORIZED,,"logic levels, isolation and STOP pin correspondence unbound"
