path,snapshot_path,bytes,sha256,identity
30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/c0_no_control_v1.yaml,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/c0_no_control_v1.yaml,275,1c533df0733887bd008728232f0d1c133ba17157bc3b8d26f6b41e07c067db8c,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/s03_pd_v1.yaml,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/s03_pd_v1.yaml,1393,9aa8b73d3b26a1027fd2c128ca61d3fdddf6e44ba1f0fb60a22e8e5a50c5741b,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/configs/gates/r5_momentum_gate_v1.yaml,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/configs/gates/r5_momentum_gate_v1.yaml,1912,d1da7b8715b5dbeb5cf2ab81fc6db68f02d04643a99c1a820f8b2aca9d745922,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/configs/plant/r5_plant_binding_v1.yaml,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/configs/plant/r5_plant_binding_v1.yaml,2538,ebd509c5e5cdb516e1fc768227a1e99f4233efac7178e62d61bc0b11118efaad,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/configs/scenarios/r5_s02_s03_v1.yaml,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/configs/scenarios/r5_s02_s03_v1.yaml,2142,0f2e785388fc22914d7aefcfca019794472d3230e0333010a257bad15e06f845,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/scripts/run_r5_increment.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/scripts/run_r5_increment.py,74809,70500ce44e571b1cbe65bd7f63dd804c9fa69c5b2bf9c8f1a08cdc77a0770c4f,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/__init__.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/__init__.py,587,bba725d6667444631b0f65d9164e6c666fc84d9435a3e36836f79c3f121045cb,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/episode_writer.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/episode_writer.py,5645,55f0d131807f93b54f4714b79faec7635c2e7f1efcdfb0e9bf6c54c55c921d8a,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/frames.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/frames.py,4791,3b9acbd38ff400664b1aed4e8a3a2876a640c651304ccf6d4bcee19c8449d3f3,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/hashing.py,12_results/runs/R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827/source_snapshot/30_simulation/current_r2_digital_host_capture_data_v1/src/dh_v1/hashing.py,980,0ddd40579e6389fe3cd03460f6748b9fef8d7efb8d5e4efc3d2a188868f1e476,EXECUTED_R5_RUN4_ATOMIC_PACKAGE_AND_AUTHORITY_HOLD_20260827_SOURCE_OR_CONFIG
