id,conflict,ruling,status
R5-C01,legacy h_O six-vector norm mixed N*m*s with kg*m/s,DEPRECATED_UNIT_INVALID_FOR_GATE; R5 P/H split used,CLOSED_FOR_R5
R5-C02,legacy runner wrote shared mutable output slots,immutable run root with fail-on-existing run-id,CLOSED_FOR_R5
R5-C03,URDF comment says two P gripper joints locked; FloatingPlant executes both,frozen plant retained as actual 6R+2P; 6R-only claim forbidden,HOLD
R5-C04,reaction wheels/thrusters/target/flex absent from current plant,NULL+status; zero-fill forbidden; no subsystem credit,HOLD_OUT_OF_SCOPE
R5-C05,two prismatic states cross lower limit in unconstrained mathematical plant,local stability mechanism retained; physical control applicability HOLD,HOLD
R5-C06,requested pre-change takeover snapshot did not exist before R5 edits,honest retrospective snapshot from immutable R4 + Run1/Run2/failed Run3/completed Run4; no backdating,HOLD_RETROSPECTIVE_ONLY
R5-C07,repository has no authoritative absolute P/H residual thresholds for this plant and scope,relative metrics remain diagnostic only; formal P/H Gate is HOLD_THRESHOLD_AUTHORITY_MISSING,HOLD
R5-C08,success packages publish atomically but failure lifecycle is not pre-opened before integration,success export credited; full versioned-runner Gate remains HOLD until failure lifecycle is pre-opened and atomically published,HOLD
R5-C09,available memory was below the 6 GiB admission threshold,Owner Override authorizes this execution only; memory_gate_passed remains false and creates no scientific credit,OWNER_OVERRIDE_LOW_MEMORY
R5-C10,Run3 failed its preexecution test before integration,Run3 failure package preserved; Run4 used a new run_id after fixing basetemp isolation,CLOSED_BY_NEW_RUN_WITH_LINEAGE_PRESERVED
