instance_id,quantity,role,source_step,source_sha256,T_S_step,material_or_hardware_release,mass_kg,cut_length_mm,build_approved
PROP_PWR_ROUTE,1,FUNCTIONAL_BUNDLE_ENVELOPE_NO_PIN_CUT_LENGTH,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\battery_prop_power.step,e139e47c15a3a8760c91d8399fb04cc0d33b8a9ac077a76d6b83517fa33cc07a,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
PROP_DATA_ROUTE,1,FUNCTIONAL_BUNDLE_ENVELOPE_NO_PIN_CUT_LENGTH,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\battery_prop_data.step,c50bcba32f2d2a8d6164974d8163a69a7a071ea80e11ab5690bc570dd2421eef,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
CLAMP_DUAL_BASE,1,PROJECT_CUSTOM_GEOMETRY_MATERIAL_PRELOAD_AND_TOLERANCE_OPEN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\battery_dual_base.step,3406ead33ff7578dbd2505e5d84a98287192caaa232ec0c6b6e7d5a7534dde74,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
CLAMP_DUAL_LID,1,PROJECT_CUSTOM_GEOMETRY_MATERIAL_PRELOAD_AND_TOLERANCE_OPEN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\battery_dual_lid.step,3e729531755021e232a63fe4479f57032a81b365b989dc308f73a48b5aad7bda,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
upper_equipment_deck_B,1,PROJECT_CUSTOM_GEOMETRY_MATERIAL_PRELOAD_AND_TOLERANCE_OPEN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\battery_route_deck.step,0c18f7f30f884bc708dfe44b2b4b3209b6c3a5649bd619c81c51276fb9776218,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
POST_DUAL_0,1,PROJECT_CUSTOM_GEOMETRY_MATERIAL_PRELOAD_AND_TOLERANCE_OPEN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\battery_dual_post.step,a5e3214b2aec0b75d83770975eb8812dcf44b3a361c38e46f5f1bf10350efeca,"[[1.0,0.0,0.0,72.0],[0.0,1.0,0.0,41.0],[0.0,0.0,1.0,-8.5],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
TIEROD_DUAL_0,1,PROJECT_CUSTOM_GEOMETRY_MATERIAL_PRELOAD_AND_TOLERANCE_OPEN,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\battery_dual_rod.step,a1d4554860b4a173caba936bb160e9b1275b286e5af1e7ba71c68f069c006199,"[[1.0,0.0,0.0,72.0],[0.0,1.0,0.0,41.0],[0.0,0.0,1.0,-17.5],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
CLAMP_DUAL_0_BN,1,REUSED_CATALOGUE_GEOMETRY_RELOCATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\CLAMP_DUAL_0_BN.step,25b1753b5dd1e621c9fec850bdeaac1e1754fa19673ef5512bd27a2391496991,"[[1.0,0.0,0.0,-28.0],[0.0,1.0,0.0,-5.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
CLAMP_DUAL_0_BW,1,REUSED_CATALOGUE_GEOMETRY_RELOCATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\CLAMP_DUAL_0_BW.step,3d31f4721870f352cf97f679b5fa97ba81f32e3f475dd96ef72a8af94940bf06,"[[1.0,0.0,0.0,-28.0],[0.0,1.0,0.0,-5.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
CLAMP_DUAL_0_TN,1,REUSED_CATALOGUE_GEOMETRY_RELOCATED,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\CLAMP_DUAL_0_TN.step,b150b9e4fa34972cfa015977c2f2b68f99f28021e64f28be2714d5d32b6dc061,"[[1.0,0.0,0.0,-28.0],[0.0,1.0,0.0,-5.0],[0.0,0.0,1.0,14.0],[0.0,0.0,0.0,1.0]]",NOT_RELEASED_BY_THIS_GEOMETRY_INCREMENT,,,False
