joint,state,parent_instance,child_instance,type,q_SI,q_unit,max_FK_matrix_error,as_built_calibrated
joint1,service,B601_base_link,B601_link1,revolute,0.0,rad,1.3877787807814457e-17,False
joint1,parking,B601_base_link,B601_link1,revolute,0.0,rad,1.3877787807814457e-17,False
joint1,released,B601_base_link,B601_link1,revolute,0.0,rad,1.3877787807814457e-17,False
joint2,service,B601_link1,B601_link2,revolute,-1.3962634015954638,rad,2.220446049250313e-16,False
joint2,parking,B601_link1,B601_link2,revolute,-0.5235987755982988,rad,1.3877787807814457e-17,False
joint2,released,B601_link1,B601_link2,revolute,-0.5235987755982988,rad,1.3877787807814457e-17,False
joint3,service,B601_link2,B601_link3,revolute,-1.2217304763960306,rad,1.1102230246251565e-16,False
joint3,parking,B601_link2,B601_link3,revolute,-1.0471975511965976,rad,1.3877787807814457e-17,False
joint3,released,B601_link2,B601_link3,revolute,-1.0471975511965976,rad,1.3877787807814457e-17,False
joint4,service,B601_link3,B601_link4,revolute,0.5235987755982987,rad,1.1102230246251565e-16,False
joint4,parking,B601_link3,B601_link4,revolute,0.6981317007977318,rad,1.3877787807814457e-17,False
joint4,released,B601_link3,B601_link4,revolute,0.6981317007977318,rad,1.3877787807814457e-17,False
joint5,service,B601_link4,B601_link5,revolute,4.235164736271502e-22,rad,1.7485936404880963e-18,False
joint5,parking,B601_link4,B601_link5,revolute,0.0,rad,1.1102230246251565e-16,False
joint5,released,B601_link4,B601_link5,revolute,0.0,rad,1.1102230246251565e-16,False
joint6,service,B601_link5,B601_link6,revolute,8.470329472543003e-22,rad,5.551115123125783e-17,False
joint6,parking,B601_link5,B601_link6,revolute,8.470329472543003e-22,rad,2.7755575615628914e-17,False
joint6,released,B601_link5,B601_link6,revolute,8.470329472543003e-22,rad,2.7755575615628914e-17,False
gripper_joint,service,B601_link6,B601_gripper_link,fixed,0.0,fixed,2.6469779601696886e-23,False
gripper_joint,parking,B601_link6,B601_gripper_link,fixed,0.0,fixed,5.551115123125783e-17,False
gripper_joint,released,B601_link6,B601_gripper_link,fixed,0.0,fixed,5.551115123125783e-17,False
gripper_joint1,service,B601_gripper_link,B601_gripper_left,prismatic,0.015000000000000001,m,0.0,False
gripper_joint1,parking,B601_gripper_link,B601_gripper_left,prismatic,0.015,m,1.1102230246251565e-16,False
gripper_joint1,released,B601_gripper_link,B601_gripper_left,prismatic,0.015,m,1.1102230246251565e-16,False
gripper_joint2,service,B601_gripper_link,B601_gripper_right,prismatic,0.015000000000000003,m,5.551115123125783e-17,False
gripper_joint2,parking,B601_gripper_link,B601_gripper_right,prismatic,0.015000000000000005,m,1.1102230246251565e-16,False
gripper_joint2,released,B601_gripper_link,B601_gripper_right,prismatic,0.015000000000000005,m,1.1102230246251565e-16,False
