parameter_id,value,unit,role,status,verification_status,source_path,source_locator,consumers,modifiable_now,unlock_trigger,notes
servicer_bus_mass_no_panels,23.3032134,kg,model_anchor,FROZEN_MODEL_ANCHOR,MACHINE_RECOMPOSITION_PASS,20_engineering/config/geometry/service_spacecraft_v1.yaml,rigid_bus_no_panels.mass_kg,"sim07;sim11;e16",false,new_mass_budget_contract,"24 kg whole model minus two panel shares; model closure is not flight measurement"
servicer_whole_sat_reference_mass,24.0,kg,model_anchor,FROZEN_MODEL_ANCHOR,MASS_BUDGET_BOUND,20_engineering/config/geometry/service_spacecraft_v1.yaml,whole_sat_reference.mass_kg,"sim01..sim06;sim08;sim10",false,new_mass_budget_contract,"rigid-body reference mass"
b601_total_dynamics_mass,4.6956,kg,hardware_model,PROVISIONAL,MEDIUM_CONFIDENCE,20_engineering/config/geometry/arm_b601_v1.yaml,mass_properties.total_dynamics_mass_kg,"sim05;sim09;sim11;e16",false,physical_weighing_of_real_arm,"hybrid evidence-ranked mass; pending physical weighing"
target_satellite_mass,22.0,kg,target_model,LOW_CONFIDENCE,LOW_RA003_NEVER_MEASURED,20_engineering/config/geometry/target_models_v1.yaml,target_satellite_v0.mass_kg,"sim06;sim10;sim12",false,traceable_target_mass_and_inertia,"current satellite target model"
target_debris_mass,150.0,kg,target_model,LOW_CONFIDENCE,LOW_RA003,20_engineering/config/geometry/target_models_v1.yaml,target_debris_v0.mass_kg,"sim06;sim08;sim10;sim11;sim12;e16",false,traceable_target_mass_and_inertia,"placeholder debris model also has nonphysical density issue"
panel_mass_each,0.3483933,kg,flexible_model,FROZEN_PLACEHOLDER_MODEL_ANCHOR,MASS_CLOSURE_PASS_NOT_PHYSICAL_VALIDATION,20_engineering/config/geometry/flexible_appendage_v1.yaml,mass.m_panel_kg,"sim07;sim11",false,measured_or_CAD_FEA_panel_mass,"uniform-density share; current two-panel mass closure is exact"
panel_first_frequency_low,0.7,Hz,flexible_model,PROVISIONAL,DESIGN_ASSUMPTION,20_engineering/config/geometry/flexible_appendage_v1.yaml,stiffness.cases.flexible_low.f1_hz,"sim07;sim11",false,measured_or_FEA_modal_data,"lower sensitivity-envelope anchor"
panel_first_frequency_nominal,1.0,Hz,flexible_model,PROVISIONAL,DESIGN_ASSUMPTION,20_engineering/config/geometry/flexible_appendage_v1.yaml,stiffness.cases.nominal.f1_hz,"sim07;sim11",false,measured_or_FEA_modal_data,"nominal first-mode assignment"
panel_first_frequency_high,1.3,Hz,flexible_model,PROVISIONAL,DESIGN_ASSUMPTION,20_engineering/config/geometry/flexible_appendage_v1.yaml,stiffness.cases.flexible_high.f1_hz,"sim07;sim11",false,measured_or_FEA_modal_data,"upper sensitivity-envelope anchor"
panel_modal_damping_geometry_card,0.01,dimensionless,flexible_model,PROVISIONAL,TBD_CITE_LITERATURE,20_engineering/config/geometry/flexible_appendage_v1.yaml,damping.zeta,"sim07 and geometry-level references",false,traceable_literature_or_measurement,"do not merge with sim11 zeta without resolving ownership"
sim11_modal_count_each_panel,3,count,flexible_model,PROVISIONAL,GATE_LISTED_PROVISIONAL,20_engineering/config/coupled_scene/coupled_model_v0.yaml,panels.n_modes,sim11,false,new_convergence_contract_with_physical_modes,"current default; Gate uses forward refinement"
sim11_modal_damping,0.005,dimensionless,flexible_model,PROVISIONAL,GATE_LISTED_PROVISIONAL,20_engineering/config/coupled_scene/coupled_model_v0.yaml,panels.zeta_modal,sim11,false,traceable_literature_or_measurement,"distinct from geometry-card 0.01 value"
sim11_contact_duration_nominal,20.0,ms,contact_model,PROVISIONAL,PENDING_B601_MEASUREMENT,20_engineering/config/coupled_scene/scene_A2_capture.yaml,contact.T_c_ms_nominal,sim11,false,measure_B601_gripper_contact_duration,"finite-bandwidth nominal value"
sim11_contact_duration_sweep,"5|10|20|50|100",ms,contact_model,PROVISIONAL,DESIGN_SWEEP,20_engineering/config/coupled_scene/scene_A2_capture.yaml,contact.T_c_ms_sweep,sim11,false,pre_register_new_contact_bandwidth_study,"sensitivity grid; not probability distribution"
post_capture_rate_limit,2.0,deg/s,mission_gate,MISSION_ASSUMPTION,PARTIAL,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.post_capture_rate_max_dps,"sim09;sim10;sim12;e15;e16",false,traceable_mission_requirement,"current primary binding threshold in several negative cases"
base_attitude_change_limit,20.0,deg,mission_gate,PROVISIONAL,UNVERIFIED,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.base_attitude_change_max_deg,"sim09;e15;e16",false,traceable_attitude_requirement,"thin-slice source"
collision_margin_min,0.02,m,mission_gate,PROVISIONAL,UNVERIFIED,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.collision_margin_min_m,"sim09;e15;e16",false,geometry_and_safety_requirement_review,"minimum relation"
joint_limit_margin_min,0.05,rad,mission_gate,PROVISIONAL,UNVERIFIED,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.joint_limit_margin_min_rad,"sim09;e15;e16",false,hardware_joint_limit_validation,"minimum relation"
condition_number_max,10000.0,dimensionless,mission_gate,PROVISIONAL,UNVERIFIED,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.condition_number_max,"sim09;e15;e16",false,kinematic_conditioning_requirement_review,"maximum relation"
flexible_energy_limit,0.001,J,mission_gate,PROVISIONAL,UNVERIFIED,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.flexible_energy_max_J,"e15;e16 policy",false,define_physical_damage_or_stability_basis,"not active in sim10 or sim12 formal criteria"
strategy_wheel_capacity_small,0.045,N*m*s,actuator_tier,PROVISIONAL,PLACEHOLDER_CLASS,20_engineering/config/mission_feasibility/scan_v0.yaml,actuator_tiers.wheel_capacity_Nms.wheels_small,"sim10;sim12",false,select_COTS_hardware,"three-small-wheel class assumption"
strategy_wheel_capacity_large,0.300,N*m*s,actuator_tier,PROVISIONAL,PLACEHOLDER_CLASS,20_engineering/config/mission_feasibility/scan_v0.yaml,actuator_tiers.wheel_capacity_Nms.wheels_large,"sim10;sim12",false,select_COTS_hardware,"default strategy tier; not the e15 5.475 Nms gate"
e15_wheel_momentum_gate,5.475,N*m*s,mission_gate,PROVISIONAL,UNVERIFIED,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.wheel_momentum_max_Nms,"e15;e16",false,traceable_actuator_and_requirement_basis,"different contract role from sim10 0.300 Nms tier"
default_thruster_force,0.1,N,actuator_tier,PROVISIONAL,PLACEHOLDER_CLASS,20_engineering/config/mission_feasibility/scan_v0.yaml,actuator_tiers.thruster_force_N,"sim10;sim12",false,select_and_verify_thruster,"sim08 middle class"
default_thruster_lever,0.17,m,actuator_tier,PROVISIONAL,MODEL_ASSUMPTION,20_engineering/config/mission_feasibility/scan_v0.yaml,actuator_tiers.default_tier.lever_m,"sim10;sim12;e15;e16",false,freeze_CAD_thruster_layout,"also a root for derived impulse limit"
cold_gas_specific_impulse,60.0,s,actuator_tier,PROVISIONAL,UNVERIFIED,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,actuator_model.isp_s,"sim08;sim10;sim12;e15;e16",false,select_and_verify_thruster,"root for derived propellant budget"
thruster_total_impulse_limit,32.205882352941174,N*s,derived_budget,DERIVED,UNVERIFIED_ROOTS,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.thruster_impulse_max_Ns,"e15;e16",false,validate_wheel_gate_and_thruster_lever,"algebraically wheel_momentum_gate divided by lever; not independent"
propellant_budget_max,54.73476731425644,g,derived_budget,DERIVED,UNVERIFIED_ROOTS,30_simulation/e15_core_coverage/config/threshold_registry_core_v1.yaml,thresholds.propellant_budget_max_g,"sim10;sim12;e15;e16",false,validate_impulse_Isp_and_g0_roots,"not an independent root metric"
detumble_time_max,3600.0,s,mission_gate,MISSION_ASSUMPTION,PROVISIONAL,20_engineering/config/mission_feasibility/scan_v0.yaml,gates.t_detumble_max_s,"sim10;sim12",false,traceable_mission_timeline_requirement,"upper task-time assumption"
