from,to,max_joint_travel_deg,total_joint_travel_deg,single_move_feasible,endpoints_both_runtime,path_clearance_verified,delta_deg_per_joint
Q_STOW_ENGINEERING_CANDIDATE,Q_RELEASE_CLEAR,235.572,377.475,False,False,NOT_YET -- G5 sweeps the path,"[235.572, 48.0, 63.0, 18.857, 9.046, 3.0]"
Q_STOW_ENGINEERING_CANDIDATE,Q_DEPLOYED_HOME,235.572,339.761,False,False,NOT_YET -- G5 sweeps the path,"[235.572, 48.0, 3.0, 41.143, 9.046, 3.0]"
Q_STOW_ENGINEERING_CANDIDATE,Q_SERVICE_READY,235.572,441.669,False,False,NOT_YET -- G5 sweeps the path,"[235.572, 108.0, 63.0, 11.143, 20.954, 3.0]"
Q_STOW_ENGINEERING_CANDIDATE,Q_AS_BUILT_REFERENCE,168.0,435.669,True,False,NOT_YET -- G5 sweeps the path,"[145.572, 168.0, 57.0, 41.143, 20.954, 3.0]"
Q_RELEASE_CLEAR,Q_STOW_ENGINEERING_CANDIDATE,235.572,377.475,False,False,NOT_YET -- G5 sweeps the path,"[235.572, 48.0, 63.0, 18.857, 9.046, 3.0]"
Q_RELEASE_CLEAR,Q_DEPLOYED_HOME,60.0,120.0,True,True,NOT_YET -- G5 sweeps the path,"[0.0, 0.0, 60.0, 60.0, 0.0, 0.0]"
Q_RELEASE_CLEAR,Q_SERVICE_READY,60.0,120.0,True,True,NOT_YET -- G5 sweeps the path,"[0.0, 60.0, 0.0, 30.0, 30.0, 0.0]"
Q_RELEASE_CLEAR,Q_AS_BUILT_REFERENCE,120.0,420.0,True,False,NOT_YET -- G5 sweeps the path,"[90.0, 120.0, 120.0, 60.0, 30.0, 0.0]"
Q_DEPLOYED_HOME,Q_STOW_ENGINEERING_CANDIDATE,235.572,339.761,False,False,NOT_YET -- G5 sweeps the path,"[235.572, 48.0, 3.0, 41.143, 9.046, 3.0]"
Q_DEPLOYED_HOME,Q_RELEASE_CLEAR,60.0,120.0,True,True,NOT_YET -- G5 sweeps the path,"[0.0, 0.0, 60.0, 60.0, 0.0, 0.0]"
Q_DEPLOYED_HOME,Q_SERVICE_READY,60.0,180.0,True,True,NOT_YET -- G5 sweeps the path,"[0.0, 60.0, 60.0, 30.0, 30.0, 0.0]"
Q_DEPLOYED_HOME,Q_AS_BUILT_REFERENCE,120.0,300.0,True,False,NOT_YET -- G5 sweeps the path,"[90.0, 120.0, 60.0, 0.0, 30.0, 0.0]"
Q_SERVICE_READY,Q_STOW_ENGINEERING_CANDIDATE,235.572,441.669,False,False,NOT_YET -- G5 sweeps the path,"[235.572, 108.0, 63.0, 11.143, 20.954, 3.0]"
Q_SERVICE_READY,Q_RELEASE_CLEAR,60.0,120.0,True,True,NOT_YET -- G5 sweeps the path,"[0.0, 60.0, 0.0, 30.0, 30.0, 0.0]"
Q_SERVICE_READY,Q_DEPLOYED_HOME,60.0,180.0,True,True,NOT_YET -- G5 sweeps the path,"[0.0, 60.0, 60.0, 30.0, 30.0, 0.0]"
Q_SERVICE_READY,Q_AS_BUILT_REFERENCE,120.0,300.0,True,False,NOT_YET -- G5 sweeps the path,"[90.0, 60.0, 120.0, 30.0, 0.0, 0.0]"
Q_AS_BUILT_REFERENCE,Q_STOW_ENGINEERING_CANDIDATE,168.0,435.669,True,False,NOT_YET -- G5 sweeps the path,"[145.572, 168.0, 57.0, 41.143, 20.954, 3.0]"
Q_AS_BUILT_REFERENCE,Q_RELEASE_CLEAR,120.0,420.0,True,False,NOT_YET -- G5 sweeps the path,"[90.0, 120.0, 120.0, 60.0, 30.0, 0.0]"
Q_AS_BUILT_REFERENCE,Q_DEPLOYED_HOME,120.0,300.0,True,False,NOT_YET -- G5 sweeps the path,"[90.0, 120.0, 60.0, 0.0, 30.0, 0.0]"
Q_AS_BUILT_REFERENCE,Q_SERVICE_READY,120.0,300.0,True,False,NOT_YET -- G5 sweeps the path,"[90.0, 60.0, 120.0, 30.0, 0.0, 0.0]"
