sample_index,t_s,base_x_m,base_y_m,base_z_m,base_q_w,base_q_x,base_q_y,base_q_z,base_euler_x_deg,base_euler_y_deg,base_euler_z_deg,base_attitude_deviation_deg,base_vx_m_s,base_vy_m_s,base_vz_m_s,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,momentum_residual_norm_S,authority_class,attached_target_propagated,released_for_mission_gate
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
1,0.01,2.1499218470074644e-10,-1.461824284908576e-10,-1.48644586115101e-11,0.9999999999999996,7.216653436821316e-09,-3.0809190210653186e-08,2.0080794851937973e-09,8.269675611874142e-07,-3.530473137242051e-06,2.3010893337861447e-07,3.4150945850063755e-06,6.442596947596821e-08,-4.380591364513031e-08,-4.454380789050961e-09,4.32517427720515e-06,-1.8464942584892013e-05,1.203509775929656e-06,1.567306026911183e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
2,0.02,1.7142172493797976e-09,-1.1655564404835788e-09,-1.1851946448882233e-10,0.9999999999999681,5.754073042527306e-08,-2.456513883451907e-07,1.601131916406309e-08,6.593681556225066e-06,-2.8149575668827397e-05,1.8347604053285207e-06,2.8927685631773933e-05,2.5656225258870164e-07,-1.7444336875441647e-07,-1.7738472492104812e-08,1.7223764786293456e-05,-7.353113521337493e-05,4.792780101670866e-06,1.8557562086450554e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
3,0.03,5.766307600356103e-09,-3.920591312910893e-09,-3.986709440897757e-10,0.9999999999996385,1.9355187686269012e-07,-8.263036358015569e-07,5.3860112382709725e-08,2.2179406222283546e-05,-9.468742304397845e-05,6.1718959203371375e-06,9.743498865385075e-05,5.747211250609476e-07,-3.907433865833864e-07,-3.973495550499074e-08,3.858093032449606e-05,-0.00016470725584761173,1.0736638851972807e-05,4.679090425137234e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
4,0.04,1.3623248095812382e-08,-9.262067107786845e-09,-9.418544552445013e-10,0.9999999999979822,4.5725767780856727e-07,-1.952091769470046e-06,1.2725240427648195e-07,5.23978417115658e-05,-0.0002236932459028892,1.45819491105006e-05,0.00023020245484740352,1.0172638983717495e-06,-6.915368339148985e-07,-7.03289142011216e-08,6.828271788889866e-05,-0.00029150414136365764,1.9005385591300366e-05,1.9085937988247168e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
5,0.05,2.6520965161470498e-08,-1.8029059549945264e-08,-1.8334541650527236e-09,0.9999999999923537,8.900985388234744e-07,-3.7999011691712304e-06,2.4774261527151485e-07,0.00010199767137671067,-0.00043543662438638606,2.8388824940305455e-05,0.0004481197533034929,1.5826202150605237e-06,-1.0756519183165815e-06,-1.0940871238479812e-07,0.00010621623686105601,-0.00045343476914551443,2.957141120350447e-05,3.175289164930784e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
6,0.06,4.56801044033519e-08,-3.1048900158872984e-08,-3.1577268579094955e-09,0.9999999999773208,1.5329534158535099e-06,-6.544187415544226e-06,4.2675358365974116e-07,0.0001756632018222766,-0.0007499087134764244,4.890120889964895e-05,0.000771758485767716,2.26930638939999e-06,-1.5419118070448758e-06,-1.568668280484754e-07,0.0001522698246766552,-0.0006500142394422973,4.240978684135065e-05,4.2250645301630487e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
7,0.07,7.230698717494035e-08,-4.9137112883332625e-08,-4.9978307239956e-09,0.9999999999431951,2.4261463510416516e-06,-1.0356986862295064e-05,6.755913743177761e-07,0.00027801509102888056,-0.001186823459202032,7.741418945298789e-05,0.0012214072773214708,3.0759428133511174e-06,-2.089132366829811e-06,-2.126006500610924e-07,0.0002063332042277203,-0.0008807597583723026,5.749882281948396e-05,8.886986367485461e-20,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
8,0.08,1.0759473711620932e-07,-7.309732839981749e-08,-7.435858708728892e-09,0.9999999998742785,3.6094537755217287e-06,-1.540792712457382e-05,1.0054628092771016e-06,0.00041361116025426237,-0.0017656188064994773,0.00011521117798021994,0.0018170734358849297,4.001270447477491e-06,-2.716120021766168e-06,-2.7651323978583003e-07,0.00026829763325763006,-0.0011451906214366117,7.482059806331458e-05,1.4593372317267233e-18,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
9,0.09,1.5272456768375467e-07,-1.0372117723560303e-07,-1.0552876203769342e-08,0.9999999997468407,5.1221125402624995e-06,-2.186423748524243e-05,1.427495575880376e-06,0.0005869472853901278,-0.002505457898383162,0.0001635661104252517,0.0025784846146552475,5.04416641626485e-06,-3.4216697265329013e-06,-3.485140609444917e-07,0.0003380560460201424,-0.0014428281973863455,9.436146071575125e-05,1.2531153253650466e-18,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
10,0.1,2.0886722169127113e-07,-1.417881628771584e-07,-1.442896286017043e-08,0.9999999995268448,7.002828636029281e-06,-2.9890759220794872e-05,1.9527607682586713e-06,0.0008024583634239086,-0.0034252302670124603,0.0002237459148447758,0.003525083641735213,6.20365872706214e-06,-4.204563052164597e-06,-4.285196813263501e-07,0.0004155031874827578,-0.0017731959122718386,0.00011611250049362735,8.022649654716835e-19,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
11,0.11,2.771845538796133e-07,-1.8806551602468225e-07,-1.9143258304269684e-08,0.9999999991674305,9.289786563530614e-06,-3.964995584869169e-05,2.5922977178644596e-06,0.0010645193496223839,-0.004543553016578172,0.00029701322902583036,0.004676036187488626,7.478940131634707e-06,-5.063566381605455e-06,-5.164544501665492e-07,0.000500535740362195,-0.00213581923348846,0.00014006999337603737,2.2876489206299306e-18,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
12,0.12,3.588312478520614e-07,-2.4330803111093694e-07,-2.477401155068636e-08,0.9999999986061731,1.202065931639697e-05,-5.1301923296955135e-05,3.357140973915981e-06,0.001377446361200816,-0.0058787719980976415,0.00038462935290316323,0.006050232352264798,8.869381149096616e-06,-5.997429212288545e-06,-6.122511552225201e-07,0.0005930524452855923,-0.0025302256536228014,0.00016623581919757415,1.5147071267912203e-18,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
13,0.13,4.5495666132493783e-07,-3.0825788576030973e-07,-3.1398634085527284e-08,0.9999999977621309,1.5232618959313085e-05,-6.500439998259959e-05,4.258349333930415e-06,0.001745497845459563,-0.0074489629749608325,0.0004878574249886091,0.007666285115963501,1.0374542268767701e-05,-7.004882563000423e-06,-7.158516637179702e-07,0.0006929542143753324,-0.0029559446738938577,0.00019461785271058848,1.98421043118573e-18,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
14,0.14,5.66706786868302e-07,-3.836444449880343e-07,-3.90937561360639e-08,0.9999999965326938,1.896234773432794e-05,-8.091277682175924e-05,5.307036721970013e-06,0.0021728758046842115,-0.009271932781250169,0.0006079658002482808,0.009542534205443858,1.199418535128216e-05,-8.084637482313931e-06,-8.272075514573476e-07,0.0008001442385582355,-0.003412507786977132,0.00022523032867207226,1.8853240997364274e-18,NON_RELEASE_DIAGNOSTIC_EXECUTION_ONLY,false,false
