sample_index,t_s,target_x_m,target_y_m,target_z_m,target_q_x,target_q_y,target_q_z,target_q_w,target_wx_rad_s,target_wy_rad_s,target_wz_rad_s,analytic_phase_deg,quaternion_norm_error,analytic_quaternion_error,collision_detected_backend_field,collision_safety_interpretation,action,released_for_mission_gate
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008726646259971648,0.0,0.0,0.0,false,PROHIBITED,ABORT,false
1,0.05,1.0,0.0,0.0,0.0,0.0,0.00021816615476863465,0.9999999762017642,0.0,0.0,0.008726646259971648,0.025,0.0,0.0,false,PROHIBITED,ABORT,false
2,0.1,1.0,0.0,0.0,0.0,0.0,0.0004363322991533301,0.9999999048070578,0.0,0.0,0.008726646259971648,0.05,0.0,0.0,false,PROHIBITED,ABORT,false
3,0.15000000000000002,1.0,0.0,0.0,0.0,0.0,0.0006544984227701478,0.9999997858158844,0.0,0.0,0.008726646259971648,0.07500000000000001,0.0,1.1102235540206224e-16,false,PROHIBITED,ABORT,false
4,0.2,1.0,0.0,0.0,0.0,0.0,0.0008726645152351497,0.9999996192282495,0.0,0.0,0.008726646259971648,0.1,0.0,1.1102235540206224e-16,false,PROHIBITED,ABORT,false
5,0.25,1.0,0.0,0.0,0.0,0.0,0.0010908305661643997,0.9999994050441611,0.0,0.0,0.008726646259971648,0.125,0.0,1.1102251422055052e-16,false,PROHIBITED,ABORT,false
6,0.3,1.0,0.0,0.0,0.0,0.0,0.0013089965651739636,0.9999991432636292,0.0,0.0,0.008726646259971648,0.15,1.1102230246251565e-16,2.168404344971009e-19,false,PROHIBITED,ABORT,false
7,0.35,1.0,0.0,0.0,0.0,0.0,0.0015271625018799095,0.9999988338866665,0.0,0.0,0.008726646259971648,0.175,0.0,0.0,false,PROHIBITED,ABORT,false
8,0.39999999999999997,1.0,0.0,0.0,0.0,0.0,0.0017453283658983088,0.9999984769132877,0.0,0.0,0.008726646259971648,0.19999999999999998,0.0,2.168404344971009e-19,false,PROHIBITED,ABORT,false
9,0.44999999999999996,1.0,0.0,0.0,0.0,0.0,0.0019634941468452366,0.9999980723435098,0.0,0.0,0.008726646259971648,0.22499999999999998,0.0,1.1102569054260746e-16,false,PROHIBITED,ABORT,false
10,0.49999999999999994,1.0,0.0,0.0,0.0,0.0,0.00218165983433677,0.9999976201773519,0.0,0.0,0.008726646259971648,0.24999999999999994,0.0,1.1102569054260746e-16,false,PROHIBITED,ABORT,false
11,0.5499999999999999,1.0,0.0,0.0,0.0,0.0,0.002399825417988993,0.9999971204148357,0.0,0.0,0.008726646259971648,0.27499999999999997,0.0,1.1102314949223176e-16,false,PROHIBITED,ABORT,false
12,0.6,1.0,0.0,0.0,0.0,0.0,0.002617990887417994,0.9999965730559848,0.0,0.0,0.008726646259971648,0.3,0.0,4.336808689942018e-19,false,PROHIBITED,ABORT,false
13,0.65,1.0,0.0,0.0,0.0,0.0,0.0028361562322398656,0.9999959781008254,0.0,0.0,0.008726646259971648,0.325,0.0,1.1102230246251565e-16,false,PROHIBITED,ABORT,false
14,0.7000000000000001,1.0,0.0,0.0,0.0,0.0,0.0030543214420707078,0.9999953355493858,0.0,0.0,0.008726646259971648,0.35000000000000003,0.0,1.1102230246251565e-16,false,PROHIBITED,ABORT,false
15,0.7500000000000001,1.0,0.0,0.0,0.0,0.0,0.003272486506526626,0.9999946454016966,0.0,0.0,0.008726646259971648,0.37500000000000006,0.0,1.1102230246251565e-16,false,PROHIBITED,ABORT,false
16,0.8000000000000002,1.0,0.0,0.0,0.0,0.0,0.003490651415223733,0.9999939076577905,0.0,0.0,0.008726646259971648,0.4000000000000001,0.0,1.1102314949223176e-16,false,PROHIBITED,ABORT,false
17,0.8500000000000002,1.0,0.0,0.0,0.0,0.0,0.003708816157778149,0.9999931223177028,0.0,0.0,0.008726646259971648,0.4250000000000001,0.0,1.1102230246251565e-16,false,PROHIBITED,ABORT,false
