case_id,sample_index,t_s,solver_stimulus_amplitude_N,analytic_cumulative_impulse_N_s,source_impulse_N_s,solver_contact_window_s,stimulus_role,released_for_mission_gate
M06_22_V0P005_TC5MS,0,0.0,0.0,0.0,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,1,2.5e-05,0.2966843921361932,3.708631157687993e-06,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,2,5e-05,0.5932955818380107,1.4833609581504647e-05,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,3,7.500000000000001e-05,0.8897603847326823,3.3372190349494107e-05,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,4,0.0001,1.1860056525661908,5.931979934425029e-05,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,5,0.000125,1.481958291251513,9.267003438151374e-05,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,6,0.00015000000000000001,1.7775452789034865,0.0001334146667898202,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,7,0.000175,2.072693683855871,0.00018154364344079697,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,8,0.0002,2.3673306826561458,0.00023704508922962615,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,9,0.00022500000000000002,2.661383578033605,0.0002999053100050481,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,10,0.00025,2.954779816836321,0.00037010879594817663,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,11,0.000275,3.247447007932552,0.00044763822539934213,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,12,0.00030000000000000003,3.5393129400721692,0.0005324744691319146,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,13,0.00032500000000000004,3.8303055997036997,0.0006245965950721957,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,14,0.00035,4.1203531887425955,0.0007239818734640531,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,15,0.000375,4.409384142286338,0.0008306057824771864,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,16,0.0004,4.697327146272002,0.0009444420142574843,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,17,0.00042500000000000003,4.98411115507194,0.0010654624814181344,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,18,0.00045000000000000004,5.269665409023219,0.0011936373239697245,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,19,0.000475,5.553919451886516,0.0013289349166877792,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,20,0.0005,5.836803148230142,0.0014713218769157978,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,21,0.0005250000000000001,6.118246700734903,0.0016207630728019228,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,22,0.00055,6.398180667415547,0.0017772216319672082,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,23,0.000575,6.67653597875454,0.0019406589506033205,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,24,0.0006000000000000001,6.953243954743927,0.002111034702997449,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,25,0.000625,7.228236321831103,0.002288306851482077,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,26,0.0006500000000000001,7.50144522976429,0.0024724316568071484,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,27,0.000675,7.772803268333566,0.002663363688932066,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,28,0.0007,8.042243484003334,0.0028610558382348825,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,29,0.0007250000000000001,8.309699396432094,0.0030654593271358887,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,30,0.00075,8.575105014875488,0.0032765237221327502,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,31,0.0007750000000000001,8.838394854468513,0.003494196946244231,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,32,0.0008,9.099503952382936,0.0037184252918593882,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,33,0.000825,9.358367883855909,0.003949153433989146,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,34,0.0008500000000000001,9.614922778085807,0.004186324443916897,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,35,0.000875,9.869105333991389,0.004429879803244802,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,36,0.0009000000000000001,10.120852835830403,0.004679759418332348,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
M06_22_V0P005_TC5MS,37,0.000925,10.370103168673747,0.0049359016351235374,0.0601233,0.005,SOLVER_STIMULUS_PROXY_NOT_HARDWARE_CONTACT,false
