claim_id,claim,evidence_source,experiment,code,figure,confidence,paper_target,required_qualifier
CL01,Capture does not guarantee detumbling (无外力矩时捕获只重分配/耗散机械能;不能消除总角动量),sim_06 capture_impulse_matrix_v0.csv (debris 3.0->3.06 deg/s) + 25/25 conservation tests,sim_06 40-case sweep,30_simulation/common/capture_impulse.py::rigidize,results/sim_06.../before_after_momentum.png,VERIFIED,P1,在完全非弹性瞬时刚化假设与当前质量惯量口径下
CL02,标量冲量公式 omega=H/(sum I) 系统性低估捕获后转速 2.9-12.3%,sim_06 CSV scalar_error_pct col (-12.335..-2.864),同上40例网格+杠杆臂扫描,capture_impulse.py (Steiner + r x mv terms),results/sim_06.../scalar_vs_full_error.png,VERIFIED,P1,误差范围限于本项目几何/速度网格;零翻滚时标量式定性失效(预测恒为0)
CL03,存在任务不可行域: mu=6.25(150kg/24kg)+2deg/s预算下含速度匹配同步捕获的全部策略无SAFE候选,30_simulation/e16_sync_capture/gate_check.json (216例 formal_safe=0; 18动态评估全CORE_UNSAFE) + 70_tools/research_dashboard REPEAT_CORE,E16 216-case campaign (alpha 0/0.8/1.0),30_simulation/e16_sync_capture/src,fig_v07 + 待作feasibility map(sim10),VERIFIED,P1,在冻结的PROVISIONAL阈值registry与当前候选空间下;binding=捕获后转速;不得说"72/216个方案都物理不可行"——66/198例为IK几何不可达
CL04,两类目标需要不同执行机构架构(卫星轮组可行/碎片必须推力器粗消旋),sim_08 actuator_budget_sweep.csv (debris |H_c|=3.651 Nms = 12.2x 3x100mNms轮组; sat 0.015 Nms),sim_08 2目标x20翻滚x4时长x3力臂x2Isp扫掠,sim_08/actuator_budget.py,results/sim_08/budget_H_vs_wheels.png,VERIFIED,P1,轮组/推力器为等级占位值(assumptions.yaml);选型后需复核
CL05,几何最优不等于系统最优(可操作度完全并列时杠杆动力学使捕获后转速减半),sim_09 E1 g0_g1_g2_comparison.csv (manip差0.000%; 3.055->1.567 deg/s -48.7%; M_PCS -0.528->+0.216),E1 72-case thin slice G0/G1/G2,30_simulation/sim_09_grasp_evaluator/src/e1_thin_slice.py,figures/sim_09.../fig_e1_g1_vs_g2.png,VERIFIED,P2,在E0落位策略下几何指标被构造性压平(E1.5 Line A已用滚转自由度修复该局限);Pareto权衡真实存在(|J_t|+178%)
CL06,提出抓取后可稳定裕度指标 M_PCS=min(五项资源/安全裕度) 及其fail-closed三态分类,30_simulation/e15_core_coverage/core_gate_check.json + e15_mpcs表(确定性重算valid; overall_score_absent=true),E1/E1.5/E16全链使用,30_simulation/sim_09_grasp_evaluator/src/contract.py+score逻辑,fig_e15_pareto_knee.png,VERIFIED,P2,项目定义指标(不声称学界首创);鲁棒分位版Q0.05=E2未做
CL07,刚性锁定是柔性激振事件;点式软捕获激振小约两个数量级(锁定时机=控制变量),sim_07a task_response_summary.csv (92.1-92.4x),sim_07a 6案例(2模式x3刚度),sim_07_ancf_flexible/sim_07a_task_response.py,results/sim_07.../tip_response_matrix.png,PARTIALLY_VERIFIED,P1/P2,单向规定基座模型;3DOF数值为面外下界(其主激励在面内;假设A3);候选级ANCF认证未过(交叉差5.64%>5%)
CL08,ANCF候选级柔性指标可信/可用于排序,e15_ancf_certification gate=REPEAT_ANCF_CERTIFICATION,--,--,--,UNSUPPORTED,禁止入论文,交叉求解差5.64%>5%门槛;历史7例全UNKNOWN;此claim在P0-B通过前禁用
CL09,真实6R臂(B601)自由漂浮基座反作用峰值19.20度(旧2DOF占位13.13度的1.46x),sim_05 base_attitude.csv + 22/22测试(动量守恒7.3e-17),sim_05 min-jerk reach 8s,sim_05_free_floating_arm/dynamics.py,results/sim_05/sim_05_base_attitude.png,VERIFIED,P2,基准机动超joint2限位(仅动力学基准非飞行轨迹);>99%绕Y_S验证平面假设
CL10,3DOF位置任务存在精确零姿态反作用解;6DOF无瞬时零空间;5DOF仅1维(降1.03-1.47x),nullspace分析(6构型 堆叠矩阵满秩 cond<=1.2e4),scratchpad nullspace_feasibility_check.py seed 20260711,待升级入repo,待作(图3冗余-反作用地图),PARTIALLY_VERIFIED,P2,目前在scratchpad未入库;逐轨迹QP含限位验证未做;术语必须用"反作用最小化"非RNS
CL11,几何候选生成含滚转自由度且每组唯一选择(24组/96条),e15 gate_check line_A passed=true + geometry_manifest,E1.5 Line A,e15相关src(codex worktree),fig_e15_geometry_roll_phase.png,VERIFIED,P2,几何层结论;动力学admissibility另判
CL12,原66例"证据缺失"确认为几何不可达(IK_UNREACHABLE)非物理不安全,e15_core_coverage core_gate_check.json (GEOMETRY_INVALID=66 evidence_missing=0),P0-C核心覆盖审计,30_simulation/e15_core_coverage/src,40_evidence/artifacts/visualization/figures/fig_v07(4类瓦片),VERIFIED,P1/P2,fail-closed语义:UNKNOWN/缺证据不等于UNSAFE
CL13,同步(速度匹配)捕获显著降低接触冲量但不改变消旋不可行性,e16 gate_check (最低冲量点 J_lin=0.0103 Ns J_ang=4.28e-4 Nms @alpha=1.0; 18动态例仍全部超2deg/s),E16 216例 alpha配对统计,30_simulation/e16_sync_capture/src,待作(图4捕获构型->omega+),VERIFIED,P1,确定性设计点非随机样本;统计解释受限(complete_paired_blocks=6)
CL14,闭合关节循环产生非零基座几何相位(2.617deg),sim_05 test_dynamics几何相位测试(当日复现),矩形关节闭环,sim_05/dynamics.py,--,VERIFIED,P2可选,教学性结论;非核心创新
CL15,物理接地具身代理完成捕获任务级决策(调用动力学工具输出可解释裁决),--,--,--,--,FUTURE_WORK,P3/展望,G3未开始;仅可作Future Work与竞赛demo叙事;禁止声称已实现
CL16,证据与门禁体系:机器裁决JSON+SHA256工件哈希+锚定回归(52+项)三重可追溯,各gate_check.json + anchor reports(当日复跑全绿),全链,tests/*,--,VERIFIED,P1/P2方法学节,测试PASS只证软件一致性;科学Gate由机器JSON判定
CL17,B601 HIL/微重力等效验证,--,--,--,--,FUTURE_WORK,禁止入论文主张,HIL未开始;地面演示只能称"动力学硬件耦合/地面数字孪生";禁称微重力实验
CL18,捕获后组合体存在章动(3.06->峰值3.13 deg/s;捕获不锁定转速上界),sim_06 nutation propagation 120s,sim_06标称工况,capture_impulse.py+rigid_body.py,before_after_momentum.png右图,VERIFIED,P1,扭矩自由传播;未含柔性
