section,content,evidence_files,readiness
1 背景与需求,ADR市场/国内工程主线/竞赛定位,20_engineering/stage1_spacecraft_layout/02_open_bus_reference/* + scouting sources (memory archive),READY(需成文)
2 总体方案,12U构型/接口160x160/T_SM/质量预算,20_engineering/config/geometry/*.yaml + mass_inertia_budget_v1.csv + SSOT sec3.1,READY
3 机械臂系统,B601选型/混合质量证据链/任务模式3-5-6DOF,20_engineering/cad/spacecraft_layout/arm_b601_v1/* + arm_b601_v1.yaml,READY(P0-1口径裁决后)
4 捕获动力学,矢量冲量/25项验证/捕获≠消旋/点捕获vs锁定,sim_06 README+results + tests/verification_report_v0.md,READY
5 安全走廊,1620例/24假安全/边界三线图,sim_04 results + corridor_migration_v2.csv + boundary png,READY
6 消旋与执行机构,3.65Nms/12x轮组/推进剂预算,sim_08 README+results+assumptions.yaml,READY
7 柔性动力学,ANCF基准5/5/激振对比92x/衰减37-75s,sim_07 benchmark+sim_07a README(A1-A7假设表)+results,READY(图注92x修正)
8 反作用最小化规划,Case A基线/零空间可行性/Case B结果,sim_05 results + nullspace analysis + P0-2 pending,BLOCKED on P0-2
9 联合优化与安全策略,Case C帕累托/锁定时机策略,P0-3 pending,BLOCKED on P0-3
10 视觉与HIL,AprilTag误差模型/L1-L2演示,P1-1 + P0-6 pending,BLOCKED
11 创新点与查新,三条创新叙事+对标表,innovation claims (memory) + P2查新,DRAFT NEEDED
12 结论与展望,berthing扩展/7DOF对照/阶段B双向耦合,sim_07 README_benchmark_spec + audit docs,READY(成文)
附录 证据包,复跑命令/环境/哈希,P1-5 evidence_pack.py pending,PARTIAL
