item_id,domain,artifact,path,exists,bytes,sha256,verification_status,frontier_status,machine_state,authority_basis,next_action
CPA-001,HANDOVER,Pre-Checkpoint-A disk frontier snapshot,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/gpt_terminal_handover/GPT_TERMINAL_HANDOVER_RECEIPT_V1.json,true,22793,EE0A191BC349A441FD015F1369FB3B760906CCF7D28BDD5B19DBE925D25F3577,VERIFIED,HISTORICAL_SNAPSHOT_RETAINED,Pre-Checkpoint-A receipt; not overwritten,ODR-GPT handover,Use this Checkpoint-A supplement for the current frontier
CPA-002,FRAMES,MPI bridge Gate,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/08_gate/MPI_BRIDGE_GATE_V1.json,true,23153,60911E3C88387E2ED53601F2B541649BF90D689C57C4E74225226AE6FD10C721,VERIFIED,CURRENT,PASS 9/9; bridge CONFIRMED,ODR-GPT-01,Consume the unique bridge; no release credit
CPA-003,R2_COMPONENT,Round3 HF/ROM component Gate,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/round3_hf_rom_v2/R2_FULL_FLEX_HF_ROM_GATE_V2.json,true,8209,F8E5696FF3D9EFAD2737E056CF29C9B9D0940DAB4188AFB095DAE53C01785537,VERIFIED,CURRENT,17/17 PASS_WITH_DECLARED_PROVISIONAL_PHYSICS,Round3 component machine Gate,Retain as component evidence only
CPA-004,R2_COUPLED,E22 R2 Full-Flex coupled Gate,30_simulation/e22_r2_full_flex_coupled_diagnostics/results/E22_R2_FULL_FLEX_COUPLED_GATE_V1.json,true,9374,472ADA4A7ABF98BBD5F72B0459400704A86FAF2B13DACCD562025C0CC356AA5E,VERIFIED,CURRENT,HOLD 16/18; G11/G17 FAIL,E22 machine Gate,Resolve ROM dimension contract and Legacy same-scope evidence
CPA-005,R2_INDEPENDENT,E22 independent recompute,30_simulation/e22_r2_full_flex_coupled_diagnostics/results/E22_INDEPENDENT_RECOMPUTE_V1.json,true,13046,893021646F2FFB2A5637A49748A43A016999A92CBC7DC8649580DD49D186C6BB,VERIFIED,CURRENT,PASS 33/33,Independent raw-file/NPZ recompute,Retain with package manifest
CPA-006,R2_DETERMINISM,E22 five-run replay,30_simulation/e22_r2_full_flex_coupled_diagnostics/results/E22_DETERMINISM_REPLAY_V1.json,true,2616,16B930602D642E6B7D58B986205620D8624B0E8C34B72ED2959C1EA53A12F6D2,VERIFIED,CURRENT,PASS 5/5; unique hash=1; spread=0,Isolated-process replay,Retain with package manifest
CPA-007,R2_ADVERSARIAL,ROM5 dimension falsifier,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/checkpoint_a/red_team/ROM5_DIMENSION_FALSIFIER_V1.json,true,55435,D219E69FE8D3555228BB007774F0B59F4F5BDFAD7711569EB7CD074130104E18,VERIFIED,CURRENT,All 792 5D subsets fail 1%,Independent red-team falsifier,Owner/P2 contract decision required
CPA-008,R2_ADVERSARIAL,Final R2 Full-Flex red-team audit,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/checkpoint_a/red_team/R2_FULL_FLEX_FINAL_RED_TEAM_AUDIT_V1.json,true,20156,9326851F7AA3D9586452C6AD3BCC460B9D8BDBCA363C73D3AB5E4EC9C2CC445A,VERIFIED,CURRENT,8 PASS / 2 declared FAIL; no new blocker,Independent final audit,Keep G11/G17 open
CPA-009,E15,ANCF certification Gate,30_simulation/e15_ancf_certification/results/gate_summary.json,true,1585,AAB4D609E219279C2563C8A38743AC1784BBF16DE399D5B8798439B0AC2DCA80,VERIFIED,HOLD,REPEAT_ANCF_CERTIFICATION,Scientific Gate SSOT,Rerun only after closed R2 model
CPA-010,HARNESS,Mandatory mission coverage Gate,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json,true,7324,F3B444222E87509B66F712E623A4903748C7309C6396708EC02A0C1A54CDAA5C,VERIFIED,HOLD,FAIL; 0/10 SAFE; 0/8 segments released,ODR-GPT-04 condition evidence,Continue Route-C physical closure
CPA-011,ROUTE_C,C2 physical registry,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_C2_01_REGISTRY_SKELETON_V1.yaml,true,19773,6264A0A45F6A497787F3D96205CEF7799A19A225CD23CEA66D5AD31E335A3E8E,VERIFIED,HOLD,13/13 null/HOLD; CAD=false,ODR-GPT-03,RFI-E/F/G only; no CAD
CPA-012,EMBODIED_HANDOFF,Harness-aware handoff V2,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json,true,54345,13722965D5C558D3439A7CB1E77ABBF3C2094B88E9D62F80D664D0C4C90D4E21,VERIFIED,HOLD,FAIL 11/12; G12,Current handoff evidence,Rebuild only after upstream closure
CPA-013,TERMINAL_RELEASE,MECHANICAL_ENGINEERING_RELEASE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_V1,false,,,MISSING,HOLD,Not generated,Checkpoint-A machine verdict,Do not generate while G11/G17/e15/harness/handoff remain open
