object_id,category,motion_class,active_when,frame_registration_present,frame_relationship_bound,operational_asset_ready,registration_runtime_pose_bound,accepted_urdf_q_domain_available,design_candidate_bound_emitted,preexisting_system_certificate_observed,batch_system_certificate_emitted,batch_system_motion_authority_credit,system_certificate_eligible_in_this_batch,readiness,blockers,disposition
A::base_link,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,true,false,true,false,true,false,0,false,ASSET_LEVEL_OPERATIONAL_PROXY_BOUND__SYSTEM_RUNTIME_POSE_AND_PAIR_HOLD,NONE,PREEXISTING_APPEND_ONLY_BASE_CERTIFICATE_OBSERVED__NOT_REISSUED
A::gripper_left,A,DIRECT_RIGID_FK_CANDIDATE,REQUIRES_gripper_joint1_m,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY;OWNER_SCENE_STATE_VALUE_UNBOUND,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::gripper_link,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::gripper_right,A,DIRECT_RIGID_FK_CANDIDATE,REQUIRES_gripper_joint2_m,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY;OWNER_SCENE_STATE_VALUE_UNBOUND,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::link1,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::link2,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::link3,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::link4,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::link5,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
A::link6,A,DIRECT_RIGID_FK_CANDIDATE,ALWAYS_IN_M01,true,true,false,false,true,true,false,false,0,false,FRAME_BOUND_DESIGN_ASSET__OPERATIONAL_PROMOTION_HOLD,OPERATIONAL_COLLISION_ASSET_NOT_READY,DESIGN_SCREENING_CANDIDATE_BOUND_EMITTED__SYSTEM_CERTIFICATE_WITHHELD
