component_id,group,asset_classification,design_state,integration_state,verification_state,configuration_scope,source_asset_absolute,source_evidence_absolute,a3_missing_geometry,next_required_evidence
M3R_STAGE_A_RING,A3_EIGHT,已存在且已接入当前装配,Stage A Rev-B 单件 FCStd/STEP 均在；独立单件等价验证；非飞行实物,R2 主 FCStd 中 INST_M3R_INTERFACE_ASSEMBLY 为内部链接，2-solid compound；A3 未加载；当前完整装配 UNKNOWN,历史局部 PASS_WORKING_GEOMETRY_EQUIVALENT_TO_PINNED_REVB2；实配/紧固/公差 HOLD；逐级在主复合体内身份未在本轮内核核验,R2 默认展开态主几何；非 A3 收拢态,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_STAGE_A_REVB_WORKING.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_INTERFACE_ASSEMBLY_V2_GEOMETRY_VALIDATION.json,True,建立同一姿态下两级独立身份、安装变换与对偶面；不能重设计已有件代替绑定
M3R_STAGE_B_DIFFUSION,A3_EIGHT,已存在且已接入当前装配,Stage B Rev-B2 单件 FCStd/STEP 均在；独立单件等价验证；非飞行实物,R2 主 FCStd 中 INST_M3R_INTERFACE_ASSEMBLY 为内部链接，2-solid compound；A3 未加载；当前完整装配 UNKNOWN,历史局部 PASS_WORKING_GEOMETRY_EQUIVALENT_TO_PINNED_REVB2；实配/紧固/公差 HOLD；逐级在主复合体内身份未在本轮内核核验,R2 默认展开态主几何；非 A3 收拢态,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_STAGE_B_REVB2_WORKING.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_DETAILED_DESIGN_V1\06_parameterized_parts\m3r\M3R_INTERFACE_ASSEMBLY_V2_GEOMETRY_VALIDATION.json,True,建立同一姿态下两级独立身份、安装变换与对偶面；不能重设计已有件代替绑定
HDRM_ROOT,A3_EIGHT,已存在但未接入,V5 ARM_HDRM 功能候选含承载底座/锁闩滑块/硬止挡/传感器与连接器支架；root 专属身份未绑定,不在 R2 七个活动实例或 A3；generic ARM_HDRM 不能直接充当已选 root 装置,V5 子装配 cold/config/mate/reference PASS；interference_closure_claimed=false；实物释放/冲击/寿命 HOLD,V5 子系统候选，非当前完整收拢配置,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\02_native_subassemblies\ARM_HDRM_FUNCTIONAL_ENVELOPE.SLDASM,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\13_validation\V5_LOOP1D1_CHECKPOINT_ARM_HDRM_FUNCTIONAL_ENVELOPE.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp5_mechanisms\HDRM_ENGINEERING_PACK_V1.yaml,True,映射 root 装置身份、预紧与承载路径；选型/热真空/释放试验待证
HDRM_DISTAL,A3_EIGHT,在已检索范围内未找到,未找到独立命名且已绑定 A3 distal 位置的释放器 B-rep；有 generic ARM_HDRM 候选与功能账本,A3 与 R2 未装入；不可把太阳翼 HDRM 或根部 generic 候选当第二套 distal 装置,独立末端约束/释放/承载验证 UNKNOWN,A3 专用 distal 槽位；检索范围为本工程 20_engineering 与参考库文件索引,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\02_native_subassemblies\ARM_HDRM_FUNCTIONAL_ENVELOPE.SLDASM,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\07_hdrm\F3R2_ARM_HDRM_DEFINITION.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp5_mechanisms\HDRM_ENGINEERING_PACK_V1.yaml,True,明确一套或多套 restraint 架构及部件身份后才能判设计缺口；不可由文件名匹配补齐
STOW_SADDLE_A,A3_EIGHT,已存在但未接入,G07 V2 原生支承子装配、body/carrier/PTFE pad 已存在；另有 V4 STEP 与早期 cradle,R2 支承为 unresolved 槽位；A3 A/B 与 G07/G08 的逐件等价映射 UNKNOWN；V5 未被证明装入当前顶装,V5_NATIVE_SUBASSEMBLY_MATES_AND_COLD_REOPEN_PASS；旧 B51/G08 几何存在 2.254534 mm 穿入负结果；不可转授新姿态,V5 支承子件 / 历史 B51 收拢体系,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\02_native_subassemblies\G07_PRIMARY_SUPPORT_V2.SLDASM,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\13_validation\V5_LOOP1A_CHECKPOINT_G07_PRIMARY_SUPPORT_V2.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp12_secondary_structure_adjudication\SECONDARY_STRUCTURE_INTERFERENCE_RULING_V1.json,True,确认当前接触部位/对偶几何/垫片与弹簧；新姿态重新检查接触、间隙和承载
STOW_SADDLE_B,A3_EIGHT,已存在但未接入,G08 V2 原生支承子装配、body/carrier/PTFE pad 已存在；另有 V4 STEP 与早期 cradle,R2 支承为 unresolved 槽位；A3 A/B 与 G07/G08 的逐件等价映射 UNKNOWN；V5 未被证明装入当前顶装,V5_NATIVE_SUBASSEMBLY_MATES_AND_COLD_REOPEN_PASS；旧 B51/G08 几何存在 2.254534 mm 穿入负结果；不可转授新姿态,V5 支承子件 / 历史 B51 收拢体系,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\02_native_subassemblies\G08_PRIMARY_SUPPORT_V2.SLDASM,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\13_validation\V5_LOOP1A_CHECKPOINT_G08_PRIMARY_SUPPORT_V2.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\wp12_secondary_structure_adjudication\SECONDARY_STRUCTURE_INTERFERENCE_RULING_V1.json,True,确认当前接触部位/对偶几何/垫片与弹簧；新姿态重新检查接触、间隙和承载
HARNESS_TRUNK,A3_EIGHT,已存在但未接入,Route-C V9F FCStd 130 Part::Feature + 7 mesh + 1 group；中心线/导向件/夹持件/质量增量均有资产,R2 主 FCStd 与 A3 未加载；M01 是操作碰撞资产注册，非完整原生装配,V9F SOURCE_ONLY_DESIGN_CANDIDATE__NO_GATE_PASS__NO_RELEASE_CREDIT；早期 V1 mission gate FAIL_DOCUMENTED 不转授 V9F,V9F 候选自身参考姿态；非 A3 最新收拢态,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\route_c\B601_ROUTE_C_GUIDED_DRESS_PACK_V9F.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\route_c\B601_ROUTE_C_BUILD_RECEIPT_V9F.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\route_c\ROUTE_C_MISSION_COVERAGE_GATE_V1.json,True,选定版本并绑定同一收拢/展开运动、弯曲半径/扭矩/固定点/接口与碰撞
CONNECTOR_SET,A3_EIGHT,只有占位几何,Route-C V9F 有 CN-BUS/CN-BASE 安装板和 CN-WR-D1/P1 Micro-D 风格候选块；V5 有 connector mount,A3 未建模，R2 活动实例无 connector；实际供应商型号和插拔空间未绑定,候选建模可证；实际插接/锁紧/防呆/应力释放/维护空间 UNKNOWN,Route-C/V5 几何候选,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\route_c\B601_ROUTE_C_GUIDED_DRESS_PACK_V9F.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\_work\mode_a_native_design_r1\03_a3_4\A3_43_COMPONENT_TRUTH_TABLE.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\route_c\B601_ROUTE_C_BUILD_RECEIPT_V9F.json | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE\13_validation\V5_LOOP1D_HDRM_CAMERA_HARNESS_RECEIPT.json,True,不能说完全没画过；需选择并绑定实际连接器或明示的工程等效包络
BUS_PRIMARY_STRUCTURE_R2,SYSTEM,只有占位几何,R2 6 解析实体复合母线包络，包含 legacy flange/nozzle/antenna；无真实内部舱和面板,已接入 R2 默认主装配；不是 V2_2 原生框梁制造结构,340.5 mm 中性母线 vs 366.0 mm 原生结构冲突；12U 尺寸与内部结构 HOLD,R2 主装配,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml,False,先选择一致母线长度/坐标/面板与安装结构，不能继承包络块质量为实物
BUS_NATIVE_STRUCTURE_V2_2,SYSTEM,已存在但身份/版本不符,框梁/端框/设备板/主结构原生子件存在，F3R2 inventory 可定位,历史 SW 体系有实例；R2 neutral geometry 未使用这些原生实体,当前路径存在；若干子装配哈希不同于早期 copy receipt；当前配置健康 UNKNOWN,F3R2 历史 SW 各配置,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\SPACECRAFT_V2_2_NATIVE_COPY\01_Primary_Structure\01_Primary_Structure_V2_2.SLDASM,F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\F3R2_COMPONENT_INVENTORY.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\F3R2_DEPENDENCY_INVENTORY.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml,False,逐级对齐中性/原生身份与真实承载链，重新绑定适用验证
