component,triangle_count,unique_vertex_count,sha256,visual_origin_identity,mass_kg
base_link,77972,39135,22641C079014FE968702393F61E7F7F1A8F80C6C1DF45A61E31545F6EAFF3B65,True,0.8366
link1,9980,4964,9DB637A63D37BC2C6398EA5B8BA32FB54122C637D5D77DC134C8782839B654CD,True,0.1613
link2,119842,60218,DEF0D9D82343DCCC1EFF0D9D5572ECA49B3C134DB9807CA12302B99D153DF65E,True,1.3266
link3,84198,41833,CA14D73B5D63F352051F440F4CABC3989567F25EE9D19E7DD749F2D6F0D0561D,True,0.8353
link4,51592,25723,061909364F20BB387F9FF82CB80E506AF959142F9FBB4A39DC86FC8244EE768A,True,0.52
link5,42386,21159,3A32006227C1F9DBC70E77E07055C61E3F195F1054D4D2EB480262F0873BF001,True,0.383
link6,24962,12455,C586A7D0B8345D2CD32EAB7DFD2E334ABA56E83F582A6298D41BBF718F2EBEF1,True,0.3663
gripper_link,53526,26707,A826E164D420A6922E8AD5EE27813F39FA809F6E4FDF39B42FD8A59E7D12E847,True,0.181800159145243
gripper_left,42392,21310,C4E0DE70F776B3573D975A6EAAA746CCCBE57C2D5BB12501DA8889979D3AF268,True,0.0423278952416158
gripper_right,42392,21310,615B119C0BB97A032BADD5882144E4A2A50C905A3E071AF1FA28B83BFE9B1B65,True,0.0423278949561274
