case,component_count,extent_X_mm,extent_Y_mm,extent_Z_mm,longest_axis,recomputed_max_sorted_error_mm,recomputed_worst_protrusion_mm,saved_worst_protrusion_mm,recomputed_inside_box,saved_inside_box,root_origin_after_recenter_X_mm,root_origin_after_recenter_Y_mm,root_origin_after_recenter_Z_mm
A3.2c:0:CORRIDOR:0.0:FIT:,6,349.598188561035,87.4344087405541,208.22635091223117,X,1.1368683772161603e-13,-8.200905719482506,-8.200905719482478,True,True,-133.8692188247683,-8.250795529056127,-74.9902848160607
A3.2c:1:CORRIDOR:0.0:THIN:,6,351.0017467057796,80.24999872015073,197.1179156067348,X,5.684341886080802e-14,-7.499126647110188,-7.49912664711016,True,True,-137.00497442262673,-0.49948493129019766,-70.80074409284734
A3.2c:2:CORRIDOR:2.0:FIT:,6,353.5532623312841,80.31063551505254,205.06502213451458,X,5.684341886080802e-14,-6.223368834357956,-6.223368834357927,True,True,-142.12400867624794,-0.43028740502770546,-65.1215660792537
A3.2c:3:CORRIDOR:2.0:THIN:,6,354.1813140911735,80.24999872241605,215.00363706863715,X,5.684341886080802e-14,-5.648181465681432,-5.648181465681404,True,True,-138.5905974443633,-0.4994854455169353,-71.2360286835274
A3.2c:4:CORRIDOR:3.0:FIT:,6,352.1334739417807,212.43107366403504,212.43347392584155,X,1.7053025658242404e-13,-6.933263029109639,-6.933263029109554,True,True,81.66274057981894,137.90781344088742,-137.37759741434655
A3.2c:5:CORRIDOR:3.0:THIN:,6,356.34424824011154,80.24999872916521,222.92760432279167,X,5.684341886080802e-14,-1.6861978386041727,-1.686197838604187,True,True,-139.67189816241702,-0.4994854839512044,-71.60532599476461
A3.2c:6:CORRIDOR:5.0:FIT:,6,348.9885840599644,209.28858244579266,209.2885838867019,X,2.8421709430404007e-13,-8.505707970017795,-8.505707970017653,True,True,-217.585015738817,-97.39750635024399,-32.96846173303889
A3.2c:7:CORRIDOR:5.0:THIN:,6,365.4289029229935,80.2499988011295,178.4206412031304,X,1.7053025658242404e-13,-0.28554853850326367,-0.2855485385031784,True,True,86.8154783552458,-0.49946928779622013,-166.735887631926
A3.2c:8:FULLARM:0.0:FIT:,10,381.60204210271536,241.976284780927,241.97628680385645,X,2.842170943040401e-14,7.838143401928221,7.838143401928221,False,False,83.70751152339739,-19.949470726854983,-103.8342320423273
A3.2c:9:FULLARM:0.0:THIN:,10,365.95084549458653,225.24385641306327,247.12174389273918,X,0.0,10.410871946369582,10.410871946369582,False,False,97.21926811921301,-11.66893495722342,-100.44797522225991
A3.2c:10:FULLARM:2.0:FIT:,10,383.08636964916997,243.3973261271712,243.39732366186232,X,1.1368683772161603e-13,8.548663063585593,8.548663063585579,False,False,81.19357932967304,-20.6434855621225,-112.48518180768797
A3.2c:11:FULLARM:2.0:THIN:,10,364.22724093329794,250.43689878801283,226.29999999998557,X,1.7053025658242404e-13,12.068449394006407,12.068449394006493,False,False,91.1249452082497,108.30047301794635,-12.222427801708584
A3.2d:0:FULL:0.0:FIT_FULL:False,10,381.9834955138152,242.28350834341725,242.28351328144765,X,1.1368683772161603e-13,7.991756640723821,7.991756640723764,False,False,83.44773404014092,-20.141080821094604,-104.70880213551717
A3.2d:1:FULL:0.0:FIT_FULL:True,10,361.0931267964168,243.1169926009068,243.11702448392933,X,1.7053025658242404e-13,8.408512241964658,8.408512241964686,False,False,93.78105219563085,-20.5907406475266,-104.0233157637371
A3.2d:2:FULL:0.0:THIN_FULL:False,10,361.0939226797674,226.34168422397113,247.97635663981936,X,5.684341886080802e-14,10.838178319909673,10.838178319909687,False,False,93.62846411226258,-12.59298477503149,-99.19363958291879
A3.2d:3:FULL:0.0:THIN_FULL:True,10,361.0939226797674,226.34168422397113,247.97635663981936,X,5.684341886080802e-14,10.838178319909673,10.838178319909687,False,False,93.62846411226258,-12.59298477503149,-99.19363958291879
A3.2d:4:FULL:2.0:FIT_FULL:False,10,383.34793387117395,243.64800229642157,243.64800622414973,X,0.0,8.674003112074857,8.674003112074857,False,False,82.64916320097522,-20.910243383918264,-112.73554585213155
A3.2d:5:FULL:2.0:FIT_FULL:True,10,383.2701183432415,243.57010104013057,243.57015406989748,X,5.684341886080802e-14,8.635077034948736,8.635077034948736,False,False,82.58562050958278,-20.8804485239857,-112.84760476711939
A3.2d:6:FULL:2.0:THIN_FULL:False,10,364.1781595151375,250.4386551314653,226.30000000067773,X,8.526512829121202e-14,12.06932756573265,12.069327565732692,False,False,91.11379769735869,108.30029241904403,-12.222364363439198
A3.2d:7:FULL:2.0:THIN_FULL:True,10,364.1781595151375,250.4386551314653,226.30000000067773,X,8.526512829121202e-14,12.06932756573265,12.069327565732692,False,False,91.11379769735869,108.30029241904403,-12.222364363439198
A3.2d:8:FULL:3.0:FIT_FULL:False,10,383.69157839268644,243.99406116062113,243.9939421992275,X,2.2737367544323206e-13,8.847030580310559,8.847030580310616,False,False,81.20294544970743,116.27685729334763,-21.341787723483158
A3.2d:9:FULL:3.0:FIT_FULL:True,10,383.81626518025723,244.11627755315692,244.11627625106811,X,1.1368683772161603e-13,8.908138776578454,8.90813877657844,False,False,81.05823573682244,116.74672660600368,-21.428633136035117
A3.2d:10:FULL:3.0:THIN_FULL:False,10,365.99999999992997,252.483632179567,226.30001699650458,X,1.1368683772161603e-13,13.091816089783492,13.09181608978352,False,False,89.72309903544443,111.96119584894899,-12.1688174992386
A3.2d:11:FULL:3.0:THIN_FULL:True,10,365.99999999992997,252.483632179567,226.30001699650458,X,1.1368683772161603e-13,13.091816089783492,13.09181608978352,False,False,89.72309903544443,111.96119584894899,-12.1688174992386
A3.2d:12:FULL:5.0:FIT_FULL:False,10,385.4100896798244,244.32968832822715,245.71129236134948,X,1.7053025658242404e-13,9.705646180674734,9.705646180674748,False,False,79.72416490595123,-22.16050561889189,-122.85372975046408
A3.2d:13:FULL:5.0:FIT_FULL:True,10,379.74799373950646,245.73209993791414,245.7319767168418,X,8.526512829121202e-14,9.716049968957066,9.716049968957094,False,False,82.4827773518486,122.85717838239009,-22.858550294356952
A3.2d:14:FULL:5.0:THIN_FULL:False,10,368.4718122926697,226.30000000000848,258.38979862546796,X,1.1368683772161603e-13,16.044899312733975,16.044899312733975,False,False,88.3676073906762,-12.149269263470295,-118.72537628118405
A3.2d:15:FULL:5.0:THIN_FULL:True,10,368.4718122926697,226.30000000000848,258.38979862546796,X,1.1368683772161603e-13,16.044899312733975,16.044899312733975,False,False,88.3676073906762,-12.149269263470295,-118.72537628118405
